item>>01 Product ID,item>>02 SKU,item>>03 Title,item>>04 Brand,item>>05 Color,item>>06 Size,item>>07 In Stock,item>>08 Quantity,item>>09 List Price,item>>10 Sale Price,item>>11 Currency,item>>12 Categories,item>>13 URL,item>>14 Extract Date,item>>15 Images
FM2511_450,FM2511,Hoodie,adidas,Legacy Green,2XS,No,0,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2511.html,2020-02-11T19:35:14.404Z,https://assets.adidas.com/images/f063c9b8dca245de8439aaab00efb32d_9366/Hoodie_Green_FM2511_21_model.jpg|https://assets.adidas.com/images/723189c88f134e4e910faaab00efc078_9366/Hoodie_Green_FM2511_22_model.jpg|https://assets.adidas.com/images/dee035af7fde471187aaaaab00efd15f_9366/Hoodie_Green_FM2511_23_hover_model.jpg|https://assets.adidas.com/images/cce6354e1b014210a484aaab00efdfcf_9366/Hoodie_Green_FM2511_25_model.jpg|https://assets.adidas.com/images/bf210a4b174c4b96aa0aaaab00f03fb5_9366/Hoodie_Green_FM2511_01_laydown.jpg|https://assets.adidas.com/images/d8da796fcce24841b028aaab00f04fab_9366/Hoodie_Green_FM2511_02_laydown.jpg|https://assets.adidas.com/images/f907af6519e74d308ca1aaab00eff5f7_9366/Hoodie_Green_FM2511_41_detail.jpg|https://assets.adidas.com/images/01151c9d5e374c13a06aaaab00f00a08_9366/Hoodie_Green_FM2511_42_detail.jpg|https://assets.adidas.com/images/1cad6138a9d84c8db188aaab00f01e6f_9366/Hoodie_Green_FM2511_43_detail.jpg
FM2511_470,FM2511,Hoodie,adidas,Legacy Green,XS,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2511.html,2020-02-11T19:35:14.447Z,https://assets.adidas.com/images/f063c9b8dca245de8439aaab00efb32d_9366/Hoodie_Green_FM2511_21_model.jpg|https://assets.adidas.com/images/723189c88f134e4e910faaab00efc078_9366/Hoodie_Green_FM2511_22_model.jpg|https://assets.adidas.com/images/dee035af7fde471187aaaaab00efd15f_9366/Hoodie_Green_FM2511_23_hover_model.jpg|https://assets.adidas.com/images/cce6354e1b014210a484aaab00efdfcf_9366/Hoodie_Green_FM2511_25_model.jpg|https://assets.adidas.com/images/bf210a4b174c4b96aa0aaaab00f03fb5_9366/Hoodie_Green_FM2511_01_laydown.jpg|https://assets.adidas.com/images/d8da796fcce24841b028aaab00f04fab_9366/Hoodie_Green_FM2511_02_laydown.jpg|https://assets.adidas.com/images/f907af6519e74d308ca1aaab00eff5f7_9366/Hoodie_Green_FM2511_41_detail.jpg|https://assets.adidas.com/images/01151c9d5e374c13a06aaaab00f00a08_9366/Hoodie_Green_FM2511_42_detail.jpg|https://assets.adidas.com/images/1cad6138a9d84c8db188aaab00f01e6f_9366/Hoodie_Green_FM2511_43_detail.jpg
FM2511_490,FM2511,Hoodie,adidas,Legacy Green,S,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2511.html,2020-02-11T19:35:14.491Z,https://assets.adidas.com/images/f063c9b8dca245de8439aaab00efb32d_9366/Hoodie_Green_FM2511_21_model.jpg|https://assets.adidas.com/images/723189c88f134e4e910faaab00efc078_9366/Hoodie_Green_FM2511_22_model.jpg|https://assets.adidas.com/images/dee035af7fde471187aaaaab00efd15f_9366/Hoodie_Green_FM2511_23_hover_model.jpg|https://assets.adidas.com/images/cce6354e1b014210a484aaab00efdfcf_9366/Hoodie_Green_FM2511_25_model.jpg|https://assets.adidas.com/images/bf210a4b174c4b96aa0aaaab00f03fb5_9366/Hoodie_Green_FM2511_01_laydown.jpg|https://assets.adidas.com/images/d8da796fcce24841b028aaab00f04fab_9366/Hoodie_Green_FM2511_02_laydown.jpg|https://assets.adidas.com/images/f907af6519e74d308ca1aaab00eff5f7_9366/Hoodie_Green_FM2511_41_detail.jpg|https://assets.adidas.com/images/01151c9d5e374c13a06aaaab00f00a08_9366/Hoodie_Green_FM2511_42_detail.jpg|https://assets.adidas.com/images/1cad6138a9d84c8db188aaab00f01e6f_9366/Hoodie_Green_FM2511_43_detail.jpg
FM2511_510,FM2511,Hoodie,adidas,Legacy Green,M,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2511.html,2020-02-11T19:35:14.516Z,https://assets.adidas.com/images/f063c9b8dca245de8439aaab00efb32d_9366/Hoodie_Green_FM2511_21_model.jpg|https://assets.adidas.com/images/723189c88f134e4e910faaab00efc078_9366/Hoodie_Green_FM2511_22_model.jpg|https://assets.adidas.com/images/dee035af7fde471187aaaaab00efd15f_9366/Hoodie_Green_FM2511_23_hover_model.jpg|https://assets.adidas.com/images/cce6354e1b014210a484aaab00efdfcf_9366/Hoodie_Green_FM2511_25_model.jpg|https://assets.adidas.com/images/bf210a4b174c4b96aa0aaaab00f03fb5_9366/Hoodie_Green_FM2511_01_laydown.jpg|https://assets.adidas.com/images/d8da796fcce24841b028aaab00f04fab_9366/Hoodie_Green_FM2511_02_laydown.jpg|https://assets.adidas.com/images/f907af6519e74d308ca1aaab00eff5f7_9366/Hoodie_Green_FM2511_41_detail.jpg|https://assets.adidas.com/images/01151c9d5e374c13a06aaaab00f00a08_9366/Hoodie_Green_FM2511_42_detail.jpg|https://assets.adidas.com/images/1cad6138a9d84c8db188aaab00f01e6f_9366/Hoodie_Green_FM2511_43_detail.jpg
FM2511_530,FM2511,Hoodie,adidas,Legacy Green,L,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2511.html,2020-02-11T19:35:14.567Z,https://assets.adidas.com/images/f063c9b8dca245de8439aaab00efb32d_9366/Hoodie_Green_FM2511_21_model.jpg|https://assets.adidas.com/images/723189c88f134e4e910faaab00efc078_9366/Hoodie_Green_FM2511_22_model.jpg|https://assets.adidas.com/images/dee035af7fde471187aaaaab00efd15f_9366/Hoodie_Green_FM2511_23_hover_model.jpg|https://assets.adidas.com/images/cce6354e1b014210a484aaab00efdfcf_9366/Hoodie_Green_FM2511_25_model.jpg|https://assets.adidas.com/images/bf210a4b174c4b96aa0aaaab00f03fb5_9366/Hoodie_Green_FM2511_01_laydown.jpg|https://assets.adidas.com/images/d8da796fcce24841b028aaab00f04fab_9366/Hoodie_Green_FM2511_02_laydown.jpg|https://assets.adidas.com/images/f907af6519e74d308ca1aaab00eff5f7_9366/Hoodie_Green_FM2511_41_detail.jpg|https://assets.adidas.com/images/01151c9d5e374c13a06aaaab00f00a08_9366/Hoodie_Green_FM2511_42_detail.jpg|https://assets.adidas.com/images/1cad6138a9d84c8db188aaab00f01e6f_9366/Hoodie_Green_FM2511_43_detail.jpg
FM2511_550,FM2511,Hoodie,adidas,Legacy Green,XL,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2511.html,2020-02-11T19:35:14.592Z,https://assets.adidas.com/images/f063c9b8dca245de8439aaab00efb32d_9366/Hoodie_Green_FM2511_21_model.jpg|https://assets.adidas.com/images/723189c88f134e4e910faaab00efc078_9366/Hoodie_Green_FM2511_22_model.jpg|https://assets.adidas.com/images/dee035af7fde471187aaaaab00efd15f_9366/Hoodie_Green_FM2511_23_hover_model.jpg|https://assets.adidas.com/images/cce6354e1b014210a484aaab00efdfcf_9366/Hoodie_Green_FM2511_25_model.jpg|https://assets.adidas.com/images/bf210a4b174c4b96aa0aaaab00f03fb5_9366/Hoodie_Green_FM2511_01_laydown.jpg|https://assets.adidas.com/images/d8da796fcce24841b028aaab00f04fab_9366/Hoodie_Green_FM2511_02_laydown.jpg|https://assets.adidas.com/images/f907af6519e74d308ca1aaab00eff5f7_9366/Hoodie_Green_FM2511_41_detail.jpg|https://assets.adidas.com/images/01151c9d5e374c13a06aaaab00f00a08_9366/Hoodie_Green_FM2511_42_detail.jpg|https://assets.adidas.com/images/1cad6138a9d84c8db188aaab00f01e6f_9366/Hoodie_Green_FM2511_43_detail.jpg
FM2500_450,FM2500,Hoodie,adidas,White,2XS,No,0,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2500.html,2020-02-11T19:35:18.770Z,https://assets.adidas.com/images/804c09acbd5a4ef9b2c4aaa900cdd62c_9366/Hoodie_White_FM2500_21_model.jpg|https://assets.adidas.com/images/1a104918f983450dbe77aaa900cde4a8_9366/Hoodie_White_FM2500_22_model.jpg|https://assets.adidas.com/images/5811eb8918f04a60943faaa900cdf2e3_9366/Hoodie_White_FM2500_23_hover_model.jpg|https://assets.adidas.com/images/af0e1b060286408f813daaa900ce05b1_9366/Hoodie_White_FM2500_25_model.jpg|https://assets.adidas.com/images/8e54ee97f13c4e60a6caaaa900ce7a88_9366/Hoodie_White_FM2500_01_laydown.jpg|https://assets.adidas.com/images/c4d3bf4070204ff8abaaaaa900ce904d_9366/Hoodie_White_FM2500_02_laydown.jpg|https://assets.adidas.com/images/fdc95d47e31b47d4abeaaaa900ce1d5e_9366/Hoodie_White_FM2500_41_detail.jpg|https://assets.adidas.com/images/4abde16802ba4e9385c4aaa900ce37f0_9366/Hoodie_White_FM2500_42_detail.jpg|https://assets.adidas.com/images/1fa7479db2984a58a27daaa900ce4dbb_9366/Hoodie_White_FM2500_43_detail.jpg
FM2500_470,FM2500,Hoodie,adidas,White,XS,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2500.html,2020-02-11T19:35:18.795Z,https://assets.adidas.com/images/804c09acbd5a4ef9b2c4aaa900cdd62c_9366/Hoodie_White_FM2500_21_model.jpg|https://assets.adidas.com/images/1a104918f983450dbe77aaa900cde4a8_9366/Hoodie_White_FM2500_22_model.jpg|https://assets.adidas.com/images/5811eb8918f04a60943faaa900cdf2e3_9366/Hoodie_White_FM2500_23_hover_model.jpg|https://assets.adidas.com/images/af0e1b060286408f813daaa900ce05b1_9366/Hoodie_White_FM2500_25_model.jpg|https://assets.adidas.com/images/8e54ee97f13c4e60a6caaaa900ce7a88_9366/Hoodie_White_FM2500_01_laydown.jpg|https://assets.adidas.com/images/c4d3bf4070204ff8abaaaaa900ce904d_9366/Hoodie_White_FM2500_02_laydown.jpg|https://assets.adidas.com/images/fdc95d47e31b47d4abeaaaa900ce1d5e_9366/Hoodie_White_FM2500_41_detail.jpg|https://assets.adidas.com/images/4abde16802ba4e9385c4aaa900ce37f0_9366/Hoodie_White_FM2500_42_detail.jpg|https://assets.adidas.com/images/1fa7479db2984a58a27daaa900ce4dbb_9366/Hoodie_White_FM2500_43_detail.jpg
FM2500_490,FM2500,Hoodie,adidas,White,S,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2500.html,2020-02-11T19:35:18.833Z,https://assets.adidas.com/images/804c09acbd5a4ef9b2c4aaa900cdd62c_9366/Hoodie_White_FM2500_21_model.jpg|https://assets.adidas.com/images/1a104918f983450dbe77aaa900cde4a8_9366/Hoodie_White_FM2500_22_model.jpg|https://assets.adidas.com/images/5811eb8918f04a60943faaa900cdf2e3_9366/Hoodie_White_FM2500_23_hover_model.jpg|https://assets.adidas.com/images/af0e1b060286408f813daaa900ce05b1_9366/Hoodie_White_FM2500_25_model.jpg|https://assets.adidas.com/images/8e54ee97f13c4e60a6caaaa900ce7a88_9366/Hoodie_White_FM2500_01_laydown.jpg|https://assets.adidas.com/images/c4d3bf4070204ff8abaaaaa900ce904d_9366/Hoodie_White_FM2500_02_laydown.jpg|https://assets.adidas.com/images/fdc95d47e31b47d4abeaaaa900ce1d5e_9366/Hoodie_White_FM2500_41_detail.jpg|https://assets.adidas.com/images/4abde16802ba4e9385c4aaa900ce37f0_9366/Hoodie_White_FM2500_42_detail.jpg|https://assets.adidas.com/images/1fa7479db2984a58a27daaa900ce4dbb_9366/Hoodie_White_FM2500_43_detail.jpg
FM2500_510,FM2500,Hoodie,adidas,White,M,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2500.html,2020-02-11T19:35:18.866Z,https://assets.adidas.com/images/804c09acbd5a4ef9b2c4aaa900cdd62c_9366/Hoodie_White_FM2500_21_model.jpg|https://assets.adidas.com/images/1a104918f983450dbe77aaa900cde4a8_9366/Hoodie_White_FM2500_22_model.jpg|https://assets.adidas.com/images/5811eb8918f04a60943faaa900cdf2e3_9366/Hoodie_White_FM2500_23_hover_model.jpg|https://assets.adidas.com/images/af0e1b060286408f813daaa900ce05b1_9366/Hoodie_White_FM2500_25_model.jpg|https://assets.adidas.com/images/8e54ee97f13c4e60a6caaaa900ce7a88_9366/Hoodie_White_FM2500_01_laydown.jpg|https://assets.adidas.com/images/c4d3bf4070204ff8abaaaaa900ce904d_9366/Hoodie_White_FM2500_02_laydown.jpg|https://assets.adidas.com/images/fdc95d47e31b47d4abeaaaa900ce1d5e_9366/Hoodie_White_FM2500_41_detail.jpg|https://assets.adidas.com/images/4abde16802ba4e9385c4aaa900ce37f0_9366/Hoodie_White_FM2500_42_detail.jpg|https://assets.adidas.com/images/1fa7479db2984a58a27daaa900ce4dbb_9366/Hoodie_White_FM2500_43_detail.jpg
