item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Category,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>17 Style,item>>19 Price,item>>20 Availability,item>>21 Images
B07B68H5SP,B07C53SC5T,"iHeartRaves Seamless Face Mask Bandanas for Dust, Outdoors, Festivals, Sports",iHeartRaves,EmazingLights / iHeartRaves / INTO THE AM,no,1,"Clothing, Shoes & Jewelry",1,Women's Shops,1,Women's Novelty Bandanas,"Clothing, Shoes & Jewelry|Novelty & More|Clothing|Novelty|Women|Accessories|Bandanas",https://www.amazon.com/dp/B07B68H5SP?psc=1,Amethyst Fusion,,,12.95,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71P7UzDIhAL._AC_UL1250_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zNydBHEbL._AC_UL1250_.jpg|https://images-na.ssl-images-amazon.com/images/I/71yeJXkP7%2BL._AC_UL1250_.jpg|https://images-na.ssl-images-amazon.com/images/I/71znv2FqhML._AC_UL1250_.jpg|https://images-na.ssl-images-amazon.com/images/I/61nj-Q6yFYL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61-tQp9lAFL._AC_UL1250_.jpg
B071GPNK7R,B078BF1ZQ6,Cherokee Workwear Revolution Women's Mid Rise Moderate Flare Drawstring Scrub Pant,Cherokee,Ripcord Brands,yes,13,"Clothing, Shoes & Jewelry",1,Women's Medical Scrub Pants,,,"Clothing, Shoes & Jewelry|Women|Uniforms, Work & Safety|Clothing|Medical|Scrub Bottoms",https://www.amazon.com/dp/B071GPNK7R?psc=1,Black,XX-Small Petite,,22.98,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61Mvw6E2TsL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51o%2BXtL%2BN9L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51NMwb9Xe-L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51l4TpP6giL._AC_UL1047_.jpg|https://images-na.ssl-images-amazon.com/images/I/51l4TpP6giL._AC_UL1047_.jpg|https://images-na.ssl-images-amazon.com/images/I/617MgkxUw7L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51Zsu1j1Y9L._AC_UL1000_.jpg
B001RCW9LS,B084MVTRPL,Crocs Classic Clog|Comfortable Slip-on Casual Water Shoe,Crocs,6pm,yes,14,"Clothing, Shoes & Jewelry",3,Women's Shops,1,Men's Mules & Clogs,"Clothing, Shoes & Jewelry|Women|Shoes|Mules & Clogs",https://www.amazon.com/dp/B001RCW9LS?psc=1,Citrus,6 Women/4 Men,,25.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71GT4-IJ4TL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61o0ao05rDL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61tWnScEC4L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/414-M2bbfXL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/41ec85DApWL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/518ZE0ZFQhL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51nYp0prqUL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/41pCFuW5lCL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/51qGlaaxaXL._AC_UL1320_.jpg|https://images-na.ssl-images-amazon.com/images/I/61zWvbHp1vL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71r5lfV4VQL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61z7PerHlaL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61zEKbSNHNL._AC_UL1500_.jpg
B07CJWMX3C,B01N3NOZMT,Amazon Essentials Women's Cotton Stretch Bikini Panty,Amazon Essentials,Amazon,no,16,"Clothing, Shoes & Jewelry",4,Women's Shops,1,Women's Bikini Panties,"Clothing, Shoes & Jewelry|Women|Clothing|Lingerie, Sleep & Lounge|Lingerie|Panties|Bikinis",https://www.amazon.com/dp/B07CJWMX3C?psc=1,10-pack Black,X-Small,,20,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81fAV6xoncL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81j7ewUQjlL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81h0zIwv99L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/715KaWoCicL._AC_UL1500_.jpg
B071X7V9PQ,B0741QK3WM,CHEROKEE Workwear Revolution Mock Wrap Scrub Top,Cherokee,Care Wear Uniforms Inc./Heavenly Shoes Inc.,yes,18,"Clothing, Shoes & Jewelry",1,Women's Medical Scrub Shirts,1,Plus-Size,"Clothing, Shoes & Jewelry|Women|Uniforms, Work & Safety|Clothing|Medical|Scrub Tops",https://www.amazon.com/dp/B071X7V9PQ?psc=1,Pewter,XX-Small,,19.98,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61K1K6PjzKL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/615zGYOzSEL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/610oBZpQorL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61owuakA2yL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61hKObtFahL._AC_UL1046_.jpg|https://images-na.ssl-images-amazon.com/images/I/617MgkxUw7L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51Zsu1j1Y9L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51Zsu1j1Y9L._AC_UL1000_.jpg
B010QWN6KM,B00RVUQJNO,Just Love Women's Scrub Sets Six Pocket Medical Scrubs (V-Neck with Cargo Pant),Just Love,Just Love Fashion,yes,21,"Clothing, Shoes & Jewelry",1,Women's Medical Scrub Sets,2,Women's Clothing,"Clothing, Shoes & Jewelry|Women|Uniforms, Work & Safety|Clothing|Medical|Scrub Sets",https://www.amazon.com/dp/B010QWN6KM?psc=1,Black,X-Small,,22.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71UslddL31L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71X1YD58j2L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71yWXkHoAeL._AC_UL1500_.jpg
B07LF27WBQ,B07C7Y3166,"BALEAF Women's 8"" /5"" /2"" High Waist Workout Yoga Running Compression Exercise Shorts Side Pockets (Regular/Plus Size)",BALEAF,Baleaf Sports,yes,19,Sports & Outdoors,1,Women's Workout & Training Shorts,1,Women's Sports Workout Shorts,Sports & Outdoors|Sports & Fitness|Exercise & Fitness|Running|Clothing|Women|Shorts,https://www.amazon.com/dp/B07LF27WBQ?psc=1,"5"" Black",X-Small,,18.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61txRCtcMmL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61UFZy6cCoL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61jUMBr8DWL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61w4nFWxvWL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61VJspRRqbL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51y5pFm7XkL._AC_.jpg
B073P8H9QG,B07GVD8JPD,AMiERY Women's Comfy Casual Pajama Pants Floral Print Drawstring Palazzo Lounge Pants Wide Leg,AMiERY,AMiERY,yes,25,"Clothing, Shoes & Jewelry",1,Women's Casual Pants & Capris,8,Women's Shops,"Clothing, Shoes & Jewelry|Women|Clothing|Pants|Casual",https://www.amazon.com/dp/B073P8H9QG?psc=1,Black,Small,,15.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61oiH6tdg5L._AC_UL1008_.jpg|https://images-na.ssl-images-amazon.com/images/I/717l2RyRn6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Zlp82hFAL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Pbk2CSNVL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71CVduOf%2BGL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/814f3S%2B5DxL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81CVxS0D1IL._AC_UL1500_.jpg
B016YKIBHS,B016YKHX1S,Hanes Women's Jersey Short,Hanes,Amazon,no,21,Sports & Outdoors,9,Women's Shops,11,Outdoor Recreation (Sports & Outdoors,"Clothing, Shoes & Jewelry|Women|Clothing|Active|Active Shorts",https://www.amazon.com/dp/B016YKIBHS?psc=1,Black,Small,,6.96,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81QcIo3DhdL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81FNHqMWEZL._AC_UL1500_.jpg
B07KQVMJQ3,B00GMJ2J7A,Fruit of the Loom Women's Cotton Pullover Sport Bra(Pack of 3),Fruit of the Loom,Amazon,no,28,"Clothing, Shoes & Jewelry",10,Women's Shops,1,Women's Sports Bras,"Clothing, Shoes & Jewelry|Women|Clothing|Lingerie, Sleep & Lounge|Lingerie|Bras|Sports Bras",https://www.amazon.com/dp/B07KQVMJQ3?psc=1,Black/White/Red Hot,42,,12.94,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61aZqUdvyKL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71EybiS6HRL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71ddKs5fuQL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71JUbLHcRxL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71ybmJwG-TL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Z3ZEkGW4L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71OLCTJq%2B3L._AC_UL1500_.jpg
