item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Category,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>19 Price,item>>20 Availability,item>>21 Images
B085DB5VWD,B085DP7NQT,ypypiaol Waschbar Atmungsaktiver Staub Winddicht Anti Haze Tröpfchen Mundschutz Gesichtsschutz Schwarz,ypypiaol,,no,1,Bekleidung,1,Strickmützen für Damen,,,"Bekleidung|Damen|Accessoires|Hüte, Mützen & Caps|Strickmützen",https://www.amazon.de/dp/B085DB5VWD?psc=1,Schwarz,,,Erhältlich bei diesen Anbietern.,https://images-na.ssl-images-amazon.com/images/I/51NqOkB9XYL._AC_SL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61lTrKnBo5L._AC_SL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61Ne%2BUw2gsL._AC_SL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61sB56PNo2L._AC_SL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/51LPsafXySL._AC_SL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61FHoPCXRKL._AC_SL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/51iV6QfCHoL._AC_SL1001_.jpg
B01N6WSONZ,B077126TTD,TRIXES Friseur Coiffeur Schulter Cape Umhang verstellbar Schwarz mit Weißen Streifen,TRIXES,Digiflex DE,no,5,Beauty,1,Friseurumhänge,1,Damen-Kleider,Bekleidung|Damen|Kleider,https://www.amazon.de/dp/B01N6WSONZ?psc=1,Black/White Stripe Cape,,3.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/81854QjIqDL._SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81V6QeWDq4L._SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81PkPdhhiDL._SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81zh64fGdFL._SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91QZwAFTqPL._SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81j%2BIp2paML._SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81D7n-k-XyL._SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/819tJQvyE2L._SL1500_.jpg
B002QK6L0K,B07CMX6ZRJ,Fruit of the Loom Valueweight T-Shirt S M L XL XXL XXXL,Fruit of the Loom,,no,5,Bekleidung,1,T-Shirts für Herren,1,T-Shirts für Damen,"Bekleidung|Damen|Tops, T-Shirts & Blusen|T-Shirts",https://www.amazon.de/dp/B002QK6L0K?psc=1,Graumeliert,S,,Erhältlich bei diesen Anbietern.,https://images-na.ssl-images-amazon.com/images/I/71CHBQ0-9GL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71nc40BYPHL._AC_UL1500_.jpg
B007JUTMAS,B007PMEO2G,erima Damen Sweathose mit Bündchen -lang,Erima,,no,11,Bekleidung,1,Sportswear-Hosen für Damen,,,Bekleidung|Damen|Streetwear|Hosen,https://www.amazon.de/dp/B007JUTMAS?psc=1,schwarz,34,18.84,Erhältlich bei diesen Anbietern.,https://images-na.ssl-images-amazon.com/images/I/71seLA5iDQL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/716r%2BwNXrTL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61HjgrjnGzL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/31qbGuHG6jL._AC_.jpg
B01BKIIV4M,,"Puma / Puma Puma Herren Unisex Sport Socken in gewohnter Puma, 43/46 - 9 Paar, Schwarz,Farbmix 1",Puma / Puma,SPORTIGALL (Durchgestrichener Preis = Unverbindliche Preisempfehlung des Herstellers),no,13,Bekleidung,2,Sportsocken für Herren (Bekleidung,1,Sportsocken für Damen (Bekleidung,Bekleidung|Herren|Streetwear|Sportsocken,https://www.amazon.de/dp/B01BKIIV4M?psc=1,,,18.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/61pQpR3UVwL._AC_UL1100_.jpg
B07XY6PY5C,B083KNMJNX,Snocks Sneaker Socken Damen & Herren (6x Paar) Füßlinge,Snocks,Snocks,yes,16,Bekleidung,1,Füßlinge & Sneakersocken für Herren,1,Füßlinge & Sneakersocken für Damen,Bekleidung|Herren|Socken & Strümpfe|Füßlinge & Sneakersocken,https://www.amazon.de/dp/B07XY6PY5C?psc=1,Beige,35-38,19.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/715cpUIq42L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/8135ZS5xY3L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81KJ0kVU4nL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81g%2BpK7j1aL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81uOaXYcgtL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91VV1K%2BBqtL._AC_UL1500_.jpg
B07VSQ35R7,B07VQZ7FCD,"Persit Damen Sport Leggins mit Taschen, Blickdicht Sporthose Yogahose Streetwear",Persit,Persit,yes,17,Bekleidung,1,Leggings für Damen,1,Sportswear-Strumpfhosen & Leggings für Damen,Bekleidung|Damen|Streetwear|Strumpfhosen & Leggings,https://www.amazon.de/dp/B07VSQ35R7?psc=1,Schwarz,36,22.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/61PZTEu16%2BL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61jwlVx3BGL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/6190zTT7J6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61bWcoadGjL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/612h%2Bsi5J2L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61giXdOTiYL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61-Yo3IbZ4L._AC_UL1500_.jpg
B07C2WFC7X,B082FMM7MS,"Amazon-Marke: Iris & Lilly Damen-Hipster aus Baumwolle mit Spitze, 5er-Pack",Iris & Lilly,Amazon,no,30,Bekleidung,1,Panties & Hipsters für Damen,,,Bekleidung|Damen|Unterwäsche & Dessous|Unterhosen|Panties & Hipsters,https://www.amazon.de/dp/B07C2WFC7X?psc=1,Black (Black/Mid Grey Lace),34,14.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/91VI9waOz1L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/712NTmq7AcL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91ted7fYAnL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71nrI54bnOL._AC_UL1500_.jpg
B07KYWWHC9,B082KFVV14,Munvot Damen Sporthose Sport leggings Tights 1 bis 2er Pack,Munvot,munvot,no,29,Bekleidung,2,Leggings für Damen,2,Sportswear-Strumpfhosen & Leggings für Damen,Bekleidung|Damen|Streetwear|Strumpfhosen & Leggings,https://www.amazon.de/dp/B07KYWWHC9?psc=1,A1173 / 2er Pack (0310+0308),XS /DE34-36,35.75,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/71E1jBpjoXL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61r9KTSc0-L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81P3ldV5WAL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81tPLlfepzL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81V9hkcyxSL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/710paOJyvIL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Rwwx1gUVL._AC_UL1500_.jpg
B07L6XVH39,B085PYWWMG,Zolimx Damen Socken Beiläufige Arbeit Herz-Förmige Baumwollliebe-Bequeme Mode Socke,Zolimx,Zolimx,no,31,Bekleidung,3,Damen-Socken,,,Bekleidung|Damen|Socken & Strümpfe|Socken,https://www.amazon.de/dp/B07L6XVH39?psc=1,A,Einheitsgröße,2.57,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/61bwCGFwc-L._AC_UL1200_.jpg
