item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Category,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>19 Price,item>>20 Availability,item>>21 Images
B07M87KMQ9,B07JGZW581,FITTOO Mallas Pantalones Deportivos Leggings Mujer Yoga de Alta Cintura Elásticos y Transpirables para Yoga Running Fitness con Gran Elásticos1090,FITTOO,Your Home Security,yes,7,Ropa,1,Leggings y medias deportivas para mujer,,,Ropa|Mujer|Ropa deportiva|Leggings y medias deportivas,https://www.amazon.es/dp/B07M87KMQ9?psc=1,#1 Amarillo,S,18.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/61CQKrm3CQL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71AEythh2HL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71GZ4TIzV4L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71IKGrCsFsL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51ZX%2Brxu4cL._AC_.jpg
B019ESAEP4,B07798LVZJ,YIANNA Mujer Fajas Reductoras Corsé Waist Trainer Corset Reductor Adelgazante Bustiers de Cinturón Formación,YIANNA,YIANNA Direct,yes,11,Ropa,1,Corsés para mujer,,,Ropa|Mujer|Lencería y ropa interior|Lencería moldeadora|Corsés,https://www.amazon.es/dp/B019ESAEP4?psc=1,Black (25 Steel Bones),XS:para cintura 56-61cm,24.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/71VWuVLvNgL._AC_UL1024_.jpg|https://images-na.ssl-images-amazon.com/images/I/71lRfVBhLoL._AC_UL1024_.jpg|https://images-na.ssl-images-amazon.com/images/I/81LGeQ8hIDL._AC_UL1350_.jpg|https://images-na.ssl-images-amazon.com/images/I/71c-lgVntHL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81gzB3nrqeL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81lMtZaxPWL._AC_UL1500_.jpg
B07YYYTTH5,B07X417V2D,Tops Yoga Camiseta Deportiva Sin Costura Mangas Larga Fitness Mujer Gimnasio,FITTOO,Your Home Security,yes,13,Ropa,1,Camisetas de fitness para mujer,1,Pantalones deportivos para mujer (Ropa,Ropa|Mujer|Ropa deportiva|Leggings y medias deportivas,https://www.amazon.es/dp/B07YYYTTH5?psc=1,#1 Pant Azul,S,18.99,Sólo queda(n) 2 en stock.,https://images-na.ssl-images-amazon.com/images/I/71B0GrsMw2L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71d4ul-OqhL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/8138b7cJoeL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71EaSOO3-AL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71K-M6xbXbL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81-7RzWGRYL._AC_UL1500_.jpg
B018KIHVWI,B01LZ3ZHHU,"Puma Sport Cush Crew 6P, Calcetines Unisex, Paquete de 6",Puma,Amazon,no,16,Ropa,1,Calcetines de deporte para mujer,1,Calcetines de deporte para hombre,Ropa|Hombre|Ropa deportiva|Calcetines de deporte,https://www.amazon.es/dp/B018KIHVWI?psc=1,Black,35-38,12.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/81aPnULEYRL._AC_UL1500_.jpg
B07HZ2Z8K1,B0833K4CF9,Amazon Essentials 6-Pack Cotton Bikini Underwear Mujer,Amazon Essentials,Amazon,no,20,Ropa,1,Tangas para mujer,,,Ropa|Mujer|Lencería y ropa interior|Braguitas y culottes|Tangas,https://www.amazon.es/dp/B07HZ2Z8K1?psc=1,Flores Silvestres (Wildflowers),US XS (EU XS - S),16.49,En stock.,https://images-na.ssl-images-amazon.com/images/I/81H7aw0M3SL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81WyUe4a0sL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81k2RQo2E%2BL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81Tay-ZPuVL._AC_UL1500_.jpg
B008LVMF76,,"Chicco Mammy Braguitas premamá, (Blanco 00001138100000), One Size (Tamaño del fabricante:Única) (Pack de 4) Mujer",Chicco,Amazon,no,25,Ropa,1,Braguitas para premamá,,,Ropa|Mujer|Ropa premamá|Lencería y ropa interior|Braguitas,https://www.amazon.es/dp/B008LVMF76?psc=1,,,8.25,En stock.,https://images-na.ssl-images-amazon.com/images/I/81MMn0na6oL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/615amokTefL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/710vlLO3okL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61mh%2B0LIr7L._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61o3RgQdHhL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/31yczjc5teL._AC_.jpg
B00D1SUZHQ,,"Jané 040408C01 - 5 Culottes Lavables, Talla Única, Tejido Elástico, Ideal Postparto, Hipoalergénicos",Jané,Amazon,no,26,Ropa,2,Braguitas para premamá,,,Ropa|Mujer|Ropa premamá|Lencería y ropa interior|Braguitas,https://www.amazon.es/dp/B00D1SUZHQ?psc=1,,,6.3,En stock.,https://images-na.ssl-images-amazon.com/images/I/81J5CuTPrvL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71UA8gCYkQL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/716FAuv7gwL._AC_SL1500_.jpg
B01M310JAZ,B01E9ZB9CE,Ambielly calcetines de algodón calcetines térmicos Adulto Unisex Calcetines,Ambielly,Amkmax,yes,29,Ropa,2,Calcetines para mujer,,,Ropa|Mujer|Calcetines y medias|Calcetines,https://www.amazon.es/dp/B01M310JAZ?psc=1,4 Calcetines de Navidad,,9.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/71tLvc-VFQL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/81nc2jlQLJL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71ceLvFNeDL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/710pKjrZGeL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71cSU74GBuL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71y-tVIknVL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81okPMjGKmL._AC_UL1500_.jpg
B073D5WF47,B073D9VMTQ,"Puma Quarter Plain, Calcetín Unisex Adulto, (Pack de 3)",Puma,,no,33,Ropa,1,Calcetines cortos para hombre,1,Calcetines cortos para mujer,Ropa|Mujer|Calcetines y medias|Calcetines|Calcetines cortos,https://www.amazon.es/dp/B073D5WF47?psc=1,Azul (Denim Blue),35-38,,Disponible a través de estos vendedores.,https://images-na.ssl-images-amazon.com/images/I/91zhOl4IRZL._AC_UL1500_.jpg
B07NH171C6,B0812N24B3,"Marca Amazon - Iris & Lilly Waist Slip Mujer, Pack de 5",Iris & Lilly,Amazon,no,39,Ropa,1,Bikinis y Braguitas para mujer,1,Culottes y Shorts para mujer,Ropa|Mujer|Lencería y ropa interior|Braguitas y culottes|Bikinis y Braguitas,https://www.amazon.es/dp/B07NH171C6?psc=1,Blanco (White),3XL,16,En stock.,https://images-na.ssl-images-amazon.com/images/I/81XAAgA9LoL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91Zvy2jd6pL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81sy2mQmQFL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81KVbSvsiCL._AC_UL1500_.jpg
