item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Category,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>17 Style,item>>19 Price,item>>20 Availability,item>>21 Images
B01D1JZBKA,B01N2MH9SR,FUTURO FASHION - Legging Long pour Femme - Coton Doux - Grandes Tailles,FUTURO FASHION,leggingsshop,no,4,Vêtements,1,Leggings femme,,,Vêtements|Femme|Leggings,https://www.amazon.fr/dp/B01D1JZBKA?psc=1,Bleu Marine,6XL,,6.85,En stock.,https://images-na.ssl-images-amazon.com/images/I/61i5Lc4Gq4L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61i5Lc4Gq4L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61i5Lc4Gq4L._AC_UL1500_.jpg
B07KWR65NK,B07KFR1W8S,New Mincc Leggings de Sport pour Femme Pantalon Yoga Fitness Minceur Long avec Poches Basique élastique Running Skinny,New Mincc,New Mincc,no,5,Vêtements,2,Leggings femme,,,Vêtements|Femme|Leggings,https://www.amazon.fr/dp/B07KWR65NK?psc=1,A Noir 1988 Fba,XS,,16.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/81qEmEPkBEL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71rZhvRk3uL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81wQ1ThhsOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71I0HpyeXWL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81pDi9Auj3L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81WJOb3ROkL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/711x2tdwQtL._AC_UL1500_.jpg
B07DCSRWRV,B07K671QDB,CRZ YOGA Femme Legging de Sport Pantalons Yoga Taille Haute en Tissu Léger avec Poche-63cm,CRZ YOGA,Jimu Fashion,yes,9,Vêtements,1,Collants et leggings de sport femme,,,Vêtements|Femme|Sportswear|Collants et leggings de sport,https://www.amazon.fr/dp/B07DCSRWRV?psc=1,Noir,36,,20,En stock.,https://images-na.ssl-images-amazon.com/images/I/61GX6088cpL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/612U7%2BH8D6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61N4lKkNuNL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/717NCbn9bBL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71LB2anGk6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61kya63mqLL._AC_UL1500_.jpg
B07GNGSQ73,B07JL9WBRY,"Cyxus Blocage de la lumière bleue [Lunettes anti-fatigue oculaire],Lunettes de lecture rétro à verres transparents, hommes/femmes (Argenté)",Cyxus,,no,181,Hygiène et Santé,4,Optique & Lentilles,1,Montures de lunettes femme,Vêtements|Femme|Accessoires|Lunettes et Accessoires|Montures de lunettes,https://www.amazon.fr/dp/B07GNGSQ73?psc=1,Argenté,,,,Actuellement indisponible. Nous ne savons pas quand cet article sera de nouveau approvisionné ni s'il le sera.,https://images-na.ssl-images-amazon.com/images/I/51G6iQktk2L._AC_SL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61YFxQbWtYL._AC_SL1100_.jpg|https://images-na.ssl-images-amazon.com/images/I/615BgtxuEjL._AC_SL1161_.jpg|https://images-na.ssl-images-amazon.com/images/I/61PuyoOeXAL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61YCD-SDR2L._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/71RZbk%2BBTEL._AC_SL1000_.jpg
B004NZNAVE,,"Tigex Slip Jetable Maternité, Filet Extensibles, Lavable, Taille Unique, Blanc, Lot de 5",Tigex,Amazon,no,13,Vêtements,1,Culottes maternité,,,Vêtements|Femme|Vêtements grossesse et maternité|Sous-vêtements|Culottes,https://www.amazon.fr/dp/B004NZNAVE?psc=1,,,,7.49,En stock.,https://images-na.ssl-images-amazon.com/images/I/81XVSCf%2ByxL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71H5QQ9rnQL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81VEcN9AskL._AC_SL1500_.jpg
B0186TF39O,B076ZRQSP5,SYROKAN Femme Soutien Gorge de Sport Brassière Maintien Extrême pour Running,SYROKAN,Senhu Fashion,no,23,Vêtements,1,Soutiens-gorge de sport femme,,,Vêtements|Femme|Sportswear|Sous-vêtements de sport|Soutiens-gorge de sport,https://www.amazon.fr/dp/B0186TF39O?psc=1,Blanc,85B,,24,En stock.,https://images-na.ssl-images-amazon.com/images/I/71uiJLQJRaL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71K9NPwTZSL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61IiPMkVuYL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71txEaWnj3L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71CA6sar8eL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/719amcCWGsL._AC_UL1500_.jpg
B07K72FXZC,B01HPFCBSQ,"VEOFIT Pantalon de Sudation pour Tonifier Ses Jambes et Obtenir Un Ventre Plat sans Cellulite : Legging à Taille Ajustable et Poche latérale, Guide Minceur et Sac à Dos Offerts",VEOFIT,VEO-Tech,yes,134,Sports et Loisirs,2,Collants et leggings de sport femme,1,Vêtements de sudation,Vêtements|Femme|Sportswear|Collants et leggings de sport,https://www.amazon.fr/dp/B07K72FXZC?psc=1,,S,Taille haute,38.97,En stock le 9 avril 2020. Commandez-le dès aujourd'hui.,https://images-na.ssl-images-amazon.com/images/I/61CH9qsvCFL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71a-9ZegJdL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71fbJsjYoCL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71VhB9QF06L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/7136OeGCjSL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71smF61SQxL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71hFuhhUCML._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71NlwFXgm4L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zUOL-6KbL._AC_SL1500_.jpg
B07PBYGRH3,B082GNQCDS,Budermmy Lot de 6 ou 10 paires Chaussette Hommes et Femmes chaussettes sport courtes Coton socquettes,Budermmy,Musion Ltd.,yes,25,Vêtements,3,Chaussettes de sport homme,1,Chaussettes de sport femme,Vêtements|Femme|Sportswear|Chaussettes de sport,https://www.amazon.fr/dp/B07PBYGRH3?psc=1,F-noir 10 Paires,36-39,,14.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/71KcPAqr7-L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81qqVb23ojL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81q3qIN5ufL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91uAThPZ-SL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/518S5mJrXgL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61yem-wKTiL._AC_UL1000_.jpg
B086C5FZHH,B07PFSDLQL,Memoryee Leggings de Compression Anti-Cellulite Slim Fit Butt Lift Elastique Pantalon de yoga taille haute avec poches sport pour femmes,Memoryee,Memorye,no,26,Vêtements,3,Collants et leggings de sport femme,3,Leggings femme,Vêtements|Femme|Sportswear|Collants et leggings de sport,https://www.amazon.fr/dp/B086C5FZHH?psc=1,Black-style8-11,S,,17.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/613CGXDOuoL._AC_UL1468_.jpg|https://images-na.ssl-images-amazon.com/images/I/71GB2GrGWgL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61oSnxbLDvL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/618yaTeSm5L._AC_UL1480_.jpg|https://images-na.ssl-images-amazon.com/images/I/51esfc8ygAL._AC_UL1304_.jpg|https://images-na.ssl-images-amazon.com/images/I/51U1t54Rv2L._AC_UL1276_.jpg|https://images-na.ssl-images-amazon.com/images/I/71s9kwHD8-L._AC_UL1250_.jpg
B009X80TY2,B00S8DXESG,"Nuk Slips Jetables Femme, Blanc Uni, L/44-46, Lot de 4",Nuk,Amazon,no,123,Vêtements,3,Culottes et slips,,,"Vêtements|Femme|Lingerie|Culottes, shorties et strings|Culottes et slips",https://www.amazon.fr/dp/B009X80TY2?psc=1,,,Taille L/44-46,4.49,En stock.,https://images-na.ssl-images-amazon.com/images/I/51DN1er10OL._AC_SL1000_.jpg
