item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Caregory,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>20 Availability,item>>21 Images
B07HC5CG4F,B010VU84CO,Jockey Women's Cotton Hipster (Pack of 3) (Colors may vary)(color may vary),Jockey,no,2,Clothing & Accessories Clothing & Accessories,1,Women's Hipsters,,,Clothing & Accessories|Women|Lingerie|Panties|Hipsters,https://www.amazon.in/dp/B07HC5CG4F?psc=1,Light Print,Medium,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/915B7jfEmpL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91ZpUsykPTL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91CNUoM4MrL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91%2Bz9WEaPML._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/616cAkGPWeL._UL1234_.jpg|https://images-na.ssl-images-amazon.com/images/I/612jVARg1mL._UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61-c-Ur4SqL._UL1000_.jpg
B07N8HVC8N,B07N948DK1,Vaamsi Women's Poly Crepe straight Kurta (VPK1583Par_ Yellow_ Large),Vaamsi,no,4,Clothing & Accessories Clothing & Accessories,1,Women's Kurtas & Kurtis,,,Clothing & Accessories|Women|Ethnic Wear|Kurtas & Kurtis,https://www.amazon.in/dp/B07N8HVC8N?psc=1,,Small,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/61Q4JoFovsL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/61YuIOKz4ML._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/51cmKgNinCL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/71MkT3arUFL._UL1500_.jpg
B010FMR1NG,B010VUAH9M,Jockey Women's Cotton Bikini (Pack of 3) (color may vary),Jockey,no,6,Clothing & Accessories Clothing & Accessories,1,Women's Bikini Knickers,,,Clothing & Accessories|Women|Lingerie|Panties|Bikinis,https://www.amazon.in/dp/B010FMR1NG?psc=1,multicolour,XX-Large,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/91DeiLm2riL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91CNUoM4MrL._UL1500_.jpg
B07RQHC1LM,,Marlin Women's Cotton Kurti With Palazzo Pant Set (Light Green),Marlin,no,9,Clothing & Accessories Clothing & Accessories,1,Women's Salwar Suits,,,Clothing & Accessories|Women|Ethnic Wear|Salwar Suits,https://www.amazon.in/dp/B07RQHC1LM?psc=1,,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/61XZyUak-tL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61XZyUak-tL._UL1500_.jpg
B07BHBF369,B07XRP75W5,Amazon Brand - Symbol Women's T-Shirt,Amazon Brand - Symbol,no,14,Clothing & Accessories Clothing & Accessories,1,Women's T-Shirts,,,"Clothing & Accessories|Women|Western Wear|Tops, T-Shirts & Shirts|T-Shirts",https://www.amazon.in/dp/B07BHBF369?psc=1,Black and Red,L,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81vOxmD9nGL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81mUwPaOstL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ouvSbsDKL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/916MVtN4RqL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71cm9d2KcXL._UL1500_.jpg
B06X9RR4CD,B013K49G8Y,Jockey Women's Cotton Full Coverage Shaper Bra,Jockey,no,26,Clothing & Accessories Clothing & Accessories,1,Women's Everyday Bras,,,Clothing & Accessories|Women|Lingerie|Bras|Everyday Bras,https://www.amazon.in/dp/B06X9RR4CD?psc=1,Candy Pink,36D,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81X7cpedPzL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81e3mtJBxqL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81tkPKBdRvL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/812uw7P2dIL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91qZICe00IL._UL1500_.jpg
B07Z1R43HZ,B083PSMLYB,Anni Designer Women's Georgette Saree,ANNI DESIGNER,no,31,Clothing & Accessories Clothing & Accessories,1,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07Z1R43HZ?psc=1,Pink,Free Size,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81YrgtfbXiL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81pxm1oPv-L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/714VK-75p5L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/814xwITEUzL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71wrSZo0PXL._UL1500_.jpg
B07VQYM9W7,B07VD5JPJW,Winza Designer Women's Banarasi Art Silk Saree With Blouse,Winza Designer,no,33,Clothing & Accessories Clothing & Accessories,2,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07VQYM9W7?psc=1,Pink,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/91Z3wEOJs0L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61xrif3tvjL.jpg|https://images-na.ssl-images-amazon.com/images/I/91tDSkfNB5L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81GemzrhewL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81mVODWMmYL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61zqE4TJ5CL.jpg|https://images-na.ssl-images-amazon.com/images/I/813nBpapSzL._UL1500_.jpg
B07TYZW8VT,B083QJ52YH,ANNI DESIGNER Khadi Silk With Blouse Piece Saree,ANNI DESIGNER,no,34,Clothing & Accessories Clothing & Accessories,3,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07TYZW8VT?psc=1,Sky Blue,Free Size,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/91AkqbLIzmL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91QMR7ejh5L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81xD%2Bu2qGUL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91qytUlr%2BXL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91BZaw7Go2L._UL1500_.jpg
B07YYG5XTH,B07W6VY4CB,GoSriKi Art Poly Silk Saree with Blouse Piece,GoSriKi,no,38,Clothing & Accessories Clothing & Accessories,4,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07YYG5XTH?psc=1,Red,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/91tTKCty2uL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61EvPLNdVBL._UL1100_.jpg|https://images-na.ssl-images-amazon.com/images/I/71b4sUC0eEL._UL1100_.jpg|https://images-na.ssl-images-amazon.com/images/I/71%2BkKtxyZxL._UL1100_.jpg|https://images-na.ssl-images-amazon.com/images/I/81CiV6D4ozL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1cGgXRrkDL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1%2BwXHgRAOL._UL1500_.jpg
