item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>17 Style,item>>19 Price,item>>20 Availability,item>>21 Images
B018KIHVWI,B01A920JHM,"Puma 251021001803043, Calzini Sportivi Unisex, (pacco da 6)",PUMA,Amazon,no,1,Calze sportive da uomo,1,Calze da uomo,Abbigliamento|Donna|Abbigliamento sportivo|Calze sportive,https://www.amazon.it/dp/B018KIHVWI?psc=1,Nero,35-38,,12.99,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/81aPnULEYRL._AC_UL1500_.jpg
B06WXX5YHC,B076VY9XB3,TRIXES Mantella Parrucchiere Mantella a Tutta Lunghezza per Parrucchieri/Barbieri - Bianca e Nera - Monocroma - Regolabile - Impermeabile Mantella Protettiva - Mantella Taglio Capelli,TRIXES,Digiflex IT,no,1,Vestiti da donna,1,Mantelle per parrucchiere,Abbigliamento|Donna|Maglioni e cardigan|Poncho e mantelle fatti a maglia,https://www.amazon.it/dp/B06WXX5YHC?psc=1,Black/White Stripe Gown,,,6.99,Generalmente spedito entro 2-3 giorni.,https://images-na.ssl-images-amazon.com/images/I/815WzRhIx%2BL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/8199yaOz7jL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ADxd6LeHL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/819muh%2BZT3L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71YxQ-pXDZL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91fxYnRoCfL._AC_SL1500_.jpg
B00D1SUZHQ,,"jane, Mutande post-parto in tessuto elastico, lavabili, 5 pezzi",Jane,Amazon,no,1,Mutandine per gestante,,,Abbigliamento|Donna|Abbigliamento premaman|Intimo|Mutandine per gestante,https://www.amazon.it/dp/B00D1SUZHQ?psc=1,,,,6.2,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/81J5CuTPrvL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71UA8gCYkQL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/716FAuv7gwL._AC_SL1500_.jpg
B07KCL4KW2,B07K8RNJ4S,"Bassetti Accappatoio con Cappuccio in Cotone Uomo Donna Made in Italy Disponibile in Varie Taglie e Colori, Arancione, Taglia 3XL",Bassetti,majastore,yes,1,Accappatoi e vestaglie da donna,,,Abbigliamento|Donna|Pigiami e camicie da notte|Accappatoi e vestaglie,https://www.amazon.it/dp/B07KCL4KW2?psc=1,Arancione,3XL,,29.99,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/51xgvQpatDL._AC_SL1002_.jpg|https://images-na.ssl-images-amazon.com/images/I/51r8Zy15DFL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/51upKtJ3p2L._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/51jOW41uuqL._AC_.jpg
B07PQ1MTTX,B07NSL5D7Z,"NHEIMA Pantaloni Sauna Dimagranti, Leggings Anticellulite Donna Fitness, Leggings Termici Vita Alta in NANOTECHNOLOGIE per Sudar- Effetto Snellente e Push Up – Ideale per Yoga Corsa Palestra Sport",NHEIMA,For Your Sport,no,1,Pantaloni da yoga da donna,1,Pantaloni sportivi da donna (Abbigliamento,Abbigliamento|Donna|Abbigliamento sportivo|Pantaloni sportivi,https://www.amazon.it/dp/B07PQ1MTTX?psc=1,Black03,S,,25.99,Generalmente spedito entro 2-3 giorni.,https://images-na.ssl-images-amazon.com/images/I/61I1B7LCqRL._AC_SL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71H2rUCd88L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71JXHzOBGgL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71tUNzMkyFL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/518t8y-6n7L._AC_SL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61xR0MZ2ngL._AC_SL1500_.jpg
B07KQRWWPB,B085TYZWHX,"adidas Essentials 3s Tight, Aderente. Donna",adidas,,no,1,Calzamaglie e leggings sportivi da donna,,,Abbigliamento|Donna|Abbigliamento sportivo|Pantaloni sportivi,https://www.amazon.it/dp/B07KQRWWPB?psc=1,black/White,XS,,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/71OVbeT-D6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71wGvsdXrgL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91JgJP0N1FL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71OcC9JQPDL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51giWPG592L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51es1z0bnTL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51LWCQkHhpL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51YrXViYE1L._AC_UL1000_.jpg
B00T6E8LNO,B07CD27BZN,POMPEA Cotton Calzini alla Caviglia (Pacco da 3) Donna,POMPEA,Amazon,no,1,Calzini da donna,,,Abbigliamento|Donna|Calze e collant,https://www.amazon.it/dp/B00T6E8LNO?psc=1,Bianco (Bianco 0024),35/38 (Taglia produttore:35/38),,6.49,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/81K8%2BY8OAqL._AC_UL1500_.jpg
B00L3JB7N6,B07TV7VNH8,Accappatoio Tinta Unita Viareggio Gabel con cappuccio e tasche 100% cotone-Bianco-XS,Gabel,givovashopping,no,2,Biancheria da bagno,2,Accappatoi e vestaglie da donna,Abbigliamento|Donna|Pigiami e camicie da notte|Accappatoi e vestaglie,https://www.amazon.it/dp/B00L3JB7N6?psc=1,Bianco,X-Small,,28.99,Disponibilità: solo 10,https://images-na.ssl-images-amazon.com/images/I/8146L-4EP9L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81QANlJ-7jL._AC_SL1500_.jpg
B07KL3X3J4,B084TDXTB1,"adidas Essentials Linear Tee, Maglietta Donna",adidas,,no,1,T-shirt da donna,1,Camicie e T-shirt sportive da donna,Abbigliamento|Donna|Abbigliamento sportivo|Camicie e T-shirt sportive,https://www.amazon.it/dp/B07KL3X3J4?psc=1,Nero (Black/White),XS 36-38,,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/71C9YTj4p%2BL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71qLmhBOysL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91fEgK3S2hL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71SyQmQP1yL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/514BS4PjsZL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/516w0rdQT2L._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51XYURnaHtL._AC_SL1000_.jpg
B0772KP6TV,B077SRJ5QV,"Marchio Amazon - Iris & Lilly Slip in Cotone Donna, Pacco da 5",Iris & Lilly,Amazon,no,1,Bikini e Slip,,,Abbigliamento|Donna|Lingerie & Intimo|Mutande|Bikini e Slip,https://www.amazon.it/dp/B0772KP6TV?psc=1,Multicolore (Azelea Pink / Beet Red / Pink Nectar),XS,,14.55,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/81ppbNv0TGL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/919g2lxjyYL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1GDQ9QdffL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/911JxvpVAEL._AC_UL1500_.jpg
