item>>brand,item>>categories,item>>color,item>>currency,item>>description,item>>gender,item>>image,item>>instock,item>>price,item>>rating,item>>reviews,item>>seller,item>>size,item>>sku,item>>title,item>>url
ASOS DESIGN,"Women, Dresses, Party Dresses",Navy,GBP,Dress by ASOS DESIGN Invitation: accepted One-shoulder design High split Drape back Slim fit,Women,https://images.asos-media.com/products/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/14943915-1-navy?$n_1280w$,yes,50.0,3.3,260,,UK 4,9846734,ASOS DESIGN one shoulder midaxi dress in satin with drape back in navy,https://www.asos.com/asos-design/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/prd/14943915
ASOS DESIGN,"Women, Dresses, Party Dresses",Navy,GBP,Dress by ASOS DESIGN Invitation: accepted One-shoulder design High split Drape back Slim fit,Women,https://images.asos-media.com/products/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/14943915-1-navy?$n_1280w$,yes,50.0,3.3,260,,UK 6,9846735,ASOS DESIGN one shoulder midaxi dress in satin with drape back in navy,https://www.asos.com/asos-design/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/prd/14943915
ASOS DESIGN,"Women, Dresses, Party Dresses",Navy,GBP,Dress by ASOS DESIGN Invitation: accepted One-shoulder design High split Drape back Slim fit,Women,https://images.asos-media.com/products/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/14943915-1-navy?$n_1280w$,yes,50.0,3.3,260,,UK 8,9846736,ASOS DESIGN one shoulder midaxi dress in satin with drape back in navy,https://www.asos.com/asos-design/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/prd/14943915
ASOS DESIGN,"Women, Dresses, Party Dresses",Navy,GBP,Dress by ASOS DESIGN Invitation: accepted One-shoulder design High split Drape back Slim fit,Women,https://images.asos-media.com/products/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/14943915-1-navy?$n_1280w$,yes,50.0,3.3,260,,UK 10,9846737,ASOS DESIGN one shoulder midaxi dress in satin with drape back in navy,https://www.asos.com/asos-design/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/prd/14943915
ASOS DESIGN,"Women, Dresses, Party Dresses",Navy,GBP,Dress by ASOS DESIGN Invitation: accepted One-shoulder design High split Drape back Slim fit,Women,https://images.asos-media.com/products/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/14943915-1-navy?$n_1280w$,yes,50.0,3.3,260,,UK 12,9846738,ASOS DESIGN one shoulder midaxi dress in satin with drape back in navy,https://www.asos.com/asos-design/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/prd/14943915
ASOS DESIGN,"Women, Dresses, Party Dresses",Navy,GBP,Dress by ASOS DESIGN Invitation: accepted One-shoulder design High split Drape back Slim fit,Women,https://images.asos-media.com/products/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/14943915-1-navy?$n_1280w$,yes,50.0,3.3,260,,UK 14,9846740,ASOS DESIGN one shoulder midaxi dress in satin with drape back in navy,https://www.asos.com/asos-design/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/prd/14943915
ASOS DESIGN,"Women, Dresses, Party Dresses",Navy,GBP,Dress by ASOS DESIGN Invitation: accepted One-shoulder design High split Drape back Slim fit,Women,https://images.asos-media.com/products/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/14943915-1-navy?$n_1280w$,yes,50.0,3.3,260,,UK 16,9846742,ASOS DESIGN one shoulder midaxi dress in satin with drape back in navy,https://www.asos.com/asos-design/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/prd/14943915
ASOS DESIGN,"Women, Dresses, Party Dresses",Navy,GBP,Dress by ASOS DESIGN Invitation: accepted One-shoulder design High split Drape back Slim fit,Women,https://images.asos-media.com/products/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/14943915-1-navy?$n_1280w$,yes,50.0,3.3,260,,UK 18,9846744,ASOS DESIGN one shoulder midaxi dress in satin with drape back in navy,https://www.asos.com/asos-design/asos-design-one-shoulder-midaxi-dress-in-satin-with-drape-back-in-navy/prd/14943915
AsYou,"Women, Dresses, Party Dresses",Black,GBP,Mini dress by ASYOU Cue the party playlist Square neck Cami straps Split hem Slim fit Close-fitting cut,Women,https://images.asos-media.com/products/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/22206820-1-black?$n_1280w$,yes,15.99,2.8,66,,UK 4,10968817,ASYOU satin square neck cami mini dress with split front in black,https://www.asos.com/asyou/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/prd/22206820
AsYou,"Women, Dresses, Party Dresses",Black,GBP,Mini dress by ASYOU Cue the party playlist Square neck Cami straps Split hem Slim fit Close-fitting cut,Women,https://images.asos-media.com/products/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/22206820-1-black?$n_1280w$,yes,15.99,2.8,66,,UK 6,10968818,ASYOU satin square neck cami mini dress with split front in black,https://www.asos.com/asyou/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/prd/22206820
