product>>brand,product>>categories,product>>color,product>>description,product>>gender,product>>image,product>>instock,product>>price,product>>rating,product>>seller,product>>sku,product>>title,product>>total_reviews,product>>url
Zolla,"Одежда, Женщинам, Блузы и рубашки",Бежевый,"Стильная женская рубашка с леопардовым принтом поможет вам создать множество стильных образов в деловом и кэжуал стилях. Прямой силуэт, отложной воротник, длинный рукав с манжетой на пуговице, накладные нагрудные карманы, закруглённая нижняя кромка, пуговицы скрыты под планкой. Размер на модели: XS. Рост модели: 176 см. ОГ-ОТ-ОБ: 84-61-89 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-5/6167443277.jpg,yes,1025,4.8,Zolla,418500956,Рубашка Zolla,4,https://www.ozon.ru/product/rubashka-zolla-418500956/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Бежевый,"Изящная блузка из легкого материала с принтом в крапинку. Объемный силуэт, фигурный вырез с бантом, длинный рукав с манжетой на двух пуговицах Размер на модели: XS. Рост модели: 172 см. ОГ-ОТ-ОБ: 81-57-86 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-z/6167454683.jpg,yes,1214,5.0,Zolla,416371081,Блузка Zolla,6,https://www.ozon.ru/product/bluzka-zolla-416371081/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Голубой,"Нежная женственная блузка из эластичной фактурной ткани добавит вашим образам лёгкости и изящества. Прилегающий силуэт, круглый вырез, короткий рукав фасона ""фонарик"" на резинке. Размер на модели: XS. Рост модели: 174 см. ОГ-ОТ-ОБ: 86-58-90,5 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-p/6262170565.jpg,yes,1133,0.0,Zolla,507119848,Блузка Zolla,0,https://www.ozon.ru/product/bluzka-zolla-507119848/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Бежевый,"Очаровательная женская блузка с леопардовым узором подойдёт как для нестрогого офисного дресс-кода, так и для романтичного повседневного образа. Силуэт ""баллон"", треугольный вырез на пуговицах, рукав 3/4 с эластичной манжетой-резинкой, эластичная утягивающая резинка на нижней кромке. Размер на модели: XS. Рост модели: 174 см. ОГ-ОТ-ОБ: 86-58-90,5 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-8/6272385980.jpg,yes,1376,0.0,Zolla,522377872,Блузка Zolla,0,https://www.ozon.ru/product/bluzka-zolla-522377872/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Слоновая кость,"Нарядная женская блузка из эластичного трикотажа с нежным цветочным узором и пояском в тон подойдет как для нестрогого офисного дресс-кода, так и для комфортной повседневной носки. Эластичный материал, полуприлегающий силуэт, круглый вырез, рукав 3/4, съёмный тканевый пояс в комплекте. Размер на модели: XS.",Женский,https://cdn1.ozone.ru/s3/multimedia-a/6234939322.jpg,yes,1034,4.8,Zolla,468946173,Блузка Zolla,11,https://www.ozon.ru/product/bluzka-zolla-468946173/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Розовый,"Нежно-розовая рубашка свободного силуэта, выполненная из лёгкого и комфортного материала с высоким содержанием хлопка. Отложной воротник, длинный спущенный рукав с манжетой на пуговице, накладной нагрудный карман. Размер на модели: XS. Рост модели: 176 см. ОГ-ОТ-ОБ: 84-61-89 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-l/6234929433.jpg,yes,1439,0.0,Zolla,470136669,Рубашка Zolla,0,https://www.ozon.ru/product/rubashka-zolla-470136669/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Белый,"Удлинённая белая женская рубашка с контрастными принтами-надписями поможет добавить оригинальности и разнообразит привычный деловой образ. Эластичная ткань, прямой силуэт, отложной воротник, длинный рукав с манжетой на пуговице, нагрудный накладной карман, закруглённый нижний край, удлинённая спинка, застёжка на пуговицах. Размер на модели: XS.",Женский,https://cdn1.ozone.ru/s3/multimedia-6/6234917034.jpg,yes,1403,4.7,Zolla,468935890,Рубашка Zolla,3,https://www.ozon.ru/product/rubashka-zolla-468935890/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Белый,"Женская футболка из эластичного трикотажа с акцентной отделкой на вырезе и рукавах - идеальная основа для множества повседневных образов. Прямой силуэт, V-образный вырез, короткие рукава, эластичная резинка с блёстками на вырезе и кромке рукавов, короткие боковые разрезы. Размер на модели: XS. Рост модели: 176 см. ОГ-ОТ-ОБ: 83-60-88 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-i/6247644990.jpg,yes,899,5.0,Zolla,484803288,Блузка Zolla,4,https://www.ozon.ru/product/bluzka-zolla-484803288/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Голубой,"Женская блузка прямого силуэта выполнена из лёгкого полупрозрачного материала с фактурным узором и блестящими нитями люрекса. Прямой силуэт, непрозрачный подклад, круглый вырез, рукав фасона ""фонарик"" 3/4 с эластичной резинкой на манжете, застёжка на пуговицу на вороте сзади. Размер на модели: XS. Рост модели: 177 см. ОГ-ОТ-ОБ: 82-61-89 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-k/6247644956.jpg,yes,1439,5.0,Zolla,487544129,Блузка Zolla,2,https://www.ozon.ru/product/bluzka-zolla-487544129/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Слоновая кость,"Очаровательная женская блузка с цветочным узором подойдёт как для нестрогого офисного дресс-кода, так и для романтичного повседневного образа. Силуэт ""баллон"", треугольный вырез с короткой планкой на пуговицах, длинный рукав с манжетой на пуговице, эластичная утягивающая резинка на нижней кромке. Размер на модели: XS.",Женский,https://cdn1.ozone.ru/s3/multimedia-t/6272385893.jpg,yes,1376,0.0,Zolla,522377035,Блузка Zolla,0,https://www.ozon.ru/product/bluzka-zolla-522377035/
