item>>brand,item>>categories,item>>description,item>>image,item>>instock,item>>price,item>>rating,item>>seller,item>>sku,item>>title,item>>total_reviews,item>>url
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/de/9f/2de4b8a79feb6bf1097cb791ee9e.jpg,yes,32.9,4.9,Перекрёсток,42235,"Печенье Юбилейное Традиционное витаминизированное, 134г",94,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-tradicionnoe-vitaminizirovannoe-134g-3471174
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/2d/08/2df542c46db9f8fd0ed866073f92.jpg,yes,99.99,4.93,Перекрёсток,41998,"Печенье Юбилейное молочное витаминизированное с глазурью, 232г",42,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-molocnoe-vitaminizirovannoe-s-glazuru-232g-4027701
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/9f/35/c8d441d9f84d3b59274847df5e87.jpg,yes,70,4.92,Перекрёсток,41970,"Печенье Юбилейное витаминизированное с глазурью, 232г",21,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-vitaminizirovannoe-s-glazuru-232g-4027703
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/44/a3/2c3b4050fc3bbc7b3eb745b561ac.jpg,yes,26.99,4.9,Перекрёсток,42436,"Печенье Юбилейное Традиционное витаминизированное, 112г",103,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-tradicionnoe-vitaminizirovannoe-112g-3471166
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/e1/06/6b24043f82047cfac17780033af6.jpg,yes,59.99,4.93,Перекрёсток,42313,"Печенье Юбилейное молочное витаминизированное с глазурью, 116г",73,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-molocnoe-vitaminizirovannoe-s-glazuru-116g-3472180
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/36/2b/403c1ef45d6b4e220937fdf0d798.jpg,yes,95.99,4.9,Перекрёсток,309427,"Печенье Юбилейное Традиционное витаминизированное, 268г",6,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-tradicionnoe-vitaminizirovannoe-268g-4193133
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/c9/be/e26c64db1fd8d92f6f767cd50c5e.jpg,yes,26.99,4.89,Перекрёсток,42372,"Печенье Юбилейное молочное витаминизированное, 112г",69,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-molocnoe-vitaminizirovannoe-112g-3472178
Любятово,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/a0/a2/39f94c29cbe760859c2b0889cdd9.png,yes,99.99,4.9,Перекрёсток,278376,"Печенье Любятово Топлёное молоко сахарное, 356г",41,https://www.perekrestok.ru/cat/399/p/pecene-lubatovo-toplenoe-moloko-saharnoe-356g-4122156
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/cd/18/4ae4bdf411d9d1566909518509cd.jpg,yes,61.99,4.92,Перекрёсток,267092,"Печенье Юбилейное витаминизированное со светлой глазурью, 121г",50,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-vitaminizirovannoe-so-svetloj-glazuru-121g-4078076
Пр!ст,"От Перекрёстка,Пр!ст",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/80/46/a67cbc25c14dc3xdb7a2fd61234e.jpg,yes,46.9,4.66,Перекрёсток,291893,"Печенье Пр!ст Чайное сахарное, 300г",29,https://www.perekrestok.ru/cat/361/p/pecene-pr-st-cajnoe-saharnoe-300g-4152128
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/40/78/769666e9a9a2578971d8e472e4b2.jpg,yes,91.99,4.96,Перекрёсток,309428,"Печенье Юбилейное с овсяными хлопьями витаминизированное, 268г",3,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-s-ovsanymi-hlopami-vitaminizirovannoe-268g-4193136
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/a4/49/c1dd491542781cbf06cb90230a1e.jpg,yes,59.99,4.92,Перекрёсток,42507,"Печенье Юбилейное ореховое витаминизированное с глазурью, 116г",48,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-orehovoe-vitaminizirovannoe-s-glazuru-116g-3471169
