item>>brand,item>>categories,item>>color,item>>description,item>>image,item>>instock,item>>price,item>>rating,item>>seller,item>>sku,item>>title,item>>total_reviews,item>>url
ROMWE," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Белый,"Цвет: Белый
Стиль: Повседневный
Принт: буква
Принт: Объект
Воротник: Круглый воротник
Длина рукава: Короткий рукав
Тип рукава: Обычный рукав
Длина: Обычные
Тип Застежки: пуловеры
Тип фигуры: Обычный
Ткань: Легкий Эластичный
Материал: Хлопок
ингредиент: 100% Хлопок
Инструкция по уходу: Машинная стирка, не подвергайте химчистке
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2022/02/07/1644216439741ecf476d3840474be0a7fd1575a444_thumbnail_405x552.jpg,yes,530,4.87,SHEIN,9780012,ROMWE X Aak Футболка с принтом буквы и фигуры,387,https://ru.shein.com/ROMWE-X-Aak-Figure-Letter-Graphic-Tee-p-9780012-cat-1738.html
SHEIN," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Белый,"Цвет: Белый
Стиль: Повседневный
Принт: Одноцветный
Воротник: V-образный вырез
Длина рукава: Короткий рукав
детали: Волнистый край
детали: со сборками
Тип рукава: Обычный рукав
Длина: Короткий
Тип Застежки: пуловеры
Тип фигуры: Облегающий
Ткань: Легкий Эластичный
Материал: Хлопок
ингредиент: 62% Полиэстер
ингредиент: 34% Хлопок
ингредиент: 4% спандекс
Инструкция по уходу: Машинная стирка или профессиональная химчистка
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2020/07/14/15946920227a95d5923b0cb6ff65f33685e078039c_thumbnail_405x552.jpg,yes,420,4.86,SHEIN,1377585,SHEIN Кроп топ со сборками,10000,https://ru.shein.com/SHEIN-Ruched-Front-Lettuce-Trim-Crop-Top-p-1377585-cat-1738.html
DAZY," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Многоцветный,"Цвет: Многоцветный
Стиль: Повседневный
Принт: Полосатый
Воротник: U-образный воротник
Длина рукава: Длинный рукав
детали: Асимметричный
детали: Волнистый край
детали: Пуговица
Тип рукава: Спущенный рукав
Форма низа: Асимметричный
Длина: Короткий
Тип Застежки: пуловеры
Тип фигуры: Обычный
Ткань: Легкий Эластичный
Материал: Хлопок
ингредиент: 100% Хлопок
Инструкция по уходу: Машинная стирка или профессиональная химчистка
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2022/03/10/1646877367abdfc9249290977416ce3cb3245be6e2_thumbnail_405x552.jpg,yes,1090,4.92,SHEIN,9973579,DAZY Футболка в полоску с волнистой отделкой на пуговицах,412,https://ru.shein.com/DAZY-Striped-Lettuce-Trim-Button-Front-Tee-p-9973579-cat-1738.html
DAZY," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Коричневые,"Цвет: Коричневые
Стиль: Элегантный
Принт: Одноцветный
Воротник: V-образный вырез
Длина рукава: Длинный рукав
детали: со сборками
детали: На запах
Тип рукава: Рукав-фонарик
Длина: Короткий
Тип Застежки: пуловеры
Тип фигуры: Обычный
Ткань: Неэластичный
Материал: Хлопок
ингредиент: 78.5% Хлопок
ингредиент: 17.1% Полиэстер
ингредиент: 4.4% спандекс
Инструкция по уходу: Ручная стирка или профессиональная химчистка
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2022/01/25/1643088175fcbc52e95fd722518b5e0b4371899788_thumbnail_405x552.jpg,yes,1190,4.92,SHEIN,9574207,DAZY Кроп-футболка с v-образным разрезом с v-образным вырезом,1166,https://ru.shein.com/DAZY-Surplice-V-Neck-Crop-Tee-p-9574207-cat-1738.html
DAZY," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Темно-серый,"Цвет: Темно-серый
Стиль: Повседневный
Принт: Мультяшный принт
Воротник: Круглый воротник
детали: с вышивкой
Длина рукава: Короткий рукав
Тип рукава: Спущенный рукав
Длина: длинно
Тип Застежки: пуловеры
Тип фигуры: Обычный
Ткань: Легкий Эластичный
Материал: Хлопок
ингредиент: 63% Хлопок
ингредиент: 37% Полиэстер
Инструкция по уходу: Машинная стирка или профессиональная химчистка
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2021/08/26/1629945259cf71cdbda3f9afb6ec5e5e77d4f53c5a_thumbnail_405x552.jpg,yes,760,4.90,SHEIN,3197273,DAZY Футболка с вышивкой утки,10000,https://ru.shein.com/DAZY-Duck-Embroidery-Drop-Shoulder-Tee-p-3197273-cat-1738.html
ROMWE," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Сиреневый Фиолетовый,"Цвет: Сиреневый Фиолетовый
Стиль: Повседневный
Принт: Мультяшный принт
Воротник: Круглый воротник
Длина рукава: Короткий рукав
Тип рукава: Обычный рукав
Длина: Короткий
Тип фигуры: Обычный
Ткань: Легкий Эластичный
Материал: Хлопок
ингредиент: 100% Хлопок
Инструкция по уходу: Машинная стирка, не подвергайте химчистке
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2022/05/13/16524199923ca4d3ea0b2945578e6a7972dc179bae_thumbnail_405x552.jpg,yes,740,,SHEIN,10746481,ROMWE X Mackenzie Spradlin Футболка с мультипликационным узором,,https://ru.shein.com/ROMWE-X-Mackenzie-Spradlin-Cartoon-Graphic-Tee-p-10746481-cat-1738.html
DAZY," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Белый,"Цвет: Белый
Стиль: Повседневный
Принт: Одноцветный
Воротник: Круглый воротник
Длина рукава: Длинный рукав
детали: Разрез
Тип рукава: Спущенный рукав
Длина: длинно
Тип Застежки: пуловеры
Тип фигуры: оверсайз
Ткань: Легкий Эластичный
Материал: Хлопок
ингредиент: 94.6% Хлопок
ингредиент: 5.4% спандекс
Инструкция по уходу: Машинная стирка или профессиональная химчистка
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2022/02/11/1644543887ced55fd0978ddd92e9ba1839e25dea7b_thumbnail_405x552.jpg,yes,1000,4.85,SHEIN,6585032,DAZY Футболка с разрезом,5101,https://ru.shein.com/DAZY-Split-Hem-Drop-Shoulder-Tee-p-6585032-cat-1738.html
DAZY," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Чёрный,"Цвет: Чёрный
Стиль: Повседневный
Принт: Сердечко
Принт: Лозунг
Воротник: Круглый воротник
Длина рукава: Половинный рукав
Тип рукава: Спущенный рукав
Длина: длинно
Тип Застежки: пуловеры
Тип фигуры: оверсайз
Ткань: Легкий Эластичный
Материал: Хлопок
ингредиент: 100% Хлопок
Инструкция по уходу: Ручная стирка или профессиональная химчистка
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2022/04/25/16508837635f4f12edf86455331487cde18d85ebec_thumbnail_405x552.jpg,yes,830,4.95,SHEIN,5273302,DAZY Футболка текстовый & с принтом сердечка,10000,https://ru.shein.com/DAZY-Slogan-Heart-Print-Drop-Shoulder-Tee-p-5273302-cat-1738.html
DAZY," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Бежевые,"Цвет: Бежевые
Стиль: Повседневный
Принт: буква
Воротник: Круглый воротник
Длина рукава: Половинный рукав
Тип рукава: Спущенный рукав
Длина: длинно
Тип Застежки: пуловеры
Тип фигуры: оверсайз
Ткань: Легкий Эластичный
Материал: Хлопок
ингредиент: 63% Хлопок
ингредиент: 37% Полиэстер
Инструкция по уходу: Машинная стирка или профессиональная химчистка
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2021/12/20/16399873180468d7999ff825205c6fa92f0fc76c90_thumbnail_405x552.jpg,yes,920,4.81,SHEIN,8202492,DAZY Футболка слоган & с принтом горы,266,https://ru.shein.com/DAZY-Slogan-Mountain-Print-Drop-Shoulder-Tee-p-8202492-cat-1738.html
ROMWE," Женская одежда, блузки и футболки, Женские топы,Женские футболки",Чёрный,"Цвет: Чёрный
Стиль: Повседневный
Принт: буква
Принт: Мультяшный принт
Воротник: Круглый воротник
Длина рукава: Короткий рукав
Тип рукава: Спущенный рукав
Длина: длинно
Тип Застежки: пуловеры
Тип фигуры: оверсайз
Ткань: Легкий Эластичный
Материал: Хлопок
ингредиент: 65% Хлопок
ингредиент: 35% Полиэстер
Инструкция по уходу: Машинная стирка или профессиональная химчистка
Прозрачный: НЕТ",https://img.ltwebstatic.com/images3_pi/2021/12/01/1638358552d092868d117aedb63f459a28d0c1c0b1_thumbnail_405x552.jpg,yes,920,4.96,SHEIN,8189972,ROMWE Starsalign Футболка с мультипликационным и текстовым принтом,577,https://ru.shein.com/ROMWE-Starsalign-Gemini-Cartoon-Letter-Graphic-Tee-p-8189972-cat-1738.html
