item>>brand,item>>categories,item>>color,item>>description,item>>image,item>>instock,item>>price,item>>rating,item>>seller,item>>sku,item>>title,item>>total_reviews,item>>url
SHEIN," Women Clothing,Women Dresses",Blue and White,"Color: Blue and White
Style: Boho
Pattern Type: Ditsy Floral
Details: Ruffle
Type: Smock
Neckline: V neck
Sleeve Length: Cap Sleeve
Sleeve Type: Butterfly Sleeve
Waist Line: High Waist
Hem Shaped: Flared
Length: Short
Fit Type: Regular Fit
Fabric: Non-Stretch
Material: Polyester
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No",https://img.ltwebstatic.com/images3_pi/2021/06/10/16232928774476371acd50e07061068425f3301bab_thumbnail_405x552.jpg,yes,11.00,4.66,SHEIN,2765897,SHEIN Ruffle Armhole Ditsy Floral Dress,4772,https://us.shein.com/SHEIN-Ruffle-Armhole-Ditsy-Floral-Dress-p-2765897-cat-1727.html
," Women Clothing,Women Dresses",Dark Green,"Color: Dark Green
Style: Boho
Pattern Type: Plain
Details: Ruffle
Details: Wrap
Details: Ruffle Hem
Details: Belted
Details: High Low
Type: A Line
Neckline: Deep V Neck
Sleeve Length: Cap Sleeve
Sleeve Type: Butterfly Sleeve
Waist Line: High Waist
Hem Shaped: Wrap
Length: Midi
Fit Type: Regular Fit
Fabric: Non-Stretch
Material: Polyester
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Belt: Yes
Sheer: No",https://img.ltwebstatic.com/images3_pi/2022/02/19/1645264361b540865caee8b9d3d45536d9c9873bfe_thumbnail_405x552.jpg,yes,22.00,4.81,SHEIN,9829230,Solid Ruffle Trim Belted Wrap Dress,1477,https://us.shein.com/Solid-Ruffle-Trim-Belted-Wrap-Dress-p-9829230-cat-1727.html
," Women Clothing,Women Dresses",Mint Green,"Color: Mint Green
Style: Boho
Pattern Type: Floral
Details: Tiered Layer
Details: Cut Out
Details: Tie Back
Details: Shirred
Details: Tie Front
Details: Ruched Bust
Type: Cami
Neckline: Halter
Sleeve Length: Sleeveless
Waist Line: High Waist
Hem Shaped: Layered/Tiered
Length: Short
Fit Type: Regular Fit
Fabric: Non-Stretch
Material: Polyester
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean
Sheer: No",https://img.ltwebstatic.com/images3_pi/2022/04/24/16507802065e602e455f3ef6355934a5d87c68f623_thumbnail_405x552.jpg,yes,18.00,4.89,SHEIN,10379288,Floral Print Shirred Waist Cut Out Tie Backless Layered Hem Halter Dress,123,https://us.shein.com/Floral-Print-Shirred-Waist-Cut-Out-Tie-Backless-Layered-Hem-Halter-Dress-p-10379288-cat-1727.html
," Women Clothing,Women Dresses",Navy Blue,"Color: Navy Blue
Style: Elegant
Pattern Type: Plain
Details: Belted
Type: A Line
Neckline: Notched
Sleeve Length: Short Sleeve
Sleeve Type: Batwing Sleeve
Waist Line: High Waist
Hem Shaped: Flared
Length: Midi
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Mesh
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Belt: Yes
Sheer: No",https://img.ltwebstatic.com/images3_pi/2022/03/16/1647415969747e24b2ffdfd6557637234479edacde_thumbnail_405x552.jpg,yes,20.00,4.69,SHEIN,10028574,Dolman Sleeve Contrast Geo Mesh Belted Dress,13,https://us.shein.com/Dolman-Sleeve-Contrast-Geo-Mesh-Belted-Dress-p-10028574-cat-1727.html
," Women Clothing,Women Dresses",Mint Green,"Color: Mint Green
Style: Boho
Pattern Type: Floral
Pattern Type: All Over Print
Details: Ruffle Hem
Details: Shirred
Details: Ruched Bust
Type: Cami
Neckline: Spaghetti Strap
Sleeve Length: Sleeveless
Waist Line: High Waist
Hem Shaped: Flounce
Length: Short
Fit Type: Regular Fit
Fabric: Non-Stretch
Material: Polyester
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Belt: No
Sheer: No",https://img.ltwebstatic.com/images3_pi/2021/12/20/1639965693e4d32a1ea5f7ef80b510b8e7708cfe9c_thumbnail_405x552.jpg,yes,17.00,4.70,SHEIN,8340587,Random Allover Floral Print Ruched Bust Ruffle Hem Cami Dress,3260,https://us.shein.com/Random-Allover-Floral-Print-Ruched-Bust-Ruffle-Hem-Cami-Dress-p-8340587-cat-1727.html
," Women Clothing,Women Dresses",Multicolor,"Color: Multicolor
Style: Boho
Pattern Type: Floral
Details: Backless
Details: Tie Back
Details: Shirred
Type: Cami
Neckline: Halter
Sleeve Length: Sleeveless
Waist Line: High Waist
Hem Shaped: Flared
Length: Maxi
Fit Type: Regular Fit
Fabric: Non-Stretch
Material: Polyester
Composition: 100% Polyester
Care Instructions: Hand wash or professional dry clean
Sheer: No",https://img.ltwebstatic.com/images3_pi/2022/05/20/1653017881e1549b00834818d24d43bee2aaa93073_thumbnail_405x552.jpg,yes,24.00,5.00,SHEIN,10619911,Floral Print Shirred Waist Tie Backless Halter Dress,8,https://us.shein.com/Floral-Print-Shirred-Waist-Tie-Backless-Halter-Dress-p-10619911-cat-1727.html
," Women Clothing,Women Dresses",Multicolor,"Color: Multicolor
Style: Boho
Pattern Type: Floral
Pattern Type: All Over Print
Details: Wrap
Type: A Line
Neckline: V neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Waist Line: High Waist
Hem Shaped: Flared
Length: Short
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Polyester
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No",https://img.ltwebstatic.com/images3_pi/2022/03/07/16466245106f5e8695aba7ea53606a2864649a8aa1_thumbnail_405x552.jpg,yes,13.00,4.65,SHEIN,7014372,Floral Print Surplice Neck Dress,1875,https://us.shein.com/Floral-Print-Surplice-Neck-Dress-p-7014372-cat-1727.html
SHEIN," Women Clothing,Women Dresses",Black,"Color: Black
Style: Casual
Pattern Type: Letter
Pattern Type: Graphic
Details: Split Thigh
Type: Fitted
Neckline: Round Neck
Sleeve Length: Sleeveless
Waist Line: High Waist
Hem Shaped: Slit
Length: Midi
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Cotton
Composition: 100% Cotton
Care Instructions: Machine wash or professional dry clean
Sheer: No",https://img.ltwebstatic.com/images3_pi/2022/04/28/16511252176c5699bf0a2c2fa6c7ee40f24ab68fd5_thumbnail_405x552.jpg,yes,13.75,4.60,SHEIN,10104453,SHEIN Letter Graphic Print Split Thigh Dress,73,https://us.shein.com/SHEIN-Letter-Graphic-Print-Split-Thigh-Dress-p-10104453-cat-1727.html
," Women Clothing,Women Dresses",Apricot,"Color: Apricot
Style: Glamorous
Pattern Type: Plain
Details: Belted
Type: A Line
Neckline: Round Neck
Sleeve Length: Three Quarter Length Sleeve
Sleeve Type: Flounce Sleeve
Waist Line: High Waist
Hem Shaped: Flared
Length: Maxi
Fit Type: Regular Fit
Fabric: Medium Stretch
Material: Polyester
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Belt: Yes
Sheer: No",https://img.ltwebstatic.com/images3_pi/2022/02/23/164559379494396568efeebdd3d3eb71d5adbb3792_thumbnail_405x552.jpg,yes,34.00,4.53,SHEIN,9852964,Flounce Sleeve Belted Sequins Dress,64,https://us.shein.com/Flounce-Sleeve-Belted-Sequins-Dress-p-9852964-cat-1727.html
," Women Clothing,Women Dresses",Multicolor,"Color: Multicolor
Style: Boho
Pattern Type: Floral
Details: Pearls
Type: Cami
Neckline: Spaghetti Strap
Sleeve Length: Sleeveless
Waist Line: Natural
Hem Shaped: Flared
Length: Short
Fit Type: Loose
Fabric: Non-Stretch
Material: Polyester
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Sheer: No",https://img.ltwebstatic.com/images3_pi/2022/05/17/1652758061eeb34cfcd09d34c7b0f151e9ca7e38f5_thumbnail_405x552.jpg,yes,12.00,5.00,SHEIN,10580418,Allover Print Cami Dress,6,https://us.shein.com/Allover-Print-Cami-Dress-p-10580418-cat-1727.html
