product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
American Apparel ®,Women|Multipacks,USD,2017-12-05T18:06:21.973Z,The 50/50 Crewneck T-Shirt is a super-soft Poly-Cotton t-shirt featuring a slightly scooped neck and perfectly worn feel.,http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_white?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_white?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_asphalt?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_gold?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_kellygreen?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_navy?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_orchid?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_pink?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_red?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_truffle?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb301w_white?$ProductZoom$,50/50 Crewneck T-Shirt,18,bb301w,http://www.americanapparel.com/en/50-50-crewneck-t-shirt_bb301w?c=White,Asphalt|Black|Gold|Kelly Green|Navy|Orchid|Pink|Red|Truffle|White
American Apparel ®,Women|T-Shirts & Tanks|Tanks,USD,2017-12-05T18:06:25.305Z,The 50/50 tank is a sexy tank with generously cut arm openings and a slim racerback in our super-soft Poly-Cotton fabric.,http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_navy?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_navy?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_asphalt?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_gold?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_kellygreen?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_navy?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_orchid?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_pink?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_red?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_truffle?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/bb308w_white?$ProductZoom$,50/50 Tank,16,bb308w,http://www.americanapparel.com/en/50-50-tank_bb308w?c=Navy,Asphalt|Black|Gold|Kelly Green|Navy|Orchid|Pink|Red|Truffle|White
American Apparel ®,Women|Basics Shop,USD,2017-12-05T18:06:28.613Z,"The 50/50 Loose Crop Tee is a loose-fitting cropped t-shirt in our ultra-soft 50/50 Poly-Cotton blend. Perfect for layering or paired with high-waist skirts, pants and shorts.",http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_white?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_white?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_navy?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_orchid?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_pink?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_red?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_white?$ProductZoom$,50/50 Loose Crop Tee,18,rsabb380w,http://www.americanapparel.com/en/50-50-loose-crop-tee_rsabb380w?c=White,Black|Navy|Orchid|Pink|Red|White
American Apparel ®,Women|Multipacks,USD,2017-12-05T18:06:31.899Z,The Tri-Blend Racerback Tank is a sexy tank with generously cut arm openings and a slim racerback in our ultra soft Tri-Blend fabric. • Polyester retains shape and elasticity; Cotton lends both comfort and durability; addition of Rayon makes for a unique texture and drapes against the body for a slimming look,http://s7d9.scene7.com/is/image/AmericanApparel/tr308w_tri-lieutenant?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/tr308w_tri-lieutenant?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/tr308w_athleticblue?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr308w_athleticgrey?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr308w_tri-black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr308w_tri-creolepink?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr308w_tri-indigo?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr308w_tri-lieutenant?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr308w_tri-red?$ProductZoom$,Tri-Blend Racerback Tank,18,tr308w,http://www.americanapparel.com/en/tri-blend-racerback-tank_tr308w?c=Tri-Lieutenant,Athletic Blue|Athletic Grey|Tri-Black|Tri-Creole Pink|Tri-Indigo|Tri-Lieutenant|Tri-Red
American Apparel ®,Women|New,USD,2017-12-05T18:06:35.239Z,The 50/50 Cropped 3/4 Sleeve Raglan is a soft and lightweight t-shirt in our Poly-Cotton blend; a modern version of the traditional baseball raglan - take two. This time with a perfect cropped fit that's flirty and fun.,http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_red_navy?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_red_navy?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_heatherblack_black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_heathergrey_gold?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_lightblue_heathergrey?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_red_navy?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_white_black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_white_heathergrey?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_white_navy?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_white_orchid?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_white_pink?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb354w_white_red?$ProductZoom$,50/50 Cropped 3/4 Sleeve Raglan,24,rsabb354w,http://www.americanapparel.com/en/50-50-cropped-3-4-sleeve-raglan_rsabb354w,Heather Black/Black|Heather Grey/Gold|Light Blue/Heather Grey|Red/Navy|White/Black|White/Heather Grey|White/Navy|White/Orchid|White/Pink|White/Red
American Apparel ®,Women|Best Sellers,USD,2017-12-05T18:06:38.568Z,"The Tri-Blend Crewneck Track T-Shirt is the women's version of our Tri-Blend Track Shirt. Enjoy everything you love about the fit, feel and durability of a vintage T-shirt, in a brand new version. The Polyester retains shape and elasticity; the Cotton lends both comfort and durability; the addition of Rayon makes for a unique texture and drapes against the body for a slimming look.",http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_athleticgrey?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_athleticgrey?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_athleticgrey?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_tri-black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_tri-cranberry?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_tri-creolepink?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_tri-indigo?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_tri-lieutenant?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_tri-oatmeal?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr301w_tri-red?$ProductZoom$,Tri-Blend Crewneck Track T-Shirt,20,tr301w,http://www.americanapparel.com/en/tri-blend-crewneck-track-t-shirt_tr301w?c=Athletic Grey,Athletic Grey|Tri-Black|Tri-Cranberry|Tri-Creole Pink|Tri-Indigo|Tri-Lieutenant|Tri-Oatmeal|Tri-Red
American Apparel ®,Women|T-Shirts & Tanks|Short Sleeve,USD,2017-12-05T18:06:41.883Z,"The Tri-Blend V-Neck T-Shirt. Our super popular women's Tri-Blend shirt, now available in a classic v-neck. • Polyester retains shape and elasticity; Cotton lends both comfort and durability; addition of Rayon makes for a unique texture and drapes against the body for a slimming look.",http://s7d9.scene7.com/is/image/AmericanApparel/tr461wu_tri-black?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/tr461wu_tri-black?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/tr461wu_athleticblue?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr461wu_athleticgrey?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr461wu_tri-black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/tr461wu_tri-indigo?$ProductZoom$,Unisex Tri-Blend V-Neck T-Shirt,20,tr461wu,http://www.americanapparel.com/en/unisex-tri-blend-v-neck-t-shirt_tr461wu?c=Tri-Black,Athletic Blue|Athletic Grey|Tri-Black|Tri-Indigo
American Apparel ®,Women|Multipacks,USD,2017-12-05T18:06:45.197Z,The Fine Jersey Crewneck T-Shirt maintains the women's fit of our Fine Jersey T-shirt and features a slightly scooped neck and perfectly worn feel.,http://s7d9.scene7.com/is/image/AmericanApparel/23215w_apricot?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_apricot?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_apricot?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_aqua?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_asphalt?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_babyblue?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_brown?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_cranberry?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_creme?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_eggplant?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_forest?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_fuchsia?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_heathergrey?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_kellygreen?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_lieutenant?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_lightblue?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_mint?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_navy?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_newsilver?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_pink?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_purple?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_red?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_royalblue?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_stripeheathergrey_white?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_sunshine?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/23215w_white?$ProductZoom$,Fine Jersey Crewneck T-Shirt,18,23215w,http://www.americanapparel.com/en/fine-jersey-crewneck-t-shirt_23215w?c=Apricot,Apricot|Aqua|Asphalt|Baby Blue|Black|Brown|Cranberry|Crème|Eggplant|Forest|Fuchsia|Heather Grey|Kelly Green|Lieutenant|Light Blue|Mint|Navy|New Silver|Pink|Purple|Red|Royal Blue|Stripe Heather Grey/White|Sunshine|White
American Apparel ®,Women|Basics Shop,USD,2017-12-05T18:06:48.631Z,"The 50/50 Loose Crop Tee is a loose-fitting cropped t-shirt in our ultra-soft 50/50 Poly-Cotton blend. Perfect for layering or paired with high-waist skirts, pants and shorts.",http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_white?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_white?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_navy?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_orchid?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_pink?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_red?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/rsabb380w_white?$ProductZoom$,50/50 Loose Crop Tee,18,rsabb380w,http://www.americanapparel.com/en/50-50-loose-crop-tee_rsabb380w,Black|Navy|Orchid|Pink|Red|White
American Apparel ®,Women|New,USD,2017-12-05T18:06:51.938Z,"The Cotton Spandex Tank Top is a simple and durable tank top featuring a low scoop neck and dual stitching at bottom hem, sleeves and neckline.",http://s7d9.scene7.com/is/image/AmericanApparel/8308w_white?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/8308w_white?defaultImage=/notavail&$ProductImage2.5$|http://s7d9.scene7.com/is/image/AmericanApparel/8308w_black?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/8308w_heathergrey?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/8308w_navy?$ProductZoom$|http://s7d9.scene7.com/is/image/AmericanApparel/8308w_white?$ProductZoom$,Cotton Spandex Tank Top,18,8308w,http://www.americanapparel.com/en/cotton-spandex-tank-top_8308w?c=White,Black|Heather Grey|Navy|White
