product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
banana-republic,Women|what's new|new arrivals|Riley-Fit Stain-Resistant Super-Stretch Shirt,USD,2017-12-06T20:24:20.440Z,"Riley-Fit Stain-Resistant Super-Stretch Shirt, Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0013/731/030/cn13731030.jpg|http://bananarepublic.gap.com/webcontent/0013/787/545/cn13787545.jpg|http://bananarepublic.gap.com/webcontent/0013/787/550/cn13787550.jpg|http://bananarepublic.gap.com/webcontent/0013/731/030/cn13731030.jpg|http://bananarepublic.gap.com/webcontent/0013/787/545/cn13787545.jpg|http://bananarepublic.gap.com/webcontent/0013/787/550/cn13787550.jpg,Riley-Fit Stain-Resistant Super-Stretch Shirt,88,875959,http://bananarepublic.gap.com/browse/product.do?pid=875959&cid=48422,White|White
banana-republic,Women|what's new|new arrivals|Riley-Fit Stain-Resistant Super-Stretch Shirt,USD,2017-12-06T20:24:22.345Z,"Pearl Print Tie-Back Dress, Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0014/333/311/cn14333311.jpg|http://bananarepublic.gap.com/webcontent/0014/511/681/cn14511681.jpg|http://bananarepublic.gap.com/webcontent/0014/511/700/cn14511700.jpg|http://bananarepublic.gap.com/webcontent/0014/501/794/cn14501794.jpg|http://bananarepublic.gap.com/webcontent/0014/333/311/cn14333311.jpg|http://bananarepublic.gap.com/webcontent/0014/511/681/cn14511681.jpg|http://bananarepublic.gap.com/webcontent/0014/511/700/cn14511700.jpg|http://bananarepublic.gap.com/webcontent/0014/501/794/cn14501794.jpg,Pearl Print Tie-Back Dress,128,878840,http://bananarepublic.gap.com/browse/product.do?pid=878840&cid=48422,Navy|Navy
banana-republic,Women|what's new|new arrivals|Riley-Fit Stain-Resistant Super-Stretch Shirt,USD,2017-12-06T20:24:23.316Z,"Stripe Pajama-Style Shirt with Piping, Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0014/388/402/cn14388402.jpg|http://bananarepublic.gap.com/webcontent/0014/556/204/cn14556204.jpg|http://bananarepublic.gap.com/webcontent/0014/556/192/cn14556192.jpg|http://bananarepublic.gap.com/webcontent/0014/388/402/cn14388402.jpg|http://bananarepublic.gap.com/webcontent/0014/556/204/cn14556204.jpg|http://bananarepublic.gap.com/webcontent/0014/556/192/cn14556192.jpg,Stripe Pajama-Style Shirt with Piping,88,887053,http://bananarepublic.gap.com/browse/product.do?pid=887053&cid=48422,Navy|Navy
banana-republic,Women|what's new|new arrivals|Riley-Fit Stain-Resistant Super-Stretch Shirt,USD,2017-12-06T20:24:24.239Z,"Zero Gravity Dixie Wash Skinny Ankle Jean, Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0013/683/975/cn13683975.jpg|http://bananarepublic.gap.com/webcontent/0013/684/197/cn13684197.jpg|http://bananarepublic.gap.com/webcontent/0013/745/912/cn13745912.jpg|http://bananarepublic.gap.com/webcontent/0013/683/975/cn13683975.jpg|http://bananarepublic.gap.com/webcontent/0013/684/197/cn13684197.jpg|http://bananarepublic.gap.com/webcontent/0013/745/912/cn13745912.jpg,Zero Gravity Dixie Wash Skinny Ankle Jean,110,874720,http://bananarepublic.gap.com/browse/product.do?pid=874720&cid=48422,Indigo|Indigo
banana-republic,Women|what's new|new arrivals|Faux Fur Cape,USD,2017-12-06T20:24:25.409Z,"Faux Fur Cape, Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0014/281/746/cn14281746.jpg|http://bananarepublic.gap.com/webcontent/0014/516/385/cn14516385.jpg|http://bananarepublic.gap.com/webcontent/0014/516/395/cn14516395.jpg|http://bananarepublic.gap.com/webcontent/0014/282/115/cn14282115.jpg|http://bananarepublic.gap.com/webcontent/0014/282/126/cn14282126.jpg|http://bananarepublic.gap.com/webcontent/0014/282/131/cn14282131.jpg|http://bananarepublic.gap.com/webcontent/0014/511/583/cn14511583.jpg|http://bananarepublic.gap.com/webcontent/0014/281/746/cn14281746.jpg|http://bananarepublic.gap.com/webcontent/0014/516/385/cn14516385.jpg|http://bananarepublic.gap.com/webcontent/0014/516/395/cn14516395.jpg|http://bananarepublic.gap.com/webcontent/0014/282/115/cn14282115.jpg|http://bananarepublic.gap.com/webcontent/0014/282/126/cn14282126.jpg|http://bananarepublic.gap.com/webcontent/0014/282/131/cn14282131.jpg|http://bananarepublic.gap.com/webcontent/0014/511/583/cn14511583.jpg,Faux Fur Cape,168,877651,http://bananarepublic.gap.com/browse/product.do?pid=877651&cid=48422,Slate Gray|Slate Gray
banana-republic,Women|what's new|new arrivals|Faux Fur Cape,USD,2017-12-06T20:24:26.351Z,"Italian Melton Wool-Blend Long Coat, Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0014/065/608/cn14065608.jpg|http://bananarepublic.gap.com/webcontent/0014/065/608/cn14065608.jpg,Italian Melton Wool-Blend Long Coat,298,795431,http://bananarepublic.gap.com/browse/product.do?pid=795431&cid=48422,Navy|Navy
banana-republic,Women|what's new|new arrivals|Faux Fur Cape,USD,2017-12-06T20:24:27.236Z,"Italian Melton Wool-Blend Car Coat, Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0014/400/523/cn14400523.jpg|http://bananarepublic.gap.com/webcontent/0014/428/487/cn14428487.jpg|http://bananarepublic.gap.com/webcontent/0014/428/517/cn14428517.jpg|http://bananarepublic.gap.com/webcontent/0014/428/527/cn14428527.jpg|http://bananarepublic.gap.com/webcontent/0014/428/537/cn14428537.jpg|http://bananarepublic.gap.com/webcontent/0014/428/547/cn14428547.jpg|http://bananarepublic.gap.com/webcontent/0014/475/680/cn14475680.jpg|http://bananarepublic.gap.com/webcontent/0014/400/523/cn14400523.jpg|http://bananarepublic.gap.com/webcontent/0014/428/487/cn14428487.jpg|http://bananarepublic.gap.com/webcontent/0014/428/517/cn14428517.jpg|http://bananarepublic.gap.com/webcontent/0014/428/527/cn14428527.jpg|http://bananarepublic.gap.com/webcontent/0014/428/537/cn14428537.jpg|http://bananarepublic.gap.com/webcontent/0014/428/547/cn14428547.jpg|http://bananarepublic.gap.com/webcontent/0014/475/680/cn14475680.jpg,Italian Melton Wool-Blend Car Coat,298,795420,http://bananarepublic.gap.com/browse/product.do?pid=795420&cid=48422,Heather Gray|Heather Gray
banana-republic,Women|what's new|new arrivals|Faux Fur Cape,USD,2017-12-06T20:24:28.058Z,"LIFE IN MOTION Water-Resistant 3-in-1 Jacket with Removable Faux Fur Collar  , Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0014/318/395/cn14318395.jpg|http://bananarepublic.gap.com/webcontent/0014/483/419/cn14483419.jpg|http://bananarepublic.gap.com/webcontent/0014/483/427/cn14483427.jpg|http://bananarepublic.gap.com/webcontent/0014/318/407/cn14318407.jpg|http://bananarepublic.gap.com/webcontent/0014/476/249/cn14476249.jpg,LIFE IN MOTION Water-Resistant 3-in-1 Jacket with Removable Faux Fur Collar  ,248,889292,http://bananarepublic.gap.com/browse/product.do?pid=889292&cid=48422,Golden Beige
banana-republic,Women|what's new|new arrivals|Faux Fur Cape,USD,2017-12-06T20:24:28.983Z,"Water-Resistant All-Season Trench with Removable Liner, Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0014/393/470/cn14393470.jpg|http://bananarepublic.gap.com/webcontent/0014/492/218/cn14492218.jpg|http://bananarepublic.gap.com/webcontent/0014/492/208/cn14492208.jpg|http://bananarepublic.gap.com/webcontent/0014/393/539/cn14393539.jpg|http://bananarepublic.gap.com/webcontent/0014/393/544/cn14393544.jpg|http://bananarepublic.gap.com/webcontent/0014/393/548/cn14393548.jpg|http://bananarepublic.gap.com/webcontent/0014/475/842/cn14475842.jpg|http://bananarepublic.gap.com/webcontent/0014/393/470/cn14393470.jpg|http://bananarepublic.gap.com/webcontent/0014/492/218/cn14492218.jpg|http://bananarepublic.gap.com/webcontent/0014/492/208/cn14492208.jpg|http://bananarepublic.gap.com/webcontent/0014/393/539/cn14393539.jpg|http://bananarepublic.gap.com/webcontent/0014/393/544/cn14393544.jpg|http://bananarepublic.gap.com/webcontent/0014/393/548/cn14393548.jpg|http://bananarepublic.gap.com/webcontent/0014/475/842/cn14475842.jpg,Water-Resistant All-Season Trench with Removable Liner,228,877688,http://bananarepublic.gap.com/browse/product.do?pid=877688&cid=48422,Golden Beige|Golden Beige
banana-republic,Women|what's new|new arrivals|Faux Fur Cape,USD,2017-12-06T20:24:30.026Z,"Double Breasted-Fit Stripe Blazer, Women's Apparel, Women's Apparel new arrivals, Banana Republic",http://bananarepublic.gap.com/webcontent/0014/326/854/cn14326854.jpg|http://bananarepublic.gap.com/webcontent/0014/440/732/cn14440732.jpg|http://bananarepublic.gap.com/webcontent/0014/440/727/cn14440727.jpg|http://bananarepublic.gap.com/webcontent/0014/344/694/cn14344694.jpg|http://bananarepublic.gap.com/webcontent/0014/327/145/cn14327145.jpg|http://bananarepublic.gap.com/webcontent/0014/327/157/cn14327157.jpg|http://bananarepublic.gap.com/webcontent/0014/326/854/cn14326854.jpg|http://bananarepublic.gap.com/webcontent/0014/440/732/cn14440732.jpg|http://bananarepublic.gap.com/webcontent/0014/440/727/cn14440727.jpg|http://bananarepublic.gap.com/webcontent/0014/344/694/cn14344694.jpg|http://bananarepublic.gap.com/webcontent/0014/327/145/cn14327145.jpg|http://bananarepublic.gap.com/webcontent/0014/327/157/cn14327157.jpg,Double Breasted-Fit Stripe Blazer,178,886379,http://bananarepublic.gap.com/browse/product.do?pid=886379&cid=48422,White & Purple Stripe|White & Purple Stripe
