product>>brand,product>>category,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Pawslife,More|Pet Care|Cat,2018-11-21T00:05:04.905Z,The Deluxe Window Cat Perch from Pawslife provides a comfortable and large surface for your cat to rest while enjoying the view or laying in the sun. Keeps cat off your precious furniture. Secures easily to your windowsill.,https://b3h2.scene7.com/is/image/BedBathandBeyond/48252942840480p__1?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/48252942840480p?scl=1,Pawslife&trade; Deluxe Window Cat Perch,24.99,1042840480,https://www.bedbathandbeyond.com/store/product/pawslife-trade-deluxe-window-cat-perch/1042840480?categoryId=15703,BLACK/SILVER
Patchwork Pet,More|Pet Care|Cat,2018-11-21T00:05:07.526Z,"Give your cat hours of fun play and exercise with the Patchwork Pet Sushi Themed Cat Toys. Small and colorful, these delicious looking toys will give your kitty the feeling of hunting in the wild, while they chase and stalk toy balls and cat nip.",https://b3h2.scene7.com/is/image/BedBathandBeyond/189237465376652p?scl=1,Patchwork Pet 9-Piece Sushi Themed Cat Toys,9.99,5196161,https://www.bedbathandbeyond.com/store/product/patchwork-pet-9-piece-sushi-themed-cat-toys/5196161?categoryId=15703,ASSORTED
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:05:09.634Z,"This Multipet Sock Pals Rabbit Catnip-Filled Cat Toy will keep your kitty amused for hours. The fun animal shape is stuffed with catnip to encourage your pet&#39;s instinctual behavior. Perfect size to hug, bat and wrestle with.",https://b3h2.scene7.com/is/image/BedBathandBeyond/80251446247735p?scl=1,Multipet&trade; Sock Pals Rabbit Catnip Cat Toy in Brown/Cream,3.99,1046247735,https://www.bedbathandbeyond.com/store/product/multipet-trade-sock-pals-rabbit-catnip-cat-toy-in-brown-cream/1046247735?categoryId=15703,BROWN/CREAM
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:05:11.772Z,"Create a convenient space for your cat to lounge, sun, and watch the birds with the Kitty Sill Double Stack EZ Window Mount. Its two-tiered design creates a dual play/sleep area and folds up easy so you can operate your window normally.",https://b3h2.scene7.com/is/image/BedBathandBeyond/65556344691660p?scl=1,Kitty Sill Double Stack EZ Window Mount&trade; in Grey/Black,39.99,1044691660,https://www.bedbathandbeyond.com/store/product/kitty-sill-double-stack-ez-window-mount-trade-in-grey-black/1044691660?categoryId=15703,GRAY/BLACK
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:05:13.992Z,"The entertaining OurPets Twice the Mice gives your cat double the fun. Your cat will love engaging in a playfully realistic hunting experience while being mentally and physically stimulated. These toys mimic real-life mice in look, texture, and sound.",https://b3h2.scene7.com/is/image/BedBathandBeyond/92585047165311p?scl=1,OurPets&reg; Twice the Mice&trade; Cat Toy,7.99,1047165311,https://www.bedbathandbeyond.com/store/product/ourpets-reg-twice-the-mice-trade-cat-toy/1047165311?categoryId=15703,MULTI
PetFusion,More|Pet Care|Cat,2018-11-21T00:05:16.104Z,"Give your cat the perfect place to play and relax with the Ultimate Cat Scratcher Lounge from PetFusion. Made from corrugated cardboard, the curved modern design encourages your cat to scratch, stretch and rest, keeping them away from your furniture.","https://b3h2.scene7.com/is/image/BedBathandBeyond/132697162216623p__1,132697162216623p__3,132697162216623p__4,132697162216623p__2?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/132697162216623p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/132696962221870p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/132697062216630p?scl=1",PetFusion&trade; Ultimate Cat Scratcher Lounge,49.99,3333701,https://www.bedbathandbeyond.com/store/product/petfusion-trade-ultimate-cat-scratcher-lounge/3333701?categoryId=15703,GRAY|WHITE|BROWN
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:05:18.340Z,"Feed your cat with the durable, color-popping Silly Kitty Pet Saucer. The 2.5-ounce saucer is the perfect size for smaller cats to enjoy their food or water. There is even an adorable cat cartoon awaiting at the bottom of the bowl.",https://b3h2.scene7.com/is/image/BedBathandBeyond/90083546719324p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/90083346719348p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/90083446719331p?scl=1,Silly Kitty Pet Saucer,6.99,3296775,https://www.bedbathandbeyond.com/store/product/silly-kitty-pet-saucer/3296775?categoryId=15703,PINK|YELLOW|LIME GREEN
Blue Buffalo,More|Pet Care|Cat|Blue Buffalo Wilderness® 2 oz. Cat Treats,2018-11-21T00:05:20.600Z,"Your favorite feline is certain to be pleased with the Blue Buffalo Kitty Cravings Crunchy Shrimp 2 oz. Cat Treats. These crunchy treats are made with real, protein-packed shrimp, and their low calorie count makes them a truly guilt-free snack.",https://b3h2.scene7.com/is/image/BedBathandBeyond/199981265588635p?scl=1,Blue Buffalo Wilderness&reg; 2 oz. Cat Treats,1.99,5209221,https://www.bedbathandbeyond.com/store/product/blue-buffalo-kitty-cravings-crunchy-shrimp-2-oz-cat-treats/5209221?categoryId=15703,NO COLOR
The Refinedkind,More|Pet Care|Pet Beds,2018-11-21T00:05:23.107Z,"Let your cat lounge in style nestled inside this Kitty Ball Bed. The unique design of this cat bed allows your feline friend to get cozy in a large comfortable bed that is elevated off the ground, yet easy to reach.",https://b3h2.scene7.com/is/image/BedBathandBeyond/19359318776650p?scl=1,The Refined Feline&#153; Kitty Ball Cat Bed&#153;,86.99,1018776650,https://www.bedbathandbeyond.com/store/product/the-refined-feline-153-kitty-ball-cat-bed-153/1018776650?categoryId=15703,ESPRESSO
FroliCat,More|Pet Care|Cat,2018-11-21T00:05:25.594Z,Engage your cat in healthy play with the FroliCat Zip Laser Toy. This interactive laser spins and whirls on the ground keeping your cat stimulated and moving and shuts off automatically after 10 minutes to save battery life.,"https://b3h2.scene7.com/is/image/BedBathandBeyond/126115661780682p__3,126115661780682p__2,126115661780682p__1?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/126115661780682p?scl=1",FroliCat&reg; Zip Laser Toy,19.99,1061780682,https://www.bedbathandbeyond.com/store/product/frolicat-reg-zip-laser-toy/1061780682?categoryId=15703,WHITE
