product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:16.184Z,"The compact design of this Swaged Wire Rope makes it up to 26% stronger than standard winch lines of the same diameter. The outer wires have a larger surface area than standard winch lines, providing better resistance to wear and tear. The already compact line is also resistant to abrasion, pig tailing, kinking and drum crushing. The 6 x 26 IWRC construction features a stainless steel duplex sleeve that maximizes sleeve to wire rope contact and a strong alloy Hook and Latch. Design Factor: 3.55:1 Ratio. NOTE: Match to your existing wire rope size or check your winch manufacturer's wire rope size recommendation before ordering.",https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_03.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_03.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_03.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_03.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_03.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MW89_03.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/36MX08_AS01.jpg,B/A Products Swaged IWRC Wire Rope with Hook and Latch,89.95,37346391,https://www.benmeadows.com/ba-products-swaged-iwrc-wire-rope-with-hook-and-latch_37346391/,Diameter: 3/8''|Length: 100'|Diameter: 3/8''|Length: 75'|Diameter: 3/8''|Length: 56'|Diameter: 3/8''|Length: 35'|Diameter: 3/8''|Length: 50'|Diameter: 1/2''|Length: 100'|Diameter: 7/16''|Length: 150'|Diameter: 7/16''|Length: 75'|Diameter: 3/8''|Length: 150'|Diameter: 1/2''|Length: 150'|Diameter: 7/16''|Length: 50'
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:19.635Z,"Tough and durable, these lifting/pulling devices are designed for heavy-duty jobs. Puller handle bends as a safety warning when it is overloaded. The frame and pawls are made of ductile iron and the yoke is malleable iron. The frame hook and end hook are forged steel and tackle block hook is a steel casting. Each Puller comes with 5⁄16"" wire cable on a welded ductile iron reel (cast iron reel on No. 210016). Dimensions: 8""H x 6""W x 17""L.Heavy-duty model Pullers are available with two or three-ton capacity with double line. Two-ton model comes with choice of cable length.",https://www.benmeadows.com/images/ir/s7product/8C839_AS04.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS04.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS07.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS07.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_web01.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AA01.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS06.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS06.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS05.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_web01.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS07.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS07.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_web01.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS07.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_AS07.jpg|https://www.benmeadows.com/images/ir/s7product/8C839_web01.jpg,The More Power Puller&#174; Puller,225.99,36810185,https://www.benmeadows.com/the-more-power-puller-puller_36810185/,Capacity: 2 Ton|Length: 35'|Capacity: 3 Ton|Length: 20'|Capacity: 2 Ton|Length: 30'|Capacity: 2 Ton|Length: 20'
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:22.272Z,"Make hauling and securing heavy loads a little easier with these Cable Pullers. Galvanized aircraft-quality cable is virtually indestructible.One-piece aluminum-alloy ratchet wheels resist wear and last longer than laminated wheels. Electro-plated parts protect against rust. Drop-forged steel slip hooks rotate a full 360°. Notch-at-a-time letdown makes for trouble-free, positive-control lowering and releasing.1-Ton Cable Puller is the ""original."" 3⁄16""-dia. cable. 15:1 leverage. 12' max. lift.2-Ton Cable Puller adds more leverage (30:1) and a pulley for heavier loads. 3⁄16""-dia. cable. 6' max. lift.3-Ton Cable Puller has 5⁄16""-dia. cable with 35:1 leverage for lifting your heaviest loads. 12' max. lift.",https://www.benmeadows.com/images/ir/s7product/8CJJ7_AS03.jpg|https://www.benmeadows.com/images/ir/s7product/8CJJ7_AS03.jpg|https://www.benmeadows.com/images/ir/s7product/8YAA0_web01.jpg|https://www.benmeadows.com/images/ir/s7product/8YAA0_web01.jpg|https://www.benmeadows.com/images/ir/s7product/8CJJ7_web01.jpg|https://www.benmeadows.com/images/ir/s7product/8CJJ7_web01.jpg|https://www.benmeadows.com/images/ir/s7product/8CJJ8_web01.jpg|https://www.benmeadows.com/images/ir/s7product/8CJJ8_web01.jpg,MAASDAM POW&#39;R-PULL&#174; Cable Pullers,40.99,36810155,https://www.benmeadows.com/maasdam-powr-pull-cable-pullers_36810155/,Capacity: 2 Ton|Capacity: 1 Ton|Capacity: 3 Ton
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:24.906Z,"Class A, Grade 1 castings are completely self-contained. Handyman Jack allows you to lift load on down stroke of handle. Safety shear pin protects load from being dropped. Steel is standard rolled for strength and rigidity; reversible for extra wear. 4""L lifting nose allows pickup as close as 4-1/2"" from bottom of 28 sq. in. base plate. Adjustable for clamping use. 4660-lb. capacity. Accessories are also available.Loc-Rac® is a mounting and locking device that transports your jack securely in a pickup truck or utility vehicle. Includes lock and keys.Bumper Lift is designed to fit most vehicle bumpers.",https://www.benmeadows.com/images/ir/s7product/8C978_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8C978_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8C978_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8C978_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8C978_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8C978_AS01.jpg,Handyman&#174; Jacks,86.99,36810133,https://www.benmeadows.com/handyman-jacks_36810133/,Height: 60''|Height: 48''
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:27.553Z,"Designed to provide an anchoring point for a winch cable, these Winch Straps protect trees from girdling caused by winch cables. No. 132600 measures 3""W x 6'L with 10,000-lb. capacity strength. No. 132602 measures 3""W x 20'L with 11,000-lb. capacity strength.",https://www.benmeadows.com/images/ir/s7product/8ZGF1_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8ZGF1_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8ZGF1_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8ZGF1_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8ZGF1_AS01.jpg|https://www.benmeadows.com/images/ir/s7product/8ZGF1_AS01.jpg,Keeper&#174; Tree Winch Straps,19.99,36810135,https://www.benmeadows.com/keeper-tree-winch-straps_36810135/,Length: 20'|Length: 6'
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:30.672Z,"Whether you’re a logger, forester or farmer, you need this Logging Jack!Logging Jack has a large, 38 1⁄2-sq. in. base for extra stability. Patented “Safety Link” mechanism prevents abuse, misuse and makes operation safer. 48""H Jack lifts from 50 to 8000 lb. Made of cast components and hot, roll-formed alloy-steel construction for strong, reliable use. Beam holes accommodate clevis pins, chains, chains, bolts, ropes and more.",https://www.benmeadows.com/images/ir/s7product/8CJX3_AS01.jpg,MAASDAM POW'R-PULL® Tiger Jack™ Four-Ton Logging Jack,68.99,108439,https://www.benmeadows.com/maasdam-powr-pull-tiger-jack-four-ton-logging-jack_s_108439/,
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:33.884Z,"This Metal Post Puller works with the Handyman Jack, power lift, or pry bar to pull up to 1-1/2"" dia. metal posts. 6-1/2"" x 3"" malleable cast iron puller has two triangular holes. To use with the Handyman Jack, slip puller over post and insert jack in the other hole. When jack lifts, puller grabs tight, pulling post out of the ground.",https://www.benmeadows.com/images/ir/s7product/8C982_AA01.jpg,Metal Post Puller,20.7,270872,https://www.benmeadows.com/metal-post-puller_s_270872/,
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:38.741Z,"Safety Strap has a unique polyester webbing that has highest tensile commonly available. The PVC coating offers superior resistance to abrasion, extends the webbing life, seals out moisture, and helps prevent freezing, mildew and dry rot. The coating also blocks out UV rays that cause tensile breakdown. Interwoven into the webbing are strength identifying stripes (one stripe = one ton). Heat-treated flat hooks at each end fasten to the rails of a truck flatbed, railroad car. Wide-handle ratchet has a nut-and-bolt assembly for fast changes at work or loading site. Straps are 2""W x 27'L. 6, 000 lb. Capacity.",https://www.benmeadows.com/images/ir/s7product/8RPV7_AS01.jpg,"SpanSet® Three Interwoven Safety Straps, 6, 000 lb. Capacity",18.69,182550,https://www.benmeadows.com/spanset-three-interwoven-safety-straps-6-000-lb-capacity_s_182550/,
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:41.830Z,"Adjustable jaws on the Rod/Post Puller work on construction stakes, U-shaped sign posts and T-posts both studded and non-studded. 3'L angled handle provides the leverage for you. Pulling system shortens to reach stakes and posts closer to the ground. Puller handles posts from 3/8"" to 2"" dia. Sturdy 5"" x 4-5/8"" platform.",https://www.benmeadows.com/images/ir/s7product/9Y217_web02.jpg,Rod/Post Puller,66.2,174475,https://www.benmeadows.com/rodpost-puller_s_174475/,
Ben Meadows,Forestry Supplies and Equipment|Logging and Clearing Tools|Cable Pullers and Log Chains,USD,2017-12-07T01:35:45.028Z,Use this P-1 Frame Assembly with your Puller.,https://www.benmeadows.com/images/ir/s7product/8CE49_01.jpg,The More Power Puller® P-1 Frame Assembly,40.69,210032,https://www.benmeadows.com/the-more-power-puller-p-1-frame-assembly_s_210032/,
