product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Betsey Johnson,accessories|all accessories|gifty goodies,USD,2017-12-07T18:45:38.519Z,"This pen is an extra special gift. Its candy-hued coloring gets extra girly flair with a soft, feathery accent.",http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-BUNNY-PEN_PINK?scl=1|http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-BUNNY-PEN_PINK_PACKAGED?scl=1,HOLIDAY GIVING BUNNY PEN,35,247714,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-BUNNY-PEN/247714.uts,PINK
Betsey Johnson,accessories|all accessories|gifty goodies,USD,2017-12-07T18:45:40.633Z,"This black cat pen will bring your favorite friend some good luck! Its colorful, oil slick surface is topped off by a feathery black cat embellishment.",http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-BLACK-CAT-PEN_BLACK?scl=1|http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-BLACK-CAT-PEN_BLACK_PACKAGED?scl=1,HOLIDAY GIVING BLACK CAT PEN,35,247715,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-BLACK-CAT-PEN/247715.uts,BLACK
Betsey Johnson,accessories|all accessories|gifty goodies,USD,2017-12-07T18:45:41.840Z,This colorful parrot pen is the perfect way to add some color to the holiday season! Its pastel surface is accented by a vivid feather plump on an opal parrot.,http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-PARROT-PEN_MULTI?scl=1|http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-PARROT-PEN_MULTI_PACKAGING?scl=1,HOLIDAY GIVING PARROT PEN,35,247716,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-PARROT-PEN/247716.uts,MULTI
Betsey Johnson,accessories|all accessories|gifty goodies,USD,2017-12-07T18:45:43.060Z,This Holiday pen is the perfect gift for a friend who is equal parts smart and stylish. A feather adorned owl sits upon this sleek white pen for a playful touch.,http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-OWL-PEN_MULTI?scl=1|http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-OWL-PEN_MULTI_PACKAGING?scl=1,HOLIDAY GIVING OWL PEN,35,247717,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-OWL-PEN/247717.uts,MULTI
Betsey Johnson,accessories|all accessories|gifty goodies,USD,2017-12-07T18:45:44.579Z,"Make every time you write an extra special celebration with this Champagne pen! A champagne bottle tops off this sleek, dotted pen for a playful touch.",http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-CHAMPAGNE-PEN_BLACK?scl=1|http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-CHAMPAGNE-PEN_BLACK_PACKAGING?scl=1,HOLIDAY GIVING CHAMPAGNE PEN,35,247718,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-CHAMPAGNE-PEN/247718.uts,BLACK
Betsey Johnson,accessories|all accessories|gifty goodies,USD,2017-12-07T18:45:45.710Z,This cupcake topped pen is a sweet treat for any friend! It’s candy-colored surface is decorated with “sprinkles” for an extra playful touch.,http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-CUPCAKE-PEN_PINK?scl=1|http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-CUPCAKE-PEN_PINK_PACKAGING?scl=1,HOLIDAY GIVING CUPCAKE PEN,35,247719,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-CUPCAKE-PEN/247719.uts,PINK
Betsey Johnson,jewelry|all jewelry|pins & accessories,USD,2017-12-07T18:45:46.936Z,This Sugar Skull is the perfect gift for your friend who loves the extra color in their life. This intricate pin will add fun to any outfit with ease.,http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-SUGAR-SKULL-PIN_MULTI?scl=1|http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-SUGAR-SKULL-PIN_MULTI_PACKAGING?scl=1,HOLIDAY GIVING SUGAR SKULL PIN,25,247720,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-SUGAR-SKULL-PIN/247720.uts,MULTI
Betsey Johnson,jewelry|all jewelry|pins & accessories,USD,2017-12-07T18:45:48.214Z,"This soft, sweet pin features a furry, leopard face shape accented with jewels and feather accents for a fun touch.",http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-KITTY-PIN_MULTI?scl=1|http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-KITTY-PIN_MULTI_PACKAGING?scl=1,HOLIDAY GIVING KITTY PIN,25,247721,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-KITTY-PIN/247721.uts,MULTI
Betsey Johnson,jewelry|all jewelry|pins & accessories,USD,2017-12-07T18:45:49.613Z,This sweet little pug pin is the perfect gift for any dog lover. Crystal accents and glitter decorate its sweet face while features add a playful touch.,http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-DOGGIE-PIN_WHITE?scl=1|http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-DOGGIE-PIN_WHITE_PACKAGING?scl=1,HOLIDAY GIVING DOGGIE PIN,25,247722,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-DOGGIE-PIN/247722.uts,WHITE
Betsey Johnson,accessories|all accessories|gifty goodies,USD,2017-12-07T18:45:50.826Z,"Pom-poms, fringe, and glitter come together on this whimsical unicorn ornament that is sure to bring a smile to anyone who sees it.",http://s7d9.scene7.com/is/image/BetseyJohnson/HOLIDAY-GIVING-UNICORN-ORNAMENT_MULTI?scl=1,HOLIDAY GIVING UNICORN ORNAMENT,25,247731,https://www.betseyjohnson.com/product/HOLIDAY-GIVING-UNICORN-ORNAMENT/247731.uts,MULTI
