product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Desigual,Woman|Apparel|Jackets & Coats,USD,2018-01-11T21:40:14.412Z,Straight-cut high neck coat featuring a hood and embroidered details. Regular fit.,http://media.desigual.com/i/desigual/17WWEW75_4086?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEW75_4086_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEW75_4086_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEW75_4086_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEW75_4086_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEW75_4086_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEW75_4086_G?w=2000&h=3000,Coat Michelle,199,17WWEW75,http://www.desigual.com/en_US/women/clothing/coats-jackets/prod-michelle-17WWEW75,KAKI OSCURO|KAKI OSCURO
Desigual,Woman|Apparel|Jackets & Coats,USD,2018-01-11T21:40:20.369Z,Long black quilted coat with faux fur with tone-on-tone details. Button and zipper fastening. Regular fit.,http://media.desigual.com/i/desigual/17WWEWJ7_3007?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_G?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_G?w=2000&h=3000,Coat Cecilia,119.98,17WWEWJ7,http://www.desigual.com/en_US/women/clothing/coats-jackets/prod-cecilia-17WWEWJ7,NEGRO|BORGOÑA|NEGRO
Desigual,Woman|Apparel|Jackets & Coats,USD,2018-01-11T21:40:26.594Z,Women's red coat with floral details and soft fake brown fur on the collar.,http://media.desigual.com/i/desigual/17WWEWJ7_3007?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_3007_G?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEWJ7_2000_G?w=2000&h=3000,Coat Cecilia,119.98,17WWEWJ7,http://www.desigual.com/en_US/women/clothing/coats-jackets/prod-cecilia-17WWEWJ7-3007,BORGOÑA|BORGOÑA|NEGRO
Desigual,Woman|Apparel|Jackets & Coats,USD,2018-01-11T21:40:33.007Z,Long green coat with floral detailing along the inside of the cuffs and thick fabric that'll keep you warm this winter.,http://media.desigual.com/i/desigual/67E20B4_4133?w=2000&h=3000|http://media.desigual.com/i/desigual/67E20B4_4133_B?w=2000&h=3000|http://media.desigual.com/i/desigual/67E20B4_4133_D?w=2000&h=3000|http://media.desigual.com/i/desigual/67E20B4_4133_L?w=2000&h=3000|http://media.desigual.com/i/desigual/67E20B4_4133_C?w=2000&h=3000|http://media.desigual.com/i/desigual/67E20B4_4133_H?w=2000&h=3000|http://media.desigual.com/i/desigual/67E20B4_4133_G?w=2000&h=3000,Coat Isabella,199,67E20B4,http://www.desigual.com/en_US/women/clothing/coats-jackets/prod-isabel-la-67E20B4,JUNE BUG|JUNE BUG
Desigual,Woman|Apparel|Jackets & Coats,USD,2018-01-11T21:40:38.991Z,Women’s denim jacket featuring a hood and embroidered details. Regular fit. Our model wears size M and is 175cm tall.,http://media.desigual.com/i/desigual/17WWED18_5161?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWED18_5161_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWED18_5161_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWED18_5161_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWED18_5161_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWED18_5161_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWED18_5161_G?w=2000&h=3000,Jacket Natasha,149,17WWED18,http://www.desigual.com/en_US/women/clothing/coats-jackets/prod-natasha-17WWED18,DENIM MEDIUM DARK|DENIM MEDIUM DARK
Desigual,Woman|Apparel|Jackets & Coats,USD,2018-01-11T21:40:44.863Z,Women’s denim jacket featuring embroidered details with sequins and knitted floral sleeves. Our model wears size M and is 177cm tall.,http://media.desigual.com/i/desigual/17WWEDWC_4124?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEDWC_4124_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEDWC_4124_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEDWC_4124_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEDWC_4124_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEDWC_4124_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWEDWC_4124_G?w=2000&h=3000,Jacket Clau,129,17WWEDWC,http://www.desigual.com/en_US/women/clothing/coats-jackets/prod-clau-17WWEDWC,AVOCADO|AVOCADO
Desigual,Woman|Apparel|Dresses,USD,2018-01-11T21:40:50.770Z,Dress Second Desigual. Discover the fall-winter 2017 collection. Free shipping and returns in-store!,http://media.desigual.com/i/desigual/17WWVK94_3007?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK94_3007_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK94_3007_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK94_3007_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK94_3007_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK94_3007_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK94_3007_G?w=2000&h=3000,Dress Second,79,17WWVK94,http://www.desigual.com/en_US/women/clothing/dresses/prod-second-17WWVK94,BORGOÑA|BORGOÑA
Desigual,Woman|Apparel|Dresses,USD,2018-01-11T21:40:56.722Z,Long-sleeved black dress gathered at the hip and a contrasting floral print.,http://media.desigual.com/i/desigual/17WWVK31_2000?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK31_2000_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK31_2000_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK31_2000_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK31_2000_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK31_2000_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVK31_2000_G?w=2000&h=3000,Dress Garry,62.98,17WWVK31,http://www.desigual.com/en_US/women/clothing/dresses/prod-garry-17WWVK31,NEGRO|NEGRO
Desigual,Woman|Apparel|Dresses,USD,2018-01-11T21:41:02.599Z,"Women’s black dress with 3/4 sleeves and lace fabric, floral print sleeves and contrasting details.",http://media.desigual.com/i/desigual/17WWVW13_2000?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVW13_2000_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVW13_2000_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVW13_2000_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVW13_2000_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVW13_2000_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWVW13_2000_G?w=2000&h=3000,Dress Pichi ML,64.98,17WWVW13,http://www.desigual.com/en_US/women/clothing/dresses/prod-pichi_ml-17WWVW13,NEGRO|NEGRO
Desigual,Woman|Apparel|Sweaters & Cardigans,USD,2018-01-11T21:41:08.857Z,Thick-knit neck sweater. It has a combination of materials with different textures.,http://media.desigual.com/i/desigual/17WWJF30_1000?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWJF30_1000_B?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWJF30_1000_D?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWJF30_1000_L?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWJF30_1000_C?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWJF30_1000_H?w=2000&h=3000|http://media.desigual.com/i/desigual/17WWJF30_1000_G?w=2000&h=3000,Pullover Charlie,72.98,17WWJF30,http://www.desigual.com/en_US/women/clothing/sweaters/prod-charlie-17WWJF30,BLANCO|BLANCO
