product>>brand,product>>categories,product>>currency,product>>date,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
DKNY,new|view all,USD,2018-01-11T23:40:39.343Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN555_p7jmn555c07c.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN555_p7jmn555c07c_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN555_p7jmn555c07c_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN555_p7jmn555c67.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN555_p7jmn555c67_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN555_p7jmn555c67_v3.tif&wid=1500=&cvt=jpeg,COLD SHOULDER TIE TOP,99,P7JMN555,https://www.donnakaran.com/product/cold+shoulder+tie+top.do,Magenta|Ivory
DKNY,new|view all,USD,2018-01-11T23:40:40.186Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JM7777_p7jm7777c01.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JM7777_p7jm7777c01_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JM7777_p7jm7777c01_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JM7777_p7jm7777c01_v4.tif&wid=1500=&cvt=jpeg,HERITAGE PRINT SHIRT,119,P7JM7777,https://www.donnakaran.com/product/heritage+print+shirt.do,Black
DKNY,new|view all,USD,2018-01-11T23:40:40.553Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KMN530_p7kmn530c07c.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KMN530_p7kmn530c07c_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KMN530_p7kmn530c07c_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KMN530_p7kmn530c07c_v4.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KMN530_p7kmn530c11.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KMN530_p7kmn530c11_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KMN530_p7kmn530c11_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KMN530_p7kmn530c11_v4.tif&wid=1500=&cvt=jpeg,SATIN KEYHOLE NECK TOP,49,P7KMN530,https://www.donnakaran.com/product/satin+keyhole+neck+top.do,Powder|Ivory
DKNY,new|view all,USD,2018-01-11T23:40:40.928Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JM0787_p7jm0787c98e.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JM0787_p7jm0787c98e_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JM0787_p7jm0787c98e_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JM0787_p7jm0787c98e_v4.tif&wid=1500=&cvt=jpeg,FEATHER HEM SHIRT,119,P7JM0787,https://www.donnakaran.com/product/feather+hem+shirt.do,Black And White
DKNY,new|view all,USD,2018-01-11T23:40:41.231Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMV526_p7jmv526c98e.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMV526_p7jmv526c98e_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMV526_p7jmv526c98e_v3.tif&wid=1500=&cvt=jpeg,CONTRAST STRIPE SHIRT,89,P7JMV526,https://www.donnakaran.com/product/contrast+stripe+shirt.do,Black And White
DKNY,new|view all,USD,2018-01-11T23:40:41.531Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KS3208_p7ks3208c01.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KS3208_p7ks3208c01_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KS3208_p7ks3208c01_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KS3208_p7ks3208c01_v4.tif&wid=1500=&cvt=jpeg,METALLIC KNIT RUFFLE SLEEVE SWEATER,99,P7KS3208,https://www.donnakaran.com/product/metallic+knit+ruffle+sleeve+sweater.do,Black
DKNY,new|view all,USD,2018-01-11T23:40:41.842Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/B4660078_b4660078c01.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/B4660078_b4660078c01_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/B4660078_b4660078c01_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/B4660078_b4660078c01_v4.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/B4660078_b4660078c07c.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/B4660078_b4660078c07c_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/B4660078_b4660078c07c_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/B4660078_b4660078c07c_v4.tif&wid=1500=&cvt=jpeg,CREPE JERSEY STEP HEM TOP,49,B4660078,https://www.donnakaran.com/product/crepe+jersey+step+hem+top.do,Ivory|Black
DKNY,new|view all,USD,2018-01-11T23:40:42.125Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN552_p7jmn552c01.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN552_p7jmn552c01_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN552_p7jmn552c01_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN552_p7jmn552c07c.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN552_p7jmn552c07c_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JMN552_p7jmn552c07c_v3.tif&wid=1500=&cvt=jpeg,SATIN GEORGETTE FLUTTER SLEEVE SHIRT,79,P7JMN552,https://www.donnakaran.com/product/satin+georgette+flutter+sleeve+shirt.do,Ivory|Black
DKNY,new|view all,USD,2018-01-11T23:40:42.415Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JP4735_p7jp4735c01.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JP4735_p7jp4735c01_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JP4735_p7jp4735c01_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7JP4735_p7jp4735c01_v4.tif&wid=1500=&cvt=jpeg,SATIN CONTRAST SHIRT,99,P7JP4735,https://www.donnakaran.com/product/satin+contrast+shirt.do,Black
DKNY,new|view all,USD,2018-01-11T23:40:42.722Z,https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KAW078_p7kaw078ciyb.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KAW078_p7kaw078ciyb_v2.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KAW078_p7kaw078ciyb_v3.tif&wid=1500=&cvt=jpeg|https://ii.ghbass.com/fcgi-bin/iipsrv.fcgi?FIF=/images/ghbass/source/P7KAW078_p7kaw078ciyb_v4.tif&wid=1500=&cvt=jpeg,PRINTED SHIRT WITH DRAWSTRING SLEEVES,69,P7KAW078,https://www.donnakaran.com/product/printed+shirt+with+drawstring+sleeves.do,Ivory/Black
