product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:26.009Z,This is an oversized midi top with a ruffle neckline and thin adjustable straps.,http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_127_0036.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_127_0007.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_127_0039.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_127_0027.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_127_0020.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_127_0024.jpg,NATURE TRAIL FLORAL PRINT - CHANIA TOP,99,FF1014-NTF-L,https://www.faithfullthebrand.com/collections/tops/products/nature-trail-floral-print-chania-top
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:28.024Z,"This is a smocked mid drift tube top with ruffle detail to the bottom, button detail centre front.",http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_67_0013.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/crop_out_face-170925_Faithfull_Sept_67_0065.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_67_0025.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_67_0033.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_67_0051.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_67_0040.jpg,MARCIE FLORAL PRINT - LIGHT BLUE - SLOANE TOP,89,FF971-MFB-L,https://www.faithfullthebrand.com/collections/tops/products/marcie-floral-print-light-blue-sloane-top
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:29.014Z,This is a tube top with an elastic ruffle neckline and two tier layer.,https://scontent.cdninstagram.com/vp/1da1595b799707f63c2ff832a8375582/5AF73FDE/t51.2885-15/sh0.08/e35/p640x640/25025920_826198014227028_3391834492258746368_n.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/R1-02450-003A.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_62_0070.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_62_0005.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_62_0026.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_62_0056.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_62_0015.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_62_0022.jpg,PLAIN NAVY - PIETRO TOP,149,FF1046-NVY-L,https://www.faithfullthebrand.com/collections/tops/products/plain-navy-pietro-top
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:30.179Z,This is a tube top with two tier layer and tack at back bodice.,http://cdn.shopify.com/s/files/1/1130/9504/products/R1-02390-001A.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_39_0016.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/Crop_eyes-170925_Faithfull_Sept_39_0100.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_39_0014.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_39_0026.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_39_0038.jpg,STEFANO PRINT - GINGER - SOLANA TOP,139,FF1009-SPG-L,https://www.faithfullthebrand.com/collections/tops/products/stefano-print-ginger-solana-top
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:31.172Z,"This is an oversized shirt with collared neckline, pocket detail and tie knot centre front.",https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/24331976_313007589195722_7184220641019559936_n.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/Brigette_top.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_23_0061.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_23_0002.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_23_0068.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_23_0019.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_23_0023.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_23_0030.jpg,TORDINI STRIPE PRINT - BRIGETTE KNOT SHIRT,109,FF991-TSP-L,https://www.faithfullthebrand.com/collections/tops/products/tordini-stripe-print-brigette-knot-shirt
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:32.310Z,"This is a cropped top with frill detailing, two layered and elastic neckline.",http://cdn.shopify.com/s/files/1/1130/9504/products/Nature_SUns_OUt.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_66_0053.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_66_0068.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_66_0009.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_66_0037.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_66_0041.jpg,NATURE TRAIL FLORAL PRINT - SUNS OUT TOP,79,FF852-NTF-L,https://www.faithfullthebrand.com/collections/tops/products/nature-trail-floral-print-suns-out-top
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:33.371Z,This is an off the shoulder top with an elastic neckline and long sleeves.,http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_128_0042.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_128_0005.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_128_0030.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_128_0026.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_128_0019.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_128_0023.jpg,KIVOTOS PRINT - SAINT JAMES TOP,119,FF1049-KVP-L,https://www.faithfullthebrand.com/collections/tops/products/kivotos-print-saint-james-top
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:34.509Z,"This crop top features thick straps, straight neckline and wrap back detail.",http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_72_0037.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_72_0039.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_72_0006.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_72_0019.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_72_0027.jpg,SAN CRISTOBAL STRIPE PRINT - FORTELINA TOP,139,FF1062-SCP-L,https://www.faithfullthebrand.com/collections/tops/products/san-christobal-stripe-print-fortelina-top
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:35.560Z,The is a tube top with two tier layers and an elastic neckline.,http://cdn.shopify.com/s/files/1/1130/9504/products/crop_out_face-170925_Faithfull_Sept_03_0044.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_03_0004.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_03_0015.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_03_0073.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_03_0029.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_03_0037.jpg,CLARKE STRIPE PRINT - CAICOS TOP,89,FF1087-CKP-L,https://www.faithfullthebrand.com/collections/tops/products/clarke-stripe-print-caicos-top
faithfull the brand,just in clothing|love stories|new in|tops|tops,USD,2018-01-12T12:26:36.613Z,"This is a crop top with a front knot detail, adjustable straps, and ruffle hem.",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23507196_147222939239878_7973210187743887360_n.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/sunny-floral-top.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_64_0018.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_64_0006.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_64_0037.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_64_0015.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_64_0056.jpg|http://cdn.shopify.com/s/files/1/1130/9504/products/170925_Faithfull_Sept_64_0061.jpg,SUNNY FLORAL PRINT - LIGHT BLUE - SPLICE TOP,99,FF1090-SFB-L,https://www.faithfullthebrand.com/collections/tops/products/sunny-floral-light-blue-splice-top
