product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:18.184Z,This cozy merino wool sweater/sweatshirt hybrid features a jacquard knit cheetah pattern (meaning it's woven right into the design). It's a total upgrade to your favorite everyday pullover.,https://i.s-jcrew.com/is/image/jcrew/H7147_SU0522?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7147_SU0522_m?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7147_SU0522_d1?$pdp_enlarge$,Merino crewneck sweatshirt in cheetah,89.5,H7147,https://www.jcrew.com/p/womens_feature/newarrivals/justin/merino-crewneck-sweatshirt-in-cheetah/H7147,LEOPARD
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:21.001Z,A superflattering wrap top with a dramatic tie at the waist (so you can make a big bow) in a stretchy cotton that's supercomfy.,https://i.s-jcrew.com/is/image/jcrew/H7021_WU3491?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7021_WU3491_m?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7021_WU3491_d1?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7021_WU3491_d2?$pdp_enlarge$,Tall wrap top in oxford,69.5,H7019|H7019|H7020|H7021,https://www.jcrew.com/p/womens_feature/newarrivals/justin/wrap-top-in-oxford/H7019,OXFORD BLUE
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:23.344Z,"Our perfect-for-going out cami looks great with jeans and has the added benefit of adjustable straps (so it's fit for you). In a pretty watercolor floral print and a soft crepe material, it's the cami to wear everywhere and every day.",https://i.s-jcrew.com/is/image/jcrew/H6912_WQ4787?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H6912_WQ4787_m?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H6912_WQ4787_d1?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H6912_WQ4787_d2?$pdp_enlarge$,Tall v-neck camisole in watercolor floral,59.5,H6900|H6900|H6911|H6912,https://www.jcrew.com/p/womens_feature/newarrivals/justin/vneck-camisole-in-watercolor-floral/H6900,NAVY FLORAL
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:25.703Z,"A simple button-up denim skirt we love, in premium stretch fabric from Italy (meaning you can wear it all day and still be comfortable).",https://i.s-jcrew.com/is/image/jcrew/H7061_DM2004?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7061_DM2004_m?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7061_DM2004_d1?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7061_DM2004_d2?$pdp_enlarge$,Petite Button-front denim mini skirt,79.5,H7058|H7058|H7061,https://www.jcrew.com/p/womens_feature/newarrivals/justin/buttonfront-denim-mini-skirt/H7058,ASTER WASH
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:28.039Z,"Have it both ways with these cool, versatile and very of-the-moment reversible studs.",https://i.s-jcrew.com/is/image/jcrew/H9208_EG6978?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H9208_EC7253?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H9208_EG6978_d1?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H9208_EC7253_d1?$pdp_enlarge$,Reversible stud earrings,24.5,H9208,https://www.jcrew.com/p/womens_feature/newarrivals/justin/reversible-stud-earrings/H9208,MIXED METAL|PEARL
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:30.212Z,"Have it both ways with these cool, versatile and very of-the-moment reversible studs.",https://i.s-jcrew.com/is/image/jcrew/H9208_EG6978?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H9208_EC7253?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H9208_EG6978_d1?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H9208_EC7253_d1?$pdp_enlarge$,Reversible stud earrings,24.5,H9208,https://www.jcrew.com/p/womens_feature/newarrivals/justin/reversible-stud-earrings/H9208,MIXED METAL|PEARL
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:32.536Z,"Made from American-grown Supima cotton (which we love for its easy drape and featherweight feel), this ultra-flattering tank is perfect for layering now, and wearing on its own later.",https://i.s-jcrew.com/is/image/jcrew/H7228_KA1522?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7228_KA1522_m?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H7228_KA1522_d1?$pdp_enlarge$,Supersoft Supima&reg; tank in stripes,28.5,H7228,https://www.jcrew.com/p/womens_feature/newarrivals/justin/supersoft-supima-tank-in-stripes/H7228,PALE SEPIA IVORY
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:34.903Z,"With its solid heel and lush velvet sheen, this pump is as walkable as it is cute.",https://i.s-jcrew.com/is/image/jcrew/H5592_YL5410?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H5592_YL5410_d1?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H5592_YL5410_d2?$pdp_enlarge$,Evie ballet heel in gold velvet,138,H5592,https://www.jcrew.com/p/womens_feature/newarrivals/justin/evie-ballet-heel-in-gold-velvet/H5592,LIGHT AMBER
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:37.272Z,"The denim jacket, now with a feminine, swingy fit and slightly lighter wash that's perfect for spring. Wear it over your shoulders, wrapped around your waist and with everything in your closet.",https://i.s-jcrew.com/is/image/jcrew/H5597_DM1990?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H5597_DM1990_m?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H5597_DM1990_d1?$pdp_enlarge$,Denim swing jacket in Lily wash,110,H5597,https://www.jcrew.com/p/womens_feature/newarrivals/justin/denim-swing-jacket-in-lily-wash/H5597,LILY WASH
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:39.649Z,"Everything you love about our easy pant (elastic-back waist, drapey fabric), now in a menswear-y foulard print inspired by a scarf our design team found in Japan.",https://i.s-jcrew.com/is/image/jcrew/H6529_WQ3890?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H6529_WQ3890_m?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H6529_WQ3890_d1?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H6529_WQ3890_d2?$pdp_enlarge$,Tall easy pant in foulard print,98,H6527|H6527|H6528|H6529,https://www.jcrew.com/p/womens_feature/newarrivals/justin/easy-pant-in-foulard-print/H6527,NAVY IVORY
J.CREW,New Arrivals|Shop New Arrivals|for Women,USD,2018-02-07T22:02:42.065Z,A seriously-pretty dress in a custom-developed print that goes from work to dinner to that party...and anywhere else the day takes you.,https://i.s-jcrew.com/is/image/jcrew/H6296_WQ4787?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H6296_WQ4787_m?$pdp_enlarge$|https://i.s-jcrew.com/is/image/jcrew/H6296_WQ4787_d1?$pdp_enlarge$,Petite silk ruffle dress in watercolor floral,168,H6295|H6295|H6296,https://www.jcrew.com/p/womens_feature/newarrivals/justin/silk-ruffle-dress-in-watercolor-floral/H6295,NAVY FLORAL
