item>>author,item>>date,item>>image,item>>summary,item>>title,item>>url
Vert Dider,2022-03-15 17:34:39,https://cdn4.telegram-cdn.org/file/IFmdGE1IJSUFJKvovXMrnLzN2Myvm5Pj5hv3qd_In_EQycyAR_pggkg3Y8Yv6BCaL8b0E8M__FJ4sa-pY1LONZ9KnZ63JtOWFiZZGd2IaIavlN8v9ugbIMTQlrJ43sxwndtM1DkjHDDmmys1OrgDIJNFzT_qwnMAY0u1LACFORoqCoyOOHGldOSNlboOYc9rtv-ckW3fUxMjj-OIvqbXrCMjGotrICTXPxNLnh_CbjoLZYnW3fdWHhxJnbiR_xTEPb2cG1q0Qj4dBEKy0nMhfcwq7fMV5Hqg_G3L5LUyTF7UKKmzwSl7arccBmtonOtaFbvPsUlECxMZQzDPxvvJWA.jpg,"Помощь проекту: https://www.patreon.com/VertDider Наша Вселенная расширяется с ускорением — это общеизвестный факт, о котором рассказывают в школе, но до 1998 года большинство учёных сходились во мнении, что всё наоборот: расширение замедляется и рано или…",Брайан Шмидт — он открыл ускорение расширения Вселенной [Veritasium],https://youtu.be/mubdwo-A6jU
Vert Dider,2022-03-25 18:43:13,https://cdn4.telegram-cdn.org/file/GdbMCKsWzDjIOm_gTeySsWkgfYjBEhz74pLIdjLJlYZr1Jr2TK4QaqE2s_a0e4RGjtXzW4o0Y0Huwv83fOBllm95oqZ6ndGT5KLIbFzE_PmJTLcmDBQ0-KeB8ZXjxnhfreyBwWQbORqBxUezpG8Ak07R6Tm835fgR606-ffr8ukfK6xkh9ANa5fpfNKpI_ifEOTKQb6trg0zfICp-DRoMW9IshZGxirc9WQ9JkJ7Bc6qe57ayEQuc9ZLp0x8OOS0WO28zGTXLKfSdCwHk5-ewcy3WalORbLDMOfcLQy4kGChXkp6De5cTQH8W9kVAGCw88Zc2ziqaMc6k6wASPamTg.jpg,"Помощь проекту: https://www.patreon.com/VertDider Смотреть часть 2: https://youtu.be/MCIhB7Sy9NU Аналоговые вычислительные машины известны с глубокой древности и даже повлияли на ход Второй мировой войны, но сейчас в мире доминируют цифровые. Дерек Маллер…",Ждать ли возвращения аналоговых компьютеров? Часть 1 [Veritasium],https://youtu.be/mBgk8vGL6ic
Vert Dider,2022-03-25 18:43:32,https://cdn4.telegram-cdn.org/file/YtwCE1UZD7ek0IwFweCcSL-wwpj94Qp9rnJ-qNaoC6LjeZjzE-S3iT5OxpEdljuXqvT19TDYXapOEbMR_U8fN2pYpYrDGCdNiKJGTtRljrbIIp_RGfBcFwTsgwZ3nqcLDvW9D8VImMAN34_W81kW-UYOUgNOsC0F1J7MlzVruWSBwxqMrjHBCgN6sVw8Mvcmn2kdHOdmxHwnjpPJw4VFhFRRkpUZa7jyey-r5iGTN4YvCClqH5oZ0niLslWeyFEj_hEqx5SGHOeObS7SoJ_YTj36EGQddhBCrvZC4fbc9caC5uwD--aMrek02xQ9wnR3yiCRPN7Om2Eg7BlvEVrmjw.jpg,"Помощь проекту: https://www.patreon.com/VertDider Смотреть часть 1: https://youtu.be/mBgk8vGL6ic Аналоговые вычислительные машины известны с глубокой древности и даже повлияли на ход Второй мировой войны, но сейчас в мире доминируют цифровые. Тем не менее…",Аналоговые компьютеры возвращаются? Часть 2 [Veritasium],https://youtu.be/MCIhB7Sy9NU
Vert Dider,2022-04-01 11:20:11,https://cdn4.telegram-cdn.org/file/jNn3hdf22gOhK7RTS_MxucIA8w48BDDz-U3wBoDlKRPrzobg7VXHE8W36LkqRyOtKP7ZLXdRNPMA0tXEsOFz2sSaQAQ_vixnVVz22C49mwfE8_6DjlXhQh8ZOA2mAcs_kZfRTnf8NVaICgUvQ6WXhy3M4zpOs-Kujlk4AgcJQV6FsWOKt9VK9z9teZFvXOwV4OqDYSY2-7Zq-cmEXXXferXqBNBozQaQEizWDsZrdpZnxEx_k7_zlbqQnUU5PnW7rNIuaLWhNU10JVS991hfiYZFBo79QFw6vVt8fEYTWAKomldE8IUXOvMaJ-maIEHTGUAJT1cQGaDsLter5l5NnA.jpg,"Помощь проекту: https://www.patreon.com/VertDider Чтобы рассказать о том, как получают змеиный яд для создания противоядий, Дерек Маллер отправился в парк рептилий и лично пообщался с человеком, который каждый день доит самых опасных змей в мире. Угадаете…","Кто, где и как собирает яд для противоядий [Veritasium]",https://youtu.be/q1H3Bzm5caM
Vert Dider,2022-04-05 17:16:49,https://cdn4.telegram-cdn.org/file/DYbKuKUvLbrfcuTWKuKwF9dSsV7Q9y0nMX8d6eq7-1x-Kwy8ZrcybA6wLaacisPMNmMn6I9ineXpzGkuRMdd5WSUPDuZbcWe3tA4GsHfbSHCpShgjCS7bqMlbDNvql5L-rEVgtaIK-cZpNM6Hiv7ZPeBjMZamgU7kaa_WkGcetlWRmX_L5kAU4Rf6c7lm5IEiX8KubSmtIxoURmWhGax9gWkVoRD9QaYgxrAfhTrSOX99IBW4a-oxaJ9vN8qwj0fBultTBYJCV4MonTZO7q0W8-jl1E6KVm8-Ot43qRuiPThFRb_geS5g9fcldo8Q-9yS_FLVO565l2BIxyaB6p8eQ.jpg,"Помощь проекту: https://www.patreon.com/VertDider Продолжаем погружаться в архивы Veritasium: в этом видео 2016 года Дерек расскажет, почему капли обычного пищевого красителя на предметном стекле ведут себя словно они живые — сближаются, сливаются и бегают…",Эти капли как живые! [Veritasium],https://youtu.be/PQaUocIyIEE
Vert Dider,2022-04-13 07:18:47,https://cdn4.telegram-cdn.org/file/jTgvyiwYVZ3y6Iec9nzbOY28zHz01Tc9qDKlqbV39V_Ta5PlK-oIaYTEIYKe-h5QFlKK1mwV9FnE_Ol7kUwr7hwhzW290XkoCa2-0feiIpZFYY0Kiwz_4QwbdLtL69qWezrZ7-tjZBFCUxbzADDj-24myVMMCOOmH90arQ7Up9eMJPCv1nYeSiR08edMU3yC6ypYs8vmiEhPvVpBsSW4t3hlNN20s2gE2eX7EBAKg-8M45S_jwXI4e5zBEMayrlmdFn7WEcuOGuJkO0aSJQ_7UiiLDlL0nB98dL9lIe9sPL1nxkOkAKxczqgr1WyrHhRit9CjkMFirqeF2jr2RURew.jpg,"Помощь проекту: https://www.patreon.com/VertDider Шлирен-метод позволяет обнаружить перепады давления, разницу температуры и другие неоднородности в, казалось бы, прозрачном воздухе. Дерек Маллер в одном из видео 2017 года объясняет природу этого феномена…",Шлирен-метод: как увидеть воздух? [Veritasium],https://youtu.be/yFEUaKILGm0
Vert Dider,2022-04-16 16:06:44,https://cdn4.telegram-cdn.org/file/hpD_tqm0npnEG0VQDQ3ixwkfmXw7YTbtYLzLq7gloKeM9n4zelqsGWhiYjfhL_KSV7tVCmtHkSbeO12FczefBfyznvA6KGpSKxLgY5yaGrrc7vEpxL24NLc1EBL8QVWyT2oMFtc5l-Mw2SdpUsaAf_kzga08VQjpk4ehwB59pvhTq32aTdZeFi6DxTXT8YUK-TJyJJPHKY-855Ya1Vm3MVH_7f6ZjjavriKs4gXN_Ahf8o4Ka78BY8MRkqeDgBlK7r6AQsVmWwILzMAGBDmhbeIt6U1YsX5mpfiDLde_q39YXi8a6QtvmbCV9ruG820aWSxKCwhFjvtFOQxVdXNH3Q.jpg,Смотреть видео в оригинале: https://youtu.be/QJYmyhnaaek Поддержать выход переводов: https://vertdider.tv/to-support-us/ Теорему Пифагора многие помнят со школы: сумма квадратов катетов в прямоугольном треугольнике всегда равна квадрату его гипотенузы. Вероятно…,Визуализация всех возможных пифагоровых троек [3Blue1Brown],https://youtu.be/T0GOz-Eqxl4
Vert Dider,2022-04-20 09:03:03,https://cdn4.telegram-cdn.org/file/HZcpwi5VakUJPOw3DX-JA64RKr83zo9msEKAHN-5H_oZTJExZHYaC-HFbAZwg0LLc_EKVFktro8nFNfQ6xdCGqPyr5ajRKs28chxdSFxEIvF-s3yy29hdcpjBvh1T3KRF1AIhqBh_bQJj2s-T7bVOwDXmYfwtGOWkxNF2pEHuRFhm_gWG15iym7F7cfu51Rga7Ea_6fELGwJGO983DqIVCWvOtfye1nOwdgPFEdpFYVH2lyMrX8BVqKzdgKkKgUMtcopvXR8rHs6qNodPfQv9VeZHF2MOG2BjLjWyFNBdhKFnvL-5TN2V7f6hKvZEJa5s_Myy1d6OfCOlMmKqdmdOg.jpg,"Помощь проекту: Если вы в России https://boosty.to/vertdider Если вы не в России https://www.patreon.com/VertDider Ещё одно видео из архивов канала Veritasium. Дерек рассказывает о любопытном «обратном» эффекте Лейденфроста: капля жидкости, попавшая на…",Обратный эффект Лейденфроста [Veritasium],https://youtu.be/-e9Sx9URsR8
Vert Dider,2022-04-29 18:28:50,https://cdn4.telegram-cdn.org/file/HXzz7GssV9H0tJSMBIk4_-VRrtkr2hr60ZU6YlIA6HMEixgKz0usdBEOtZDu4Q_FmGd8b5xgUvEPkLCECBgpvgdhqNjOlgT6c1zEvdl--paxZdGBD0CQ3JeJk8w9KT-gb0L5LSxSimkKIuG1a8PNIXkNzvj3iuqxPA7CXvjY9Y1AsCsbvB3BuJ56g7ml2SDiBK1RWgjc-2vT0q4XXMyw03H7Ct_8aUSu3pWdIHWAFR3byf2OtjRitbpD4WC4TtIVB2Ciy6MgU4pzDxzhMvGJnfAbkg69C2gKpSOLv7dsombf1mHDuGK_w2P_NS2vALJcjWuv1LJsMKjYq5RMXATDZw.jpg,"Если вы в России https://boosty.to/vertdider Если вы не в России https://www.patreon.com/VertDider Дисклеймер: видео не является советом по выживанию, просто интересный физический эксперимент =) Что делать, если пошёл на пикник и заблудился в лесу, зажигалку…",Добываем огонь с помощью пакетика с водой [Veritasium],https://youtu.be/pGzBsfu31ms
Vert Dider,2022-04-30 09:43:00,https://cdn4.telegram-cdn.org/file/AzhMAxk_ZvKLktSYXamZsMzpEjjV0PjSdjL2YwLMXmWcYgTHoXos-u9lcfnCvPRuaAjj8Fb3s092sxmtZcPEmY49HJ-JWf-D6nHHs0r28LvoKF7Jf2mbRjOH-VLcD62BZDSQaimcWVUWADFXJWoZeDOSJjcZtRPd3HH2EUHadVGvf9xPi1hx53GZAikxN5jmUU9E_htxCYV1zaRrQPhDNtjz5iAmK1xtKcy-8ccbu19ybVH35z2XqvZVTIkkuSSg6cjwfZXFmMm1YUZ49Wh-rgMsYOLQMiy9NKexq2TQLZ1gKpzOUDVWH86JMw5x1OX2Sdzi3zI5eaFOM57RNky2nA.jpg,"Помните, какую бурную реакцию вызвал ролик Veritasium про электричество? (если вдруг не смотрели первую часть https://youtu.be/6Hv2GLtnf2c) Дерек ответил на критику и замечания в новом видео!Нам кажется, получилось отлично. Ролик уже в работе, постараемся управиться за первые майские праздники — не переключайтесь =)",,https://t.me/s/vertdider/1201
