item>>01 id,item>>02 name,item>>03 tagline,item>>04 url,item>>05 thumbnail,item>>06 topics,item>>07 votes,item>>08 comments,item>>09 owner id,item>>10 owner name,item>>11 created at,item>>12 featured at,item>>13 scheduled at,item>>14 updated at
554807,Monica Code,Stay in your IDE and code alongside GPT-4o + Claude 3.5,https://www.producthunt.com/r/p/554807,https://ph-files.imgix.net/2d405f48-a6f8-48ba-865f-fb60aa9c01f1.png,"Productivity, Developer Tools, Artificial Intelligence",989,116,524015,Monica,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-06T10:10:38-08:00
494914,MindOne Builder,Design-first app builder for native mobile and web,https://www.producthunt.com/r/p/494914,https://ph-files.imgix.net/d4ff6054-b8e0-4b99-8c4a-37cb9a5f69bf.png,"Developer Tools, Maker Tools, No-Code",659,53,549901,MindOne,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T10:26:52-08:00
563055,TherapyAI,AI therapy for election stress,https://www.producthunt.com/r/p/563055,https://ph-files.imgix.net/008c0124-be0e-4a54-aab2-3a279fc94a3c.png,"Health & Fitness, Politics, Bots",640,64,664426,TherapyAI,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T10:31:19-08:00
561306,KLING AI,Next-Generation Al Creative Studio,https://www.producthunt.com/r/p/561306,https://ph-files.imgix.net/acecd0b2-d220-438b-b1ff-832f2c9614d9.png,"Artificial Intelligence, Maker Tools, Video",640,25,674455,KLING AI,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T09:44:54-08:00
545536,FullContext,Build GTM workflows 20x faster with natural language,https://www.producthunt.com/r/p/545536,https://ph-files.imgix.net/4879bdef-94c4-4696-98ec-69febb67b38a.png,"Sales, Marketing, Artificial Intelligence",621,60,659440,FullContext,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T09:35:43-08:00
569655,VoteGPT,Your election assistant,https://www.producthunt.com/r/p/569655,https://ph-files.imgix.net/4def748f-9b2c-4eae-8cac-8d32b2fad7da.png,Politics,609,43,682573,VoteGPT,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T06:36:44-08:00
556192,Zero Setup AI Coding with OpenHands,"Cloud VS Code meets autonomous AI coding, powered by Daytona",https://www.producthunt.com/r/p/556192,https://ph-files.imgix.net/e02fb397-2c38-45b1-98b8-84af5a24a19e.png,"Open Source, Software Engineering, Artificial Intelligence",591,22,669671,Zero Setup AI Coding with OpenHands,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T09:40:19-08:00
562099,ChatGPT search,"Get fast, timely answers with links to relevant web sources",https://www.producthunt.com/r/p/562099,https://ph-files.imgix.net/d9e8e4c6-5ad1-4960-9c03-696023de2bc9.png,"Artificial Intelligence, Search",540,24,113179,GPT-4 by OpenAI,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-06T10:31:00-08:00
554706,SigmaRemote,Give your global team better payroll for 70% less than Deel,https://www.producthunt.com/r/p/554706,https://ph-files.imgix.net/c9a1416a-cbcb-4de2-976e-38c197a5057d.jpeg,"Hiring, Fintech, Payments",521,118,668185,SigmaRemote,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-06T07:02:58-08:00
522730,Truva AI,Sell more and grind less with AI agents,https://www.producthunt.com/r/p/522730,https://ph-files.imgix.net/a6ce5f88-ca36-4a51-bcc8-d8ce123ec753.png,"Productivity, Sales, Artificial Intelligence",483,50,580860,Truva,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-06T07:07:48-08:00
