item>>01 category,item>>02 description,item>>03 company,item>>04 address,item>>05 zip,item>>06 phone,item>>07 email,item>>08 website
Авто-мото,Автозапчасти для иномарок и российской техники. Выгодные условия приобретения. Оплата наличными и по карте. Долгосрочное сотрудничество и скидки постоянным клиентам.,Автозапчасти AUTOELEMENT,"г. Петрозаводск, ул. Ровио, 12А",,+7 (8142) 28-16-77,autoelement10@mail.ru,
Авто-мото,"Сайт информирует о расписании автобусов Челябинска. Если Вам нужна информация по автобусам в Челябинске, то смело заходите по ссылке представленной ниже. Сайт проинформирует вас об автобусных рейсах с автовокзалов Дворец спорта Юность, областная больница, ТК Синегорье, Северные ворота.Обо всех изменениях расписания автобусов в Челябинске можно узнать вовремя с помощью новостной ленты сайта.",Автобус Челябинск,Челябинск,,,cheltrol@mail.ru,chelbus.ru
Авто-мото,"Автозапчасти оптом и в розницу: для отечественных легковых и грузовых автомобилей, автобусов, специальной и сельскохозяйственной техники. Отгружаем по всей России. Компания АЭС является крупнейшим официальным дилером таких российских производителей как ОАО КЗАТЭ, ООО Электром,ЗАО Концерн ПРАМО, Радиоволна, Руденск, КЗАЭ, ЛЭТЗ, Электромаш, ПЕКАР, Волгапромтранс и др.",ООО АвтоЭлектроСистема,"Новосибирск, Сибиряков-Гвардейцев 49а",,7 (383) 325-11-95,avtoelektrosystem@mail.ru,starter-nsk.ru
Авто-мото,"ЗАО""Аквадра"", является эксклюзивным представителем компани Corun Tech Co.,ltd, в России, мы осуществляем оптовые поставки климатического оборудования для автомобилей, а так же производим монтаж рефрижераторов, кондиционеров и автономных подогревателей на автомобили.",ЗАО,"Московская обл., г.Реутов, ул.Транспортная дом 5",143960,+7(495)729-4352,corunclima@mail.ru,www.corunclima.ru
Авто-мото,Автозапчасти для иномарок в наличии. Высокое качество по доступным ценам.,АВТОМОЁ,"г. Симферополь, ул. Севастопольская, 43В",,+7(3652)888705,krym@avtomoe.com,krym.avtomoe.com
Авто-мото,"Компания ""100-PLUS.RU"" появилась в 2010 году. С момента открытия мы занимаем достойное место среди поставщиков автозапчастей. Профессионализм, неизменный индивидуальный подход, широкий ассортимент и высокий уровень сервиса оценили тысячи покупателей, многие из которых стали нашими постоянными клиентами. Благодаря налаженной работе с надежными партнерами и производителями, нам удается поддерживать выгодный баланс цены и качества продукции. Почему автовладельцы выбирают нас? Потому что наша главная цель — создавать и совершенствовать условия для своих клиентов. На сайте предусмотрен удобный личный кабинет, в котором можно отслеживать статус заказа и осуществлять платежи, не выходя из дома. Посетителям интернет-магазина не придется искать запчасти, комплектующие или аксессуары в разных местах, ведь все самое необходимое можно найти у нас! Если из-за обилия наименований продукции посетитель пропустил нужную товарную позицию, можно воспользоваться строкой поиска. Для пользователей личного кабинета предусмотрен запрос по VIN (идентификационный номер транспортного средства). Постоянные клиенты интернет-магазина регулярно следят за нашими новостями, чтобы не упустить выгодные предложения, новинки ассортимента, информацию о скидках и акциях. Кстати, компания ""100-PLUS.RU"" регулярно радует своих покупателей такими приятными событиями. Для жителей Сызрани предусмотрена бесплатная доставка. Покупателю достаточно оформить заказ, и наша курьерская служба оперативно доставит товар на указанный адрес. Согласитесь, это удобно? Но и это еще не все! В компании ""100-PLUS.RU"" для вас работает большой коллектив опытных специалистов по техобслуживанию автомобилей. При необходимости вы всегда сможете воспользоваться услугой эвакуатора, в которую включена бесплатная автостоянка.",Запчасти для иномарок 100 плюс. ру,"Сызрань( п. Варламово), Кооперативная 29",,89270285822,info@100-plus.ru,100-plus.ru/
Авто-мото,"Производим цепи противоскольжения под собственной маркой KATICO c 2010 года. В наличии и под заказ цепи противоскольжения на все размеры колес и любую технику, для: - внедорожников и легковых автомобилей - грузовых, спецтехники - погрузчиков - квадроциклов - авто браслеты для грузовиков Изготавливаем цепи противобуксовочные на колеса: шипованные, высокопрочные Т8, лесенка, сота, зигзаг. Толщина звена 5-13 мм. У нас свое производство! Оптовые и розничные отгрузки. Подберем цепи для вашей техники, напишите или позвоните!",Katico,"Санкт-Петербург, Домостроительная ул., 3Д",194292,+78129292273,katicompany@gmail.com,katico.ru
Авто-мото,"Правка, сварка аргоном, покраска литых дисков. Удаление грыж и боковых порезов шин. Для того, чтобы ремонт дисков был произведен качественно, необходимо обращаться в специализированные компании, оснащенные современным оборудованием и имеющие высокопрофессиональных сотрудников. Наши сотрудники работают в данной сфере услуг многие годы и ремонтировали всякие случаи повреждений колес, но в любом случае эти колеса ходят и по сей день. Обращайтесь в ремонт дисков на Азовской 32",Ремонт дисков и шин Колёса.ру,"Москва, Кировоградская улица, 9к4",,84955448111,koleca.ru@yandex.ru,koleca.ru/
Авто-мото,"Автосалон Ленинград Авто один из из крупнейших дилеров Санк-Петербурга. С 2001 года мы активно развиваем свою дилерскую сеть. К 2018 году автосалон включает в себя дилерство таких ведущих марок, как : KIA, NISSAN, HYUNDAI, RENAULT, LADA, SKODA, VOLKSWAGEN, DATSUN, CITROEN, CHERY, FORD, SUZUKI, FAW, GEELY, UAZ. Ленинград Авто сотрудничает с ведущими банками и страховыми компаниями. На территории автосалона представлен кредитный отдел и отдел страхования. Не выходя из салона, Вы можете приобрести страховки КАСКО и ОСАГО, а так же оформить автокредит.",Автосалон Ленинград Авто,"г. Санкт-Петербург, Пулковское шоссе, 70",,+7 (812) 565-35-54 +7 (800) 550-74-57,leningrad.avto@yandex.ru,leningrad-auto.com
Авто-мото,"VOLGARAISE - честный автосервис! Работает с 2013 года. Мы оказываем любые услуги по техническому обслуживанию и ремонту авто(Автоэлектрик, Ремонт: ходовой части, АКПП и МКПП, Ремонт и диагностика ДВС, Заправка кондиционеров, Компьютерная диагностика, Шиномонтаж, Ремонт АКПП, Магазин автозапчастей, Ремонт двигателей). Все сотрудники нашего сервиса обладают высоким уровнем квалификации и большим опытом в проведении ремонтных работ",Volgaraise - Автосервис в Волгограде,Волгоград (Дзержинский район) ул.Трехгорная 2,,+7(919)540-73-34,volgarais@yandex.ru,volgaraise.ru
Авто-мото,"Интернет магазин Автозапчастей в Санкт-Петербурге. Продажа автозапчастей для иномарок и грузовых автомобилей, аккумуляторов, масел, автомобильных шин, дисков, автоаксессуаров по доступным ценам и в кратчайшие сроки. Сегодня компания 1stParts - это магазин автозапчастей в Санкт-Петербурге, с развитой логистикой и оперативной доставкой запчастей по всей РФ. Кроме большого наличия на складах Санкт-Петербурга и оперативного довоза автозапчастей со складов поставщиков РФ и СНГ, мы поставляем запчасти на заказ с заводов и центральных складов ведущих производителей.",1stParts,"Санкт-Петербург, пр. Наставников 35к1 ТЦ",,+78123301135,General@1stparts.ru,1stparts.ru
Авто-мото,"""All World Cars"" — международная сеть интернет-магазина запчастей для иномарок работающая с 2008 года, как поставщик автозапчастей. Наша команда предлагает Вам 30 миллионов позиций оригинальных и неоригинальных автозапчастей для иномарок в наличии с собственных складов AWC и на заказ из Японии, Европы, ОАЭ, США, России. Для того, чтобы заказать переходите к нам на сайт или звоните по телефону. Поможем подобрать выгодную, а главное качественную деталь для вашего автомобиля. Наш девиз В розницу, как оптом!",Интернет-магазин All World Cars,"Краснодарский край, г. Краснодар, мкр. Пашковский, ул. им. Круаской, 8б",350912,89615151211,krd2@all-world-cars.com,all-world-cars.com/
Авто-мото,"Уникальные автоаксессуары, товары для тюнинга, автоэлектроника, автогаджеты. Магазин Электро-кот предлагает широкий ассортимент авто товаров для российских и зарубежных автомобилей. Покупателям доступны: • выгодные цены; • бережная транспортировка; • бесплатная доставка по России; • возможность приобретения онлайн; • бесплатные консультации по телефону и электронной почте. Магазин реализует автоаксессуары ведущих мировых брендов, позволяет клиентам покупать эксклюзивные новинки, отслеживать заказ по СМС, производить оплату в момент получения товара. Компания имеет розничный магазин по адресу: • 394061 Воронеж, ул.Урицкого, д.34. (с 9:00 до 20:00); • онлайн магазин: https://electro-kot.ru/, работающий и обслуживающий клиентов 24 часа в сутки. Телефоны компании в Воронеже: 8(800)-700-26-40 (бесплатно по России) 8(473)-261-37-68 Электронная почта: order@electro-kot.ru",Торговая компания Electro-Kot,"Воронеж, ул.Урицкого, д.34",394061,8(473)-261-37-68,order@electro-kot.ru,electro-kot.ru
Авто-мото,"Компания HAFFEN производит и реализует запчасти для дизельных двигателей Камминз. Всегда в наличии огромный ассортимент запчастей для двигателей ГАЗель БизнесNext, Соболь, Валдай, ПАЗ, МАЗ, Камаз, Нефаз и других грузовиков, автобусов и спецтехники, оснащённых двигателями Cummins.",HAFFEN,"Воронеж, Куколкина, 32",,+7 800 222 26 87,info@haffen.com,haffen.com/
Авто-мото,"Мы специализируемся на удаление вмятин без покраски на автомобилях и мотоциклах. Независимо от того, являетесь ли вы владельцем спортивного купе или семейного седана, мы обеспечиваем максимальный уровень качества работ и обслуживания клиента. Мы перфекционисты, поэтому вы получите наилучший результат из возможного. -Ремонт вмятин от падения предметов (бытовой мусор, ветки деревьев, сосульки, снежные шапки,...). -Ремонт вмятин, полученных на парковке (тележки в торговых центрах, неаккуратный паркинг,...). -Ремонт вмятин от удара или чрезмерного надавливания рукой или ногой. -Ремонт вмятин от града. Технология может быть применена как для стальных, так и для алюминиевых деталей. Стоимость работ оцениваем по фото. Удобное расположение. Есть клиентская зона.",Удаление вмятин без покраски KillerDent,"г. Москва, улица Вавилова д. 13 А",,+7 926 047-11-66,hello@killerdent.ru,killerdent.ru/
Авто-мото,"Техническое обслуживание и ремонт автотранспортных средств. Торговля автомобильными деталями, узлами и принадлежностями.",Автосервис,,194352,+7(812)942-81-98,RemZonaLlc@gmail.com,
Авто-мото,Интернет-магазин шин и дисков SHINY-DISKI.RU. Бесплатная доставка по Москве. Доставка по России транспортными компаниями. Помощь консультантов при выборе шин или дисков. Множество способов оплаты. Более 700 отзывов на Я.Маркете.,ШИНЫ-ДИСКИ.РУ - интернет-магазин шин и дисков,"Москва, ул. Советская, 80с10",,8 (800) 301-05-42,shiny-diski@bk.ru,www.shiny-diski.ru/
Авто-мото,"Detal.lt Доставка запчастей из Европы. Оптовая и розничная торговля автозапчастями. Компания www.detal.lt оказывает услуги по доставке запчастей из Европы. Все запчасти из Европы проходят 100% таможенное оформление и имеют полный пакет документов. Мы не занимаемся поиском запчастей в Литве. Мы оказываем услуги по доставке и таможенному оформлению запчастей из Европы в Россию, Беларусь и Казахстан! За более подробной информацией обращайтесь по тел: +375298752248 тел., Viber, WhatsApp +37052596800 +74994042540 Наша компания расположена в Литве в г. Вильнюс. Склад оборудован автоматизированной системой приемки и маркировки деталей. Возможна загрузка во всех городах ближнего зарубежья по дополнительной договоренности. Наши штатные декларанты профессионально быстро и качественно подготовят все документы и растаможат ваш груз из Европы без лишних проволочек. Возможна доставка и таможенное оформление из Европы ЛЮБЫХ ГРУЗОВ Для оптовых покупателей действуют СПЕЦИАЛЬНЫЕ цены!!! Почему с нами выгодно? 1. Доставка и таможенное оформление автозапчастей из Литвы, Польши, Латвии во все регионы России, Беларуси, Казахстана, Киргизии, Армении. 2. Регулярные еженедельные рейсы дают возможность быстрой и надежной доставки. Ваши клиенты останутся довольны. 3. ВСЕ детали сопровождаются ПОЛНЫМ пакетом документов. На все моторы мы предоставляем ГТД для дальнейшей регистрации в ГАИ. 4. Дополнительная упаковка! Применяется для избежания механических повреждений деталей. Используем специальную пленку и прессованный картон. 5. Прием, хранение и отправка запчастей Вашим клиентам. Оказываем услуги по приему, хранению и отправке запчастей Вашим получателям при помощи транспортной компании напрямую с нашего склада. При отправке Вы получаете полный фотоотчет. 6. Разбираем автомобили на машинокомплекты. Быстро и качественно наши специалисты разберут авто и упакуют в защитный материал все снятые детали. Отрежут любые кузовные элементы. 7. Собственные склады автозапчастей в г. Вильнюс и г. Минск.",DETAL.LT,"V. Sirokomls g. 41A, Vilnius, Lithuania",,+375298752248,detal.lt.opt@gmail.com,detal.lt/
Авто-мото,"Компания ""АвтоТаун"" уже более 10 лет занимается продажей контрактных запчастей для японских, европейских, корейских автомобилей, а так же автомобилей из США. Запчасти представлены на модели таких производителей как: Audi, Bmw, Daihatsu, Ford, Honda, Infiniti, Isuzu, Land Rover, Lexus, Mazda, Mercedes, Mitsubishi, Nissan, Porsche, Renault, Scion, Subaru, Suzuki, Toyota, Volkswagen, Volvo. Постоянно в наличии на складах компании в Омске, Тюмени и Москве, широкий ассортимент контрактных автозапчастей – более 150000 наименований: кузовное железо, ДВС, АКПП, ноускаты, оптика, стекла, ходовая часть, навесное, зеркала, подушки ДВС, и многое другое.",Автотаун,"г. Мытищи, Ярославское шоссе, 116, ТД «Автозапчасти», пав. 24",,8 (495) 668-11-70,77@autotown55.ru,autotown55.ru/
Авто-мото,"Евродилер - крупнейший мультибрендовый дилер в Тольятти и Самаре. Предлагаем купить авто Лада, Киа, Фольксваген, Рено, а также китайские авто и автомобили других марок. Кроме того, предлагаем купить авто с пробегом, выкуп авто, страхование автомобилей и т.д. Индивидуальный подход к каждому клиенту. Подробную информацию о наших предложениях Вы найдете на сайте Евро-Дилер.рф. На любые интересующие Вас вопросы ответим по телефону 8 (800) 707-17-40. Обращайтесь к нам!",Евродилер,"4450000, Самарская обл., Тольятти, ул. Транспортная, д. 6а, строение 1",,+7 (800) 707-17-40,9890828@inbox.ru,
Авто-мото,"Реализация, гарантийный сервис, техническое обслуживание, поставка запчастей на автомобили FOTON AUMAN Daimler (Китай)",ООО,"Тюменская обл.,ХМАО-Югра,г.Сургут,Нефтеюганское шоссе 62/2",628405,+7(3462)71-26-72,sever_avto_86@mail.ru,foton-surgut.ru/
Авто-мото,"Студия аэрографии German-art участник и призер крупнейших фестивалей и конкурсов аэрографии. Работы студии также занимают топовые позиции на зарубежных галереях аэрографии. Художники студии работают в различных направлениях и техниках. Крепкая команда сформирована на основе того что, каждый из участников студии на фоне общей профессиональной базе знаний и опыта работы с автомобилями, имеет свою специализацию.",Студия Аэрографии,"г.Санкт-Петербург, Приморский район, ул. Оптиков, д.4, корпус 501, лит. Б.",,+7(921)352-04-09,ger-bar@yandex.ru,www.german-art.ru
Авто-мото,"Эталонные трансформаторы тока Трансформатор тока эталонный двухступенчатый ИТТ-3000.5 Трансформатор тока измерительный лабораторный ТТИ-5000.5 Трансформатор тока измерительный лабораторный ТТИ-100 Трансформатор тока измерительный лабораторный ТТИ-200 Приборы сравнения (компараторы) Прибор сравнения КНТ-05 Прибор сравнения КНТ-03 Прибор сравнения КТ-01 Нагрузочные устройства Нагрузочное устройство НТТ 50.5 (НТТ 50.1, НТТ 50.5-1) Регулируемые источника тока Регулируемый источник тока РИТ-3000 Регулируемый источник тока РИТ-5000 Поверка калибровка трансформаторов тока Поверка калибровка трансформаторов напряжения Поверка калибровка приборов сравнения Поверка калибровка нагрузочных устройств","ООО Предприятие Техника метрологии для энергетики, Екатеринбург","Свердловская область, Екатеринбург, 620000, Красноармейская 4",620000,(343) 217-30-68,tme.ekb@mail.ru,www.tme-ekb.ru
Авто-мото,"Компания ДеКАРС занимается розничной и оптовой продажей автозапчастей и аксессуаров для иномарок. Мы предлагаем оптимальные цены на автозапчасти в Санкт-Петербурге от ведущих производителей. У нас на сайте Вы можете заказать любые запчасти без предоплаты или просто позвоните и сделайте заказ. Всегда в наличии огромный ассортимент автозапчастей для автомобилей Audi, BMW, Ford, Honda, Mazda, Mercedes, Mitsubishi, Nissan, Opel, Toyota, Volkswagen и многих других. Мы продаем запчасти как на легковые так и грузовые автомобили. Поможем Вам подобрать оригинальные и неоригинальные автозапчасти для любого автомобиля. ИНТЕРНЕТ-МАГАЗИН автозапчастей содержит информацию более чем о 100 поставщиках, которая представлена в виде каталогов, все детали разбиты на группы запчастей.",ДеКАРС,"Санкт-Петербург, Васильевский остров, Большой проспект, 94",199106,+79219409905,detalicars@yandex.ru,detalicars.ru/
Авто-мото,"Шумоизоляция. Автосигнализации. Иммобилайзеры. Механическая защита. Охранные комплексы. Спутниковые системы. Поисковые системы. Противоугонные секретки. Ксенон. Фары. Оптика. Дневные ходовые огни. Автозвук. Аудио. Видео. Мультимедиа. Парковочные комплексы. Камеры заднего вида. Камеры переднего вида. Электростеклоподъемники. Противоугонная маркировка. Ремонт и восстановление пластика, фар. Установка видеорегистратора. Решетки радиатора. Тонирование автомобиля. Защита авто от сколов. Авточехлы на сидения. Химчистка салона. Полировка кузова. Обогревы сидений. Шиномонтаж. Жидкие подкрылки. Установка дополнительного оборудования на автомобиль, привезенного клиентом.",ОЛИМП АВТО,"Москва, ул.Ташкентская, 28",109472,+7 (495) 514-38-22,uspeh123456789@mail.ru,www.mos-olimp.ru
Авто-мото,"Мы - молодая команда профессионалов по автомобильному ремонту. Ремонт Вашего автомобиля - наша задача. С нами Вы забудете о проблемах с машиной! Мы проведем дагностику и устраним проблемы раньше, чем Ваш авто сломается. Предоставляем услуги по кузовному и слесарному ремонту! Запись по телефону: 2-777-605 Предоставляем качественные услуги по кузовному и слесарному ремонту Вашего автомобиля с гарантией! - Подбираем качественные автозапчасти для Вашего авто. - Проводим полную диагностику автомобиля, оценку состояния. - Выполняем ремонт ДВС, АКПП, МКПП, редукторов, агрегатов и ходовой части автомобиля. - Осуществляем кузовные работы и покраску Вашего авто любой сложности с применением новейших технологий и качественных материалов! - Восстанавливаем геометрию кузова на стапеле, устраняем вмятин.",jcar_service,"Пермь, ул. Васильева 3к",,8-908-2-777-605,jcarservic@yandex.ru,vk.com/jcar_service
