product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>sku,product>>url,product>>variations
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:14:48.336Z,"Soft ribbed texture with a wrap-front design, cropped cut and straight hem. Imported.",https://anf.scene7.com/is/image/anf/anf_198528_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_02_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_02_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_02_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_02_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_03_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_03_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_03_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198528_03_model3?scl=1,Long-Sleeve Wrap Top,198528,https://www.abercrombie.com/shop/wd/p/long-sleeve-wrap-top-10629444?categoryId=12266,BLACK|LIGHT PINK|CREAM
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:14:56.078Z,"Cute blouse with embroidered detail, long sleeves, elasticized sleeve opening and straight hem. Imported.",https://anf.scene7.com/is/image/anf/anf_198627_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_01_prod2?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_01_prod2?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_03_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_03_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_03_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198627_03_model3?scl=1,Long-Sleeve Embroidered Blouse,198627,https://www.abercrombie.com/shop/wd/p/long-sleeve-embroidered-blouse-10614419?categoryId=12266,LIGHT BLUE STRIPE|NAVY
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:15:02.770Z,"Our girlfriend jean in a new medium wash with colorful floral embroidery, high rise, let-down hem, ankle length and zipper fly.",https://anf.scene7.com/is/image/anf/anf_191406_07_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_prod2?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_model4?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_prod2?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_191406_07_model4?scl=1,High-Rise Girlfriend Jeans,191406,https://www.abercrombie.com/shop/wd/p/high-rise-girlfriend-jeans-10629424?categoryId=12266,RIPPED DARK WASH WITH EMBROIDERY|RIPPED MEDIUM WASH|RIPPED LIGHT WASH WITH EMBROIDERY|RIPPED MEDIUM WASH WITH EMBROIDERY
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:15:10.951Z,"Easy v-neck sweater with a soft knit construction, puff sleeves, shorter length and embroidered logo detail near bottom hem. Imported.",https://anf.scene7.com/is/image/anf/anf_198726_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_02_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_02_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_02_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_02_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_03_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_03_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_03_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_03_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_04_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_04_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_04_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_04_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_05_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_05_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_05_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_198726_05_model3?scl=1,Puff Sleeve V-Neck Sweater,198726,https://www.abercrombie.com/shop/wd/p/puff-sleeve-v-neck-sweater-10629446?categoryId=12266,NAVY|LIGHT BLUE|LIGHT PINK|CREAM STRIPE|CREAM
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:15:20.528Z,"Our best-selling Harper Low-Rise Ankle Jean in a new medium wash with ripped details, frayed hem and zipper fly. Imported.",https://anf.scene7.com/is/image/anf/anf_192092_08_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_08_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_08_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_08_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_08_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_08_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_08_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_192092_08_model3?scl=1,Low-Rise Ankle Jeans,192092,https://www.abercrombie.com/shop/wd/p/low-rise-ankle-jeans-10629428?categoryId=12266,RIPPED BLACK|RIPPED DARK WASH|RIPPED MEDIUM WASH WITH EMBROIDERY|RIPPED MEDIUM WASH|RIPPED MEDIUM WASH WITH STUDS|RIPPED LIGHT WASH|RIPPED WHITE|SHREDDED MEDIUM WASH|RIPPED LIGHT WASH WITH EMBROIDERY|RIPPED SUPER LIGHT WASH|RIPPED WHITE WITH EMBROIDERY|RIPPED BLACK WASH
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:15:37.813Z,"Super soft fleece fabric with drawcord waist and relaxed fit, pockets at side seams, ribbed cuffs and logo detail. Imported.",https://anf.scene7.com/is/image/anf/anf_187366_02_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_02_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_02_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_02_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_02_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_02_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_02_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_02_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_03_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_03_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_03_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_03_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_04_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_04_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_04_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_04_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_05_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_05_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_05_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_05_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_06_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_06_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_06_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187366_06_model3?scl=1,Fleece Logo Jogger,187366,https://www.abercrombie.com/shop/wd/p/fleece-logo-jogger-10478920?categoryId=12266,GREY|NAVY|PLUM|RED|PINK|CREAM
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:15:44.560Z,"Soft fabric with a cropped cut, drawcord at hood, long sleeves with banded cuffs and cutoff hem. Imported.",https://anf.scene7.com/is/image/anf/anf_190549_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_01_life1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_01_life1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_02_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_02_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_02_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_02_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_02_life1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_03_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_03_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_03_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_03_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_04_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_04_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_04_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_190549_04_model3?scl=1,Logo Cutoff Hoodie,190549,https://www.abercrombie.com/shop/wd/p/fleece-logo-jogger-10478920?categoryId=12266,NAVY|MAROON|PINK|CREAM
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:15:49.306Z,"Soft fleece-lined jogger with side-entry pockets, drawstring waist, applique logo detail and banded hem. Imported.",https://anf.scene7.com/is/image/anf/anf_187247_02_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_02_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_02_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_02_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_02_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_02_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_02_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_02_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_03_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_03_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_03_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_03_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_04_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_04_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_04_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_04_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_05_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_05_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_05_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_05_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_06_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_06_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_06_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_187247_06_model3?scl=1,Logo Jogger,187247,https://www.abercrombie.com/shop/wd/p/fleece-logo-jogger-10478920?categoryId=12266,GREY|NAVY|OLIVE CAMO|RED|PINK|CREAM
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:15:59.844Z,"Super soft beanie with turned-up hem, allover rib texture and logo detail. Imported.",https://anf.scene7.com/is/image/anf/anf_185447_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_02_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_03_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_03_life1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_04_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_05_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_06_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_07_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_07_life1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_08_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_09_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_10_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_11_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_185447_12_prod1?scl=1,Logo Beanie,185447,https://www.abercrombie.com/shop/wd/p/logo-beanie-10311821?categoryId=12266,BLACK|GREY|OATMEAL|NAVY|OLIVE|GOLD|RED|BURGUNDY|ORANGE|LIGHT PINK|BLUE|LIGHT BLUE
Abercrombie & Fitch,Womens|New Arrivals,USD,2017-12-04T20:16:15.519Z,"Soft and lightweight fabric with a crew neckline, pocket at left chest and straight hem. Imported.",https://anf.scene7.com/is/image/anf/anf_196994_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_01_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_01_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_01_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_01_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_02_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_02_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_02_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_02_model3?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_03_prod1?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_03_model1?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_03_model2?scl=1|https://anf.scene7.com/is/image/anf/anf_196994_03_model3?scl=1,The A&F Camo Boyfriend Tee,196994,https://www.abercrombie.com/shop/wd/p/pocket-crew-tee-10526958?categoryId=12266,BLACK CAMO|LIGHT GREY CAMO|OLIVE CAMO
