product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>sku,product>>url,product>>variations
Adidas,training,GBP,2017-12-05T01:55:23.339Z,"Push-ups are a great exercise to build upper body and core strength, typically performed on the floor. Simple yet effective, they can be incorporated into any workout, anywhere. Using push-up bars can offer further training benefits beyond the no-equipment push-up. The adidas Push Up Bars are particularly beneficial if you suffer from wrist discomfort when performing your usual push-ups. The apparatus enables you to exercise free of pain and lets you lower yourself closer to the floor which increases the muscle work output required. The handles are two separate pieces of equipment, two platforms to grip with each hand, allowing you to change the position and direction of your wrists.",https://static.wixstatic.com/media/253a43_564d703bc0eb4b64b330061248d38d05~mv2.jpg|https://static.wixstatic.com/media/253a43_22fdd8de4d794e6ababa9c14c6fe08d5~mv2.jpg|https://static.wixstatic.com/media/253a43_3c7319a7ff244f7ba209d18d226e0ce1~mv2.jpg|https://static.wixstatic.com/media/253a43_cdce72a8f5e54f7e89dfef10ee3be790~mv2.jpg|https://static.wixstatic.com/media/253a43_014bb45c0359428397167cde46b50dec~mv2.jpg|https://static.wixstatic.com/media/253a43_56b56b6e50ec4a569c99dca38d1c454b~mv2.jpg,PUSH UP BARS,ADAC-12231,https://www.adidashardware.com/product-page/push-up-bars,
Adidas,training,GBP,2017-12-05T01:55:24.397Z,"How do you improve your push-up? Push-ups are a great exercise to build upper body and core strength. Simple yet effective, they can be incorporated into any workout, anywhere. The adidas Swivel Push Up Bars enhance and add variety in performing this staple body weight exercise, transforming the ordinary push-up into an extraordinary push-up. By adding a unique swivel action, the swivel push-up bars enable you to lock out your wrist and rotate as you lower to the push-up position. This calls upon more chest, shoulder and back muscle than a regular push up meaning bigger, better results in less time. As it's a natural movement, it actively reduces strain on the elbow and wrist joints and the smooth bearing discs help make it one smooth rotation. Alternatively the bars can be locked in position for traditional static push-ups. Sold as a pair.",https://static.wixstatic.com/media/253a43_fde5f2831d384cf3831f27455c7d9ca4~mv2.jpg|https://static.wixstatic.com/media/253a43_0362df24175a4310b6efdec8e89d52e3~mv2.jpg|https://static.wixstatic.com/media/253a43_aabf3e7a045b4d93b77d3f1a5f85dc55~mv2.jpg,SWIVEL PUSH UP BARS,ADAC-11401,https://www.adidashardware.com/product-page/swivel-push-up-bars,
Adidas,training,GBP,2017-12-05T01:55:24.631Z,"Developing core strength is imperative if you want to become stronger in all other aspects of your training, especially weight training. Designed to engage the core muscles and strengthen the upper body, the robust and sturdy set of two adidas Core Rollers feature ergonomic hand grips to ensure you can perform your exercises with confidence. The rolling motion of the equipment triggers hard to target muscles through a variety of exercises such as oblique and pike roll-outs. Having a roller to each hand adds a further level of intensity than using the traditional singular adidas ab wheel.",https://static.wixstatic.com/media/253a43_0452658988ca473e911571421f12317c~mv2.jpg|https://static.wixstatic.com/media/253a43_090f61654ade4e8595175aded4429b27~mv2.jpg|https://static.wixstatic.com/media/253a43_18b97d12fa4244d3bfd477efb0b6b6ac~mv2.jpg|https://static.wixstatic.com/media/253a43_fd0e3755d0494363a5ba0ae4d5982671~mv2.jpg|https://static.wixstatic.com/media/253a43_afdef9f3b5754d7880886ba6af913bfb~mv2.jpg,CORE ROLLERS,ADAC-11604,https://www.adidashardware.com/product-page/core-rollers,
Adidas,training,GBP,2017-12-05T01:55:24.870Z,"The 'roll out' is considered by experts to be one of the most productive (and challenging) abdominal exercises in the gym. Originally performed by 'rolling out' on a gymball, the adidas Ab Wheel improves and optimises the movement by placing you closer to the floor - this means that every muscle involved in stability and dynamic strength is called in to action. The first time you roll out, do it on your knees and keep the wheel under your body. As you improve, you can lift your knees off the ground and push the roller further in front of you - at this point your entire bodyweight is held through your abdominals making this one of the most targeted ways of working those particular muscles. Doing 1000s of sit ups won't give you flat abs - to achieve that you have to work the abdominal muscles as an integrated part of your torso. Roll outs are challenging but highly productive. Adidas Ab wheel is built to deliver results no matter if you are training for MMA, team sports or integrating it in to your WOD (workout of the day).",https://static.wixstatic.com/media/253a43_40da746d0b0646a9a6d36eb41e532d83~mv2.jpg|https://static.wixstatic.com/media/253a43_d366efdbfe1243b5b47391acd9c2e209~mv2.jpg|https://static.wixstatic.com/media/253a43_ff437ac65cd74e778ebb6e265a19773b~mv2.jpg,AB WHEEL,ADAC-11404,https://www.adidashardware.com/product-page/ab-wheel,
Adidas,training,GBP,2017-12-05T01:55:25.132Z,"Your body is only as strong as the weakest link, so small muscles in your forearms, hands and wrists play an essential role in any exercise that involves lifting weights. Grip exercises can lead to increased forearm muscularity, hand strength, endurance and dexterity, which in turn leads to better weight training performance. The pair of adidas Professional Grip trainers feature angled springs which allow for graded resistance to be used to train for hand strength and grip endurance. Take them with you anywhere and build up your grip on the go.",https://static.wixstatic.com/media/253a43_68cee7adecfb4cfab46b0c8b4f216793~mv2.jpg,PROFESSIONAL GRIP TRAINERS,ADAC-11400,https://www.adidashardware.com/product-page/professional-grip-trainers,
Adidas,training,GBP,2017-12-05T01:55:25.373Z,"The adidas Sand Bag enables you to add rotation and resistance to your workouts and perform both single and two handed moves. The bag encourages core muscle activation when held by any of its five grab handles, enabling you to push, pull and even throw the bag to engage multiple muscle groups in every repetition. Doubling up as a kettlebell, barbell or dumbbell for fast dynamic moves, the adidas Sand Bag has been packed with a double skin liner to ensure it doesn't become unstable or 'sloppy'.",https://static.wixstatic.com/media/253a43_781371b95a404d5995cf58ad82a736d4~mv2.jpg|https://static.wixstatic.com/media/253a43_95863f333eb942539a9b162bf80edaf5~mv2.jpg,SAND BAG,ADAC-11505,https://www.adidashardware.com/product-page/sand-bag,
Adidas,training,GBP,2017-12-05T01:55:25.601Z,"Suspended bodyweight training is one of the latest, most radical and innovative types of exercise you can do to improve strength, power, balance and agility. The adidas 36Zero Suspension Trainer is the perfect piece of fitness equipment to work your entire body without the need for heavy lifting. Utilising a series of different attachments from rings, pads, ab straps and handles, you can perform a multitude of upper and lower body exercises. Its versatile anchor enables you to attach both horizontally and vertically. The hand grips and foot straps are quickly and easily exchanged for rapid effective muscle conditioning and HITT (High Intensity Interval Training). Plus the incorporated ab straps can be used for intense targeted abdominal exercises. The 36Zero training plan has four phases. To make the plan safe, effective, and fun, each phase should be completed in the intended order. Phase 1Phase one introduces fundamental movements to help you build a strong, stable torso—the foundation of all movement to improve your ability to move and perform efficiently. This will be particularly helpful in later phases when workouts become more challenging. Phase 2Everyone has a dominant side of their body. Movement progressions in this phase challenge the right and left sides of your body independently. This helps each side move more efficiently on its own and improves how your entire body moves by decreasing muscle imbalances. Phase 3The third part of this plan challenges the solid foundation built in the previous phases with diverse movements that train your body from every angle. This phase helps solidify your body’s stability and strength Phase 4In the final phase, workouts will challenge you to move more quickly from one exercise to the next and push yourself to maintain proper form the entire time. This phase will help you increase your muscular and cardiovascular endurance",https://static.wixstatic.com/media/253a43_d1b166a1663049ab9b69faba554376a9~mv2.jpg|https://static.wixstatic.com/media/253a43_4771694944254280a987738adae68365~mv2.jpg|https://static.wixstatic.com/media/253a43_d7681fc6de614b6997f511b39951e8df~mv2.jpg|https://static.wixstatic.com/media/253a43_d7cfb67fe7854ae68165a0b08187bec2~mv2.jpg,36ZERO TRAINER,ADAC-12250,https://www.adidashardware.com/product-page/36zero-trainer,
Adidas,training,GBP,2017-12-05T01:55:25.845Z,"The 350ml capacity stylish adidas Hand Held Water Bottle is the easiest way to keep hydrated on your run with an integrated hand grip and grooves for comfort, and a sports pull-up cap for convenience whilst moving.",https://static.wixstatic.com/media/253a43_b2037ccabd2f42699cfdbf5e2abfbd35~mv2.jpg|https://static.wixstatic.com/media/253a43_5efc80b3b0194478b4494f3a557af81d~mv2.jpg,HAND HELD WATER BOTTLE,ADAC-11606,https://www.adidashardware.com/product-page/hand-held-water-bottle,
Adidas,training,GBP,2017-12-05T01:55:26.116Z,"High quality equipment bags are an essential part of maintaining a well-organised team. Suitable for all footballs, rugby balls, netballs and more, the strong adidas Equipment Bag is manufactured with fabric and mesh and features a simple and secure drawstring closure to keep all equipment compact within. The adidas equipment bag is a fundamental team sports accessory to store and transport kit easily to and from the training ground.",https://static.wixstatic.com/media/253a43_6435f9b976de428095fc82d4e4820d0e~mv2.jpg|https://static.wixstatic.com/media/253a43_d8f5def6da434ab49ec5fd3b5659984e~mv2.jpg|https://static.wixstatic.com/media/253a43_4530a1b2111245bd94ab7243fd60141c~mv2.jpg|https://static.wixstatic.com/media/253a43_4fbd9f7469034c1bb46dd0d8ac6aa8af~mv2.jpg,EQUIPMENT BAG,ADAC-11605,https://www.adidashardware.com/product-page/equipment-bag,
Adidas,training,GBP,2017-12-05T01:55:26.367Z,"The adidas Slam Ball takes your fitness to a whole new level. This weighted slam ball is an ideal way to build explosive strength, improve muscular endurance, increase speed and response time as well as strengthen and tone a wide variety of muscles. Exercising with a slam ball also burns calories and boosts cardio stamina. Different from medicine balls, sand-filled adidas slam balls are specially designed to be thrown against to floor without bouncing - this is key to building explosive strength. Perfect for total body and core specific conditioning, this 3kg ball is completely robust to take the full impact of the slam. Available in a range of weights, adidas Slam Balls introduce variety to your workout and challenge even the most serious athlete. Squat, lunge, sit-up or overhead press your way to increased fitness simply by holding onto the slam ball.",https://static.wixstatic.com/media/253a43_f88e86009e7a4be38e757923c3edf998~mv2.jpg|https://static.wixstatic.com/media/253a43_9a1adf930bb648e092a430270da7794a~mv2.jpg|https://static.wixstatic.com/media/253a43_ef870b3ff69a4c9ca3e338ad2aecdd31~mv2.jpg|https://static.wixstatic.com/media/253a43_104025e9b2344400951df06ce64f6fcd~mv2.jpg|https://static.wixstatic.com/media/253a43_233f29e670ac4fa0b6490793d66c51d3~mv2.jpg|https://static.wixstatic.com/media/253a43_f9dbc724f32c40ffbe188d46fc116d6b~mv2.jpg|https://static.wixstatic.com/media/253a43_ca7ae97d353541eda9dda72e6ca0538f~mv2.jpg,SLAM BALL,ADBL-10223,https://www.adidashardware.com/product-page/slam-ball,
