product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:25:41.800Z,"Sleeveless black leather midi-length dress, in raw cut panels whip-stitched together. Featuring hand-applied, silver-plated metal eyelets, which are hand-laced with multicolored leather laces, left long as decorative fringe.",https://cdn.yoox.biz/items/34/34767065be_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767065be_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767065be_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767065be_18_g_e.jpg|https://cdn.yoox.biz/items/34/34767065be_18_g_a.jpg,Whip-Stitched Leather Dress,5699,493349Q5HLU1666,http://www.alexandermcqueen.com/us/alexandermcqueen/long-dress_cod34767065be.html,BLACK
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:25:45.343Z,"Long-sleeved, crew neck Bouclé knit dress with multicolored leather laces, laced through hand-applied silver-plated metal eyelets.",https://cdn.yoox.biz/items/34/34767074av_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767074av_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767074av_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767074av_18_g_e.jpg|https://cdn.yoox.biz/items/34/34767074av_18_g_a.jpg,Bouclé Knit Long Dress with Leather Lacing,3179,493382Q1WHI1666,http://www.alexandermcqueen.com/us/alexandermcqueen/long-dress_cod34767074av.html,BLACK
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:25:48.261Z,"Long ivory plissé knit dress with extra fine merino wool piping in red, finished with a decorative lurex cross stitch that is left long as frayed fringe on hem and shoulders. Roll neck and invisible zipper on center back.",https://cdn.yoox.biz/items/34/34767073al_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767073al_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767073al_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767073al_18_g_e.jpg|https://cdn.yoox.biz/items/34/34767073al_18_g_a.jpg,Long Knit Dress With Roll Neck,2444,493374Q1WHC9082,http://www.alexandermcqueen.com/us/alexandermcqueen/long-dress_cod34767073al.html,IVORY/RED
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:25:51.193Z,"Long black plissé knit dress with extra fine merino wool piping in red, finished with a decorative lurex cross stitch that is left long as frayed fringe. Featuring a roll neck and long voluminous balloon sleeves with an invisible zipper on center back.",https://cdn.yoox.biz/items/34/34767069qs_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767069qs_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767069qs_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767069qs_18_g_e.jpg|https://cdn.yoox.biz/items/34/34767069qs_18_g_a.jpg,Long-Sleeved Knit Dress With Roll Neck,2669,493373Q1WHB1056,http://www.alexandermcqueen.com/us/alexandermcqueen/long-dress_cod34767069qs.html,BLACK/RED
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:25:58.102Z,"Long-sleeved, crew neck Bouclé knit mini dress with red leather laces that are laced through hand-applied silver-plated metal eyelets.",https://cdn.yoox.biz/items/34/34767071qt_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767071qt_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767071qt_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767071qt_18_g_e.jpg|https://cdn.yoox.biz/items/34/34767071qt_18_g_a.jpg,Bouclé Knit Mini Dress with Leather Lacing,2214,493385Q1WHS1058,http://www.alexandermcqueen.com/us/alexandermcqueen/mini-dress_cod34767071qt.html,BLACK
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:26:01.108Z,"Black mini plissé knit dress with extra fine merino wool piping in red, finished with a decorative lurex cross stitch. Featuring cap sleeves and crew neckline. The dress fastens with an invisible zipper on the side seam and a keyhole closure on the center back neck with mother-of-pearl button.",https://cdn.yoox.biz/items/34/34767070mv_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767070mv_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767070mv_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767070mv_18_g_e.jpg|https://cdn.yoox.biz/items/34/34767070mv_18_g_a.jpg,Cap Sleeve Mini Knitted Dress,1739,493380Q1WHG1056,http://www.alexandermcqueen.com/us/alexandermcqueen/mini-dress_cod34767070mv.html,BLACK/RED
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:26:04.054Z,"Black long dress in a cross-stitch patchwork print, featuring French cuffs and a handkerchief drape on the skirt. The dress has an invisible zipper fastening on the side seam and a concealed center front placket with mother-of-pearl button fastening.",https://cdn.yoox.biz/items/34/34767066cx_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767066cx_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767066cx_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767066cx_18_g_e.jpg|https://cdn.yoox.biz/items/34/34767066cx_18_g_a.jpg,Patchwork Long Dress,2669,488852QJD051785,http://www.alexandermcqueen.com/us/alexandermcqueen/long-dress_cod34767066cx.html,MULTICOLOR
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:26:06.903Z,"Ivory long dress in a cross-stitch patchwork print, featuring a scoop neckline, French cuffs and a handkerchief drape on the skirt. The dress has an invisible zipper fastening on the side seam and a concealed center front placket with mother-of-pearl button fastening.",https://cdn.yoox.biz/items/34/34767063tj_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767063tj_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767063tj_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767063tj_18_g_e.jpg|https://cdn.yoox.biz/items/34/34767063tj_18_g_a.jpg,Patchwork Long Dress,2444,488953QJD069285,http://www.alexandermcqueen.com/us/alexandermcqueen/long-dress_cod34767063tj.html,MULTICOLOR
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:26:09.314Z,"Sleeveless midi pencil dress in Wishing Tree tweed, featuring raw hand-frayed edges and an invisible zipper on center back.",https://cdn.yoox.biz/items/34/34767076vp_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767076vp_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767076vp_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767076vp_18_g_e.jpg|https://cdn.yoox.biz/items/34/34767076vp_18_g_a.jpg,Wishing Tree Tweed Pencil Midi Dress,2139,494216QJE321945,http://www.alexandermcqueen.com/us/alexandermcqueen/long-dress_cod34767076vp.html,MULTICOLOR
Alexander McQueen,Shop by|Sale,USD,2017-12-05T17:26:12.319Z,Black Bouclé knit dress featuring an open knit mesh detail in metallic silver. Sleeves and keyhole fastening on back neck.,https://cdn.yoox.biz/items/34/34767799ci_18_g_f.jpg|https://cdn.yoox.biz/items/34/34767799ci_18_g_r.jpg|https://cdn.yoox.biz/items/34/34767799ci_18_g_d.jpg|https://cdn.yoox.biz/items/34/34767799ci_18_g_e.jpg,Metallic Mesh Knit Dress,1199,493408Q1WIK1054,http://www.alexandermcqueen.com/us/alexandermcqueen/long-dress_cod34767799ci.html,BLACK/SILVER
