product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Ann Taylor,Online Exclusives,USD,2017-12-05T18:49:19.687Z,"Our longest shorts always step things up in style. Refined in crisp cotton, this essential pair has a touch of stretch for an endlessly flattering fit. Contoured waistband. Front zip with double hook-and-bar closure. Belt loops. Front off-seam pockets. Back welt pockets. Side slits. 11” inseam.",https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143755|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143755|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158580|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158580|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137187|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137187|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137183|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137183|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137185|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137185,Walking Shorts,49,455672,https://www.anntaylor.com/walking-shorts/455672,Atlantic Navy|Coastal Beige
Ann Taylor,Jewelry,USD,2017-12-05T18:49:25.022Z,A gleaming round pendant and adjustable cord necklace make this modern accessory shine. 34&#034; length adjustable cord necklace; 2&#034; pendant.,https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1149247|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1149247|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1148837|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1148837,Circle Pendant Cord Necklace,39.5,464472,https://www.anntaylor.com/circle-pendant-cord-necklace/464472,Gold
Ann Taylor,Jewelry,USD,2017-12-05T18:49:29.062Z,This stellar pair stars a linear drop of polished stones that takes your look to the next level. French wire. 2&#034; drop.,https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143771|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143771|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158888|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158888,Stellar Linear Drop Earrings,39.5,459484,https://www.anntaylor.com/stellar-linear-drop-earrings/459484,Frosted Pink
Ann Taylor,Jewelry,USD,2017-12-05T18:49:33.292Z,"Make the rounds with this glossy bead necklace, polished off with sparkling pave accents. Lobster claw closure. 30&#034; length with 2&#034; extender.",https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143739|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143739|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158885|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158885,Beaded Necklace,39.5,448996,https://www.anntaylor.com/beaded-necklace/448996,Black
Ann Taylor,Jewelry,USD,2017-12-05T18:49:37.302Z,"This beaded beauty is long and layerable, adding a sparkling twist to any ensemble. 70&#034; length.",https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1148832|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1148832|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143738|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143738|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1149245|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1149245,Beaded Layering Necklace,59.5,448908,https://www.anntaylor.com/beaded-layering-necklace/448908,Black|Scarlet Lily|Ivory White
Ann Taylor,Jewelry,USD,2017-12-05T18:49:41.497Z,This beautifully-crafted cluster of sparkling crystals radiates pure brilliance. Post back. 2/3&#034; width.,https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143767|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143767|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158887|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158887,Crystal Cluster Earrings,39.5,457954,https://www.anntaylor.com/crystal-cluster-earrings/457954,Silver
Ann Taylor,Jewelry,USD,2017-12-05T18:49:45.539Z,Our chandelier-inspired earrings feature dazzling crystal drops for amazingly brilliant sparkle. Post back. 1&#034; drop.,https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143774|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1143774|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158890|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1158890,Crystal Chandelier Earrings,39.5,459653,https://www.anntaylor.com/crystal-chandelier-earrings/459653,Gold
Ann Taylor,Tops + Blouses,USD,2017-12-05T18:49:49.548Z,"Cut with a sleek split neck, our textured eyelet peplum is all about the pretty details. Split neck. Short sleeves. Shirred peplum hem. Hidden back zipper. Lined body. 25&#034; long.",https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1135690|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1135690|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137171|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137171|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137173|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1137173|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1135689|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1135689,Eyelet Peplum Top,79.5,454280,https://www.anntaylor.com/eyelet-peplum-top/454280,Black
Ann Taylor,Tops + Blouses,USD,2017-12-05T18:49:53.754Z,"With jeans or tulle, at happy hour or holiday dinner - our end-on-end cotton balloon sleeve top is the life of the party. Shirred jewel neck. 3/4 sleeves with shirred sleeve caps and encased elastic cuffs. Back slit with button closure. 25 1/4&#034; long.",https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1135688|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1135688|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1132628|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1132628|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1132626|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1132626|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1132627|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1132627,Cotton Balloon Sleeve Top,79.5,454276,https://www.anntaylor.com/cotton-balloon-sleeve-top/454276,Baja Rose|Western Bluebird
Ann Taylor,All Shoes,USD,2017-12-05T18:49:58.135Z,"Lead the charge with these buttery-soft suede sandals, expertly crafted in rich seasonal hues. Open toe. Padded footbed for complete comfort. Covered 3 1/2&#034; heel.",https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1109478|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1109478|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1109480|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1109480|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1112387|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1112387|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1112389|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1112389|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1112388|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1112388|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1112390|https://richmedia.channeladvisor.com/ImageDelivery/imageService?profileId=52000652&id=1112390,Jeanette Suede Heeled Sandals,128,452817,https://www.anntaylor.com/jeanette-suede-heeled-sandals/452817,Acorn Squash|Brown Toffee
