product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>sku,product>>url,product>>variations
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:37.564Z,Shop A-GOLD-E Cigarette Low Waist Straight Leg Jean at ASOS. Discover fashion online.,http://images.asos-media.com/products/a-gold-e-cigarette-low-waist-straight-leg-jean/8450280-1-blue?scl=1|http://images.asos-media.com/products/a-gold-e-cigarette-low-waist-straight-leg-jean/8450280-2?scl=1|http://images.asos-media.com/products/a-gold-e-cigarette-low-waist-straight-leg-jean/8450280-3?scl=1|http://images.asos-media.com/products/a-gold-e-cigarette-low-waist-straight-leg-jean/8450280-4?scl=1,A-GOLD-E Cigarette Low Waist Straight Leg Jean,1122820,http://us.asos.com/a-gold-e/a-gold-e-cigarette-low-waist-straight-leg-jean/prd/8450280?clr=blue&cid=20852,Blue
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:38.752Z,Shop A-GOLD-E 90s Mid Rise Loose Fit Jean at ASOS. Discover fashion online.,http://images.asos-media.com/products/a-gold-e-90s-mid-rise-loose-fit-jean/8450283-1-blue?scl=1|http://images.asos-media.com/products/a-gold-e-90s-mid-rise-loose-fit-jean/8450283-2?scl=1|http://images.asos-media.com/products/a-gold-e-90s-mid-rise-loose-fit-jean/8450283-3?scl=1|http://images.asos-media.com/products/a-gold-e-90s-mid-rise-loose-fit-jean/8450283-4?scl=1,A-GOLD-E 90s Mid Rise Loose Fit Jean,1122848,http://us.asos.com/a-gold-e/a-gold-e-90s-mid-rise-loose-fit-jean/prd/8450283?clr=blue&cid=20852,Blue
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:39.241Z,Shop A-GOLD-E Jamie High Rise Mom Jean at ASOS. Discover fashion online.,http://images.asos-media.com/products/a-gold-e-jamie-high-rise-mom-jean/8450298-1-blue?scl=1|http://images.asos-media.com/products/a-gold-e-jamie-high-rise-mom-jean/8450298-2?scl=1|http://images.asos-media.com/products/a-gold-e-jamie-high-rise-mom-jean/8450298-3?scl=1|http://images.asos-media.com/products/a-gold-e-jamie-high-rise-mom-jean/8450298-4?scl=1,A-GOLD-E Jamie High Rise Mom Jean,1122850,http://us.asos.com/a-gold-e/a-gold-e-jamie-high-rise-mom-jean/prd/8450298?clr=blue&cid=20852,Blue
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:39.689Z,Shop A-GOLD-E Sophie High Rise Crop Skinny Jean at ASOS. Discover fashion online.,http://images.asos-media.com/products/a-gold-e-sophie-high-rise-crop-skinny-jean/8450276-1-blue?scl=1|http://images.asos-media.com/products/a-gold-e-sophie-high-rise-crop-skinny-jean/8450276-2?scl=1|http://images.asos-media.com/products/a-gold-e-sophie-high-rise-crop-skinny-jean/8450276-3?scl=1|http://images.asos-media.com/products/a-gold-e-sophie-high-rise-crop-skinny-jean/8450276-4?scl=1,A-GOLD-E Sophie High Rise Crop Skinny Jean,1122810,http://us.asos.com/a-gold-e/a-gold-e-sophie-high-rise-crop-skinny-jean/prd/8450276?clr=blue&cid=20852,Blue
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:40.173Z,Shop AGOLDE Quinn Hi Rise Mini Skirt at ASOS. Discover fashion online.,http://images.asos-media.com/products/agolde-quinn-hi-rise-mini-skirt/7632331-1-devotee?scl=1|http://images.asos-media.com/products/agolde-quinn-hi-rise-mini-skirt/7632331-2?scl=1|http://images.asos-media.com/products/agolde-quinn-hi-rise-mini-skirt/7632331-3?scl=1|http://images.asos-media.com/products/agolde-quinn-hi-rise-mini-skirt/7632331-4?scl=1,AGOLDE Quinn Hi Rise Mini Skirt,1003095,http://us.asos.com/a-gold-e/agolde-quinn-hi-rise-mini-skirt/prd/7632331?clr=devotee&cid=20852,Devotee
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:40.646Z,Shop AGOLDE Parker Patchwork Cut Off Shorts with Fraying at ASOS. Discover fashion online.,http://images.asos-media.com/products/agolde-parker-patchwork-cut-off-shorts-with-fraying/7632354-1-patchedswapmeet?scl=1|http://images.asos-media.com/products/agolde-parker-patchwork-cut-off-shorts-with-fraying/7632354-2?scl=1|http://images.asos-media.com/products/agolde-parker-patchwork-cut-off-shorts-with-fraying/7632354-3?scl=1|http://images.asos-media.com/products/agolde-parker-patchwork-cut-off-shorts-with-fraying/7632354-4?scl=1,AGOLDE Parker Patchwork Cut Off Shorts with Fraying,1003089,http://us.asos.com/a-gold-e/agolde-parker-patchwork-cut-off-shorts-with-fraying/prd/7632354?clr=patchedswapmeet&cid=20852,Patched swapmeet
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:41.121Z,Shop AGOLDE Isabel Slim Fit Boyfriend Jean at ASOS. Discover fashion online.,http://images.asos-media.com/products/agolde-isabel-slim-fit-boyfriend-jean/7632125-1-mystic?scl=1|http://images.asos-media.com/products/agolde-isabel-slim-fit-boyfriend-jean/7632125-2?scl=1|http://images.asos-media.com/products/agolde-isabel-slim-fit-boyfriend-jean/7632125-3?scl=1|http://images.asos-media.com/products/agolde-isabel-slim-fit-boyfriend-jean/7632125-4?scl=1,AGOLDE Isabel Slim Fit Boyfriend Jean,1003042,http://us.asos.com/a-gold-e/agolde-isabel-slim-fit-boyfriend-jean/prd/7632125?clr=mystic&cid=20852,Mystic
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:41.639Z,Shop AGOLDE Jamie Hi Rise Straight Jean with Rips at ASOS. Discover fashion online.,http://images.asos-media.com/products/agolde-jamie-hi-rise-straight-jean-with-rips/7632093-1-evermore?scl=1|http://images.asos-media.com/products/agolde-jamie-hi-rise-straight-jean-with-rips/7632093-2?scl=1|http://images.asos-media.com/products/agolde-jamie-hi-rise-straight-jean-with-rips/7632093-3?scl=1|http://images.asos-media.com/products/agolde-jamie-hi-rise-straight-jean-with-rips/7632093-4?scl=1,AGOLDE Jamie Hi Rise Straight Jean with Rips,1003046,http://us.asos.com/a-gold-e/agolde-jamie-hi-rise-straight-jean-with-rips/prd/7632093?clr=evermore&cid=20852,Ever-more
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:42.092Z,Shop AGOLDE Jessie Girlfriend 90s Style Denim Trucker Jacket at ASOS. Discover fashion online.,http://images.asos-media.com/products/agolde-jessie-girlfriend-90s-style-denim-trucker-jacket/7632349-1-brooklyn?scl=1|http://images.asos-media.com/products/agolde-jessie-girlfriend-90s-style-denim-trucker-jacket/7632349-2?scl=1|http://images.asos-media.com/products/agolde-jessie-girlfriend-90s-style-denim-trucker-jacket/7632349-3?scl=1|http://images.asos-media.com/products/agolde-jessie-girlfriend-90s-style-denim-trucker-jacket/7632349-4?scl=1,AGOLDE Jessie Girlfriend 90s Style Denim Trucker Jacket,1003086,http://us.asos.com/a-gold-e/agolde-jessie-girlfriend-90s-style-denim-trucker-jacket/prd/7632349?clr=brooklyn&cid=20852,Brooklyn
A-Gold-E,Women|A Gold E,USD,2017-12-06T19:57:42.491Z,Shop AGOLDE Jamie Hi Rise Mom Jean at ASOS. Discover fashion online.,http://images.asos-media.com/products/agolde-jamie-hi-rise-mom-jean/7632121-1-brooklyn?scl=1|http://images.asos-media.com/products/agolde-jamie-hi-rise-mom-jean/7632121-2?scl=1|http://images.asos-media.com/products/agolde-jamie-hi-rise-mom-jean/7632121-3?scl=1|http://images.asos-media.com/products/agolde-jamie-hi-rise-mom-jean/7632121-4?scl=1,AGOLDE Jamie Hi Rise Mom Jean,1003048,http://us.asos.com/a-gold-e/agolde-jamie-hi-rise-mom-jean/prd/7632121?clr=brooklyn&cid=20852,Brooklyn
