product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Dyson,Gifts|Gifts by Category|Unique Gifts,USD,2017-12-07T00:05:23.532Z,"Dyson's Supersonic Hair Dryer uses intelligent heat control technology to help to prevent heat damage to your hair, preserving its natural shine. This high-speed and powerful hair dryer works to straighten and smooth delivering beautiful silky hair.",https://s7d9.scene7.com/is/image/BedBathandBeyond/145513347275522p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/98918847339040p?scl=1|https://s7d2.scene7.com/is/image/BedBathandBeyond/10160953308317m?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/10160953308317m?scl=1,Dyson Supersonic Hair Dryer,399.99,,https://www.bedbathandbeyond.com/store/product/dyson-supersonic-hair-dryer/3308317,IRON/FUCHSIA|WHITE/SILVER
KitchenAid,Kitchen|Small Appliances|Mixers & Attachments,USD,2017-12-07T00:05:25.430Z,"This high-performance, 325 watt KitchenAid Artisan Stand Mixer is reason enough for you to get busy in the kitchen. With a 5 qt. ultra durable stainless steel mixing bowl and 10 speed settings, this tilt-back-head all-metal mixer is a kitchen essential.",https://s7d9.scene7.com/is/image/BedBathandBeyond/21686512370920p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/15710817825569p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/68875814073710p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/46977543004843p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/7366314872353p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/18935118698528p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/58050514872485p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21685612370938p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/17041218088827p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/31002313317640p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/24925813080976p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/150305412370911p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21685714017224p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/5789314222944p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21686413324514p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21686612963238p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21685812370962p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/104721943004836p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21685912370989p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/109395460419590p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/109395760419613p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21686212863004p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/109395660419606p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21685412370903p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/25119914872426p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/58001413227713p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21686012370997p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/7366514872434p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21686112371004p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/31722642049784p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/26824312371012p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/21685312366590p?scl=1|https://s7d1.scene7.com/is/image/BedBathandBeyond/150305412370911p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/150305412370911p?scl=1,KitchenAid® Artisan® 5 qt. Stand Mixer,279.99,,https://www.bedbathandbeyond.com/store/product/kitchenaid-reg-artisan-reg-5-qt-stand-mixer/102986,ALMOND|AQUA|BLUE WILLOW|BORDEAUX|BOYSENBERRY|BROWN|BUTTERCUP|COBALT BLUE|CONTOUR SILVER|CRANBERRY|CRYSTAL BLUE|EMPIRE RED|GLOSS CINNAMON|GREEN APPLE|ICE|IMPERIAL BLACK|IMPERIAL GREY|LAVENDER|MAJESTIC YELLOW|MATTE BLACK|MATTE GRAY|METALLIC CHROME|OCEAN DRIVE|ONYX BLACK|PERSIMMON|PINK|PISTACHIO|SILVER|TANGERINE|WATERMELON|WHITE/SILVER|WHITE/WHITE
All-Clad,Gifts|Gifts by Interest|Gifts for the Cook,USD,2017-12-07T00:05:29.438Z,All-Clad is the first choice of serious cooks. Three-ply bonded construction has a pure aluminum core for even heat distribution and a non-reactive stainless-steel interior and exterior for stick-resistant and easy-to-clean benefits.,https://s7d1.scene7.com/is/image/BedBathandBeyond/1861812460112p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/1861812460112p?scl=1,All-Clad 12-Quart Stainless Steel Multi-Cooker,149.99,12460112,https://www.bedbathandbeyond.com/store/product/all-clad-12-quart-stainless-steel-multi-cooker/1012460112,
Homedics,Health & Beauty|Massage & Relaxation|Massage,USD,2017-12-07T00:05:30.079Z,"Feel the soothing warmth of the HoMedics Shiatsu Neck and Shoulder Massager with the added heat to the shiatsu, vibrating, or combined settings. It's all customizable so you can feel comfortable and natural in your relaxation.",https://s7d1.scene7.com/is/image/BedBathandBeyond/46662342763468p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/46662342763468p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/46662342763468p__1?scl=1,HoMedics® Shiatsu Neck and Shoulder Massager with Heat,39.99,42763468,https://www.bedbathandbeyond.com/store/product/homedics-reg-shiatsu-neck-and-shoulder-massager-with-heat/1042763468,
Presto,Gifts|Gifts by Category|Unique Gifts,USD,2017-12-07T00:05:30.730Z,"Make delicious, authentic pizza parlor pizza at home. With the exclusive Roto-bake technology you can choose exactly how bubbly the cheese should be and precisely how crispy or chewy you'd like the crust.",https://s7d1.scene7.com/is/image/BedBathandBeyond/397311975038p?scl=1,Presto Pizzazz Pizza Cooker,59.99,11975038,https://www.bedbathandbeyond.com/store/product/presto-pizzazz-pizza-cooker/1011975038,
B. Smith,Same Day Delivery,USD,2017-12-07T00:05:31.182Z,"Offering an appetizing spread of food for your guests is easy with this Multi-Purpose Server and Tray from B. Smith. The set includes 4 bowls centered around a small condiment bowl, all which has a carved individual space on the bamboo tray.",https://s7d2.scene7.com/is/image/BedBathandBeyond/56518543233533p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/56518543233533p?scl=1,B. Smith Multi-Purpose Server with Tray,39.99,43233533,https://www.bedbathandbeyond.com/store/product/b-smith-multi-purpose-server-with-tray/1043233533,
BedBathAndBeyond,More|Pet Care|Dog,USD,2017-12-07T00:05:31.949Z,You won't worry about your dog feeling bored if she has a Talking Babble Ball Small Pet Toy. This toy interacts with your pet when touched and automatically turns itself off. More than 20 recorded wisecracks and sounds will entertain and amuse your pet.,https://s7d1.scene7.com/is/image/BedBathandBeyond/61148915805684p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/61148915805684p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/61148915805684p__1?scl=1,Talking Babble Ball Small Pet Toy in Blue,4.99,15805684,https://www.bedbathandbeyond.com/store/product/talking-babble-ball-small-pet-toy-in-blue/1015805684,
BedBathAndBeyond,Home Decor|Decorative Accessories|Blankets & Throws,USD,2017-12-07T00:05:32.680Z,"Experience the exceptional warmth and silky hand of the oversized Mink Reversible Throw. The unique, textured plush faux mink reverses to a supple micro-mink, creating the ultimate cozy experience.",https://s7d9.scene7.com/is/image/BedBathandBeyond/51143742578123p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/51143842578130p?scl=1|https://s7d1.scene7.com/is/image/BedBathandBeyond/5109213260360m?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/5109213260360m?scl=1,Mink Reversible Throw,19.99,,https://www.bedbathandbeyond.com/store/product/mink-reversible-throw/3260360,CHAMPAGNE|IVORY
Earth Therapeutics®,Gifts|Holiday Ideas|Secret Santa,USD,2017-12-07T00:05:33.360Z,Give the gift of moisturized skin with the delightfully festive Holiday Aloe Infused Glove & Sock Set from Earth Therapeutics. These super soft gloves and socks feature a charming holiday pattern and will moisturize your feet and hands in plush softness.,https://s7d2.scene7.com/is/image/BedBathandBeyond/131437262216319p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/131437262216319p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/131437262216319p__1?scl=1,Earth Therapeutics® Holiday Aloe Infused Glove & Sock Set in Red,9.99,62216319,https://www.bedbathandbeyond.com/store/product/earth-therapeutics-reg-holiday-aloe-infused-glove-sock-set-in-red/1062216319,
Earth Therapeutics®,Gifts|Gifts by Price|Gifts under $25,USD,2017-12-07T00:05:34.204Z,"Whether you need to relieve muscle tension with heat or reduce swelling with cold, this comfortable u-shaped pillow for your neck is the solution. Microwave it for a warm session, or freeze it to apply cool pressure to a problem area.",https://s7d1.scene7.com/is/image/BedBathandBeyond/12695316883646p?scl=1|https://s7d9.scene7.com/is/image/BedBathandBeyond/12695316883646p?scl=1,Anti-Stress Microwavable Neck Pillow,14.99,16883646,https://www.bedbathandbeyond.com/store/product/anti-stress-microwavable-neck-pillow/1016883646,
