product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Diesel,SALE|MEN|Denim|SKINNY|Skinny,USD,2018-01-11T23:00:26.339Z,Skinny; Low waist; Dark blue; Treated; Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dw5fed2d6d/images/large/00SW1Q_084PI_01_C.jpg?sw=2000,THOMMER 084PI,298,00SW1Q084PI,http://shop.diesel.com/skinny/thommer-084pi/00SW1Q084PI.html,Dark Blue
Diesel,SALE|MEN|Denim|SKINNY|Skinny,USD,2018-01-11T23:00:30.241Z,Skinny; Low waist; Black/Dark grey; Medium treated; Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dwd10f7319/images/large/00SW1Q_0687J_02_C.jpg?sw=2000,THOMMER 0687J,198,00SW1Q0687J,http://shop.diesel.com/skinny/thommer-0687j/00SW1Q0687J.html,Black Jeans
Diesel,SALE|MEN|Denim|SKINNY|Skinny,USD,2018-01-11T23:00:33.696Z,Skinny; Low waist; Dark blue; Treated; Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dw3c70b69d/images/large/00SW1Q_0687U_01_C.jpg?sw=2000,THOMMER 0687U,278,00SW1Q0687U,http://shop.diesel.com/skinny/thommer-0687u/00SW1Q0687U.html,Blue jeans
Diesel,SALE|MEN|Denim|SKINNY|Skinny,USD,2018-01-11T23:00:37.227Z,Skinny; Low waist; Medium blue; Medium treated; Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dw3ef75e0e/images/large/00SW1Q_084MW_01_C.jpg?sw=2000,THOMMER 084MW,178,00SW1Q084MW,http://shop.diesel.com/skinny/thommer-084mw/00SW1Q084MW.html,Blue jeans
Diesel,SALE|MEN|Denim|SKINNY|Skinny,USD,2018-01-11T23:00:40.818Z,Skinny; Low waist; Dark blue; Medium treated; JoggJeans,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dw6c8a0239/images/large/00S8MK_0686W_01_C.jpg?sw=2000,THOMMER CB JOGGJEANS 0686W,298,00S8MK0686W,http://shop.diesel.com/skinny/thommer-cb-joggjeans-0686w/00S8MK0686W.html,Blue jeans
Diesel,SALE|MEN|Denim|SKINNY|Skinny,USD,2018-01-11T23:00:44.155Z,Skinny; Low waist; Black/Dark grey; Clean; JoggJeans,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dwe360ad6b/images/large/00S8MK_0689V_02_B.jpg?sw=2000,THOMMER CB JOGGJEANS 0689V,278,00S8MK0689V,http://shop.diesel.com/skinny/thommer-cb-joggjeans-0689v/00S8MK0689V.html,Grey jeans
Diesel,SALE|MEN|Denim|STRAIGHT|Straight,USD,2018-01-11T23:00:47.606Z,Straight; Regular waist; Light blue; Destroyed; Non-Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dwad4015e3/images/large/00SD5V_084PK_01_C.jpg?sw=2000,DAGH 084PK,228,00SD5V084PK,http://shop.diesel.com/straight/dagh-084pk/00SD5V084PK.html,Light Blue
Diesel,SALE|MEN|Denim|STRAIGHT|Straight,USD,2018-01-11T23:00:51.025Z,Straight; Regular waist; Medium blue; Clean; Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dw82f66c53/images/large/00S7Q5_084TD_01_G.jpg?sw=2000,DAGH-SP 084TD,228,00S7Q5084TD,http://shop.diesel.com/straight/dagh-sp-084td/00S7Q5084TD.html,01
Diesel,SALE|MEN|Denim|STRAIGHT|Straight,USD,2018-01-11T23:00:54.590Z,Straight; Regular waist; Medium blue; Destroyed; Non-Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dw8b50a213/images/large/00SD5V_084MI_01_G.jpg?sw=2000,DAGH 084MI,228,00SD5V084MI,http://shop.diesel.com/straight/dagh-084mi/00SD5V084MI.html,Blue jeans
Diesel,SALE|MEN|Denim|STRAIGHT|Straight,USD,2018-01-11T23:00:57.919Z,Straight; Regular waist; Light blue; Clean; Non-Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dw23cdb36a/images/large/00SD5V_084QZ_01_G.jpg?sw=2000,DAGH 084QZ,348,00SD5V084QZ,http://shop.diesel.com/straight/dagh-084qz/00SD5V084QZ.html,Light Blue
Diesel,SALE|MEN|Denim|CARROT|Carrot,USD,2018-01-11T23:01:01.411Z,Carrot; Low waist; Light blue; Treated; Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dw458f7ff8/images/large/00SAMF_084NU_01_G.jpg?sw=2000,DEEPZIP 084NU,248,00SAMF084NU,http://shop.diesel.com/carrot/deepzip-084nu/00SAMF084NU.html,Light Blue
Diesel,SALE|MEN|Denim|TAPERED|Tapered,USD,2018-01-11T23:01:04.829Z,Tapered; Regular waist; Black/Dark grey; Medium treated; Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dwb1311819/images/large/00S4IN_0687J_02_C.jpg?sw=2000,BELTHER 0687J,228,00S4IN0687J,http://shop.diesel.com/tapered/belther-0687j/00S4IN0687J.html,Black Jeans
Diesel,SALE|MEN|Denim|SKINNY|Skinny,USD,2018-01-11T23:01:08.553Z,Skinny; Regular waist; Black/Dark grey; Clean; Stretch,http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dw1b701b2b/images/large/00S7VG_084SB_02_R.jpg?sw=2000,SLEENKER 084SB,248,00S7VG084SB,http://shop.diesel.com/skinny/sleenker-084sb/00S7VG084SB.html,Black Jeans
Diesel,SALE|MEN|Pants & Shorts|Jumpsuits|Jumpsuits,USD,2018-01-11T23:01:12.146Z,"These regular-slim 5 pocket shorts hit just above the knee. They're crafted from Diesel's ultra-comfortable JoggJeans jersey, engineered to have plenty of stretch and a soft touch, and feature a dark wash with sandpapered effects, ripped and repaired detailing, and a very subtle golden finish.",http://demandware.edgesuite.net/sits_pod26/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-diesel-master-catalog/default/dwe4d60c9a/images/large/00SPKE_084QT_01_D.jpg?sw=2000,BUSTSHORT,168,00SPKE084QT,http://shop.diesel.com/jumpsuits/bustshort/00SPKE084QT.html,Blue jeans
