product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
DWELL,lounge|armchair,GBP,2018-01-12T09:33:25.241Z,The elegant Pivot swivelling armchair will bring taste to your living room. With its brushed stainless steel swivel base it mixes modernity and comfort. Also Available in stone and black.,https://cdn.dwell.co.uk/ProductImages/1000-118696-10.jpg,Pivot swivelling armchair cream,299,118696,https://dwell.co.uk/118696,black|stone|grey fabric|tan
DWELL,lounge|armchair,GBP,2018-01-12T09:33:26.192Z,"Chunky armchair with high back, soft faux leather cover and padded seat to create the maximum comfort, brushed steel legs with contemporary look",https://cdn.dwell.co.uk/ProductImages/1000-134549-10.jpg,Marcel swivelling armchair cream,349,134549,https://dwell.co.uk/134549,tan|stone
DWELL,lounge|armchair,GBP,2018-01-12T09:33:28.527Z,The elegant Pivot swivelling armchair will bring taste to your living room. With its brushed stainless steel swivel base it mixes modernity and comfort. Also Available in white and black.,https://cdn.dwell.co.uk/ProductImages/1000-118698-10.jpg,Pivot swivelling armchair stone,449,118698,https://dwell.co.uk/118698,black|cream|grey fabric|tan
DWELL,lounge|armchair,GBP,2018-01-12T09:33:28.853Z,The elegant Pivot swivelling armchair will bring taste to your living room. With its brushed stainless steel swivel base it mixes modernity and comfort.,https://cdn.dwell.co.uk/ProductImages/1000-142930-3.jpg,Pivot swivelling armchair grey fabric,449,142930,https://dwell.co.uk/142930,black|stone|cream|tan
DWELL,lounge|armchair,GBP,2018-01-12T09:33:30.253Z,The elegant Pivot swivelling armchair will bring taste to your living room. With its brushed stainless steel swivel base it mixes modernity and comfort. Also Available in white and stone.,https://cdn.dwell.co.uk/ProductImages/1000-118700-10.jpg,Pivot swivelling armchair black,299,118700,https://dwell.co.uk/118700,stone|cream|grey fabric|tan
DWELL,lounge|armchair,GBP,2018-01-12T09:33:31.832Z,A gorgeous designer armchair with a hand stitched detail on the seat and outer surround helping to create a real statement piece for any living room. Sitting on stainless steel legs this sofa range offers contemporary styling at a great price.,https://cdn.dwell.co.uk/ProductImages/1000-143555-10.jpg,Paris armchair dark grey,349,143555,https://dwell.co.uk/143555,light grey fabric
DWELL,lounge|armchair,GBP,2018-01-12T09:33:33.530Z,"Chunky armchair with high back, soft faux leather cover and padded seat to create the maximum comfort, brushed steel legs with contemporary look",https://cdn.dwell.co.uk/ProductImages/1000-134551-10.jpg,Marcel swivelling armchair stone,349,134551,https://dwell.co.uk/134551,tan|cream
DWELL,lounge|armchair,GBP,2018-01-12T09:33:35.166Z,The designer Vienna armchair will make a statement in any room it's placed in. Finished in luxurious leather with stitch detailing on the padded seats for enhanced comfort and style. A plump back cushion ensures maximum comfort.,https://cdn.dwell.co.uk/ProductImages/1000-139088-10.jpg,Vienna leather armchair white,799,139088,https://dwell.co.uk/139088,stone|grey leather|light grey fabric|truffle fabric
DWELL,lounge|armchair,GBP,2018-01-12T09:33:36.932Z,"The elegant Pivot swivelling armchair will bring taste to your living room. With its brushed stainless steel swivel base it mixes modernity and comfort. Also available in white, black and stone.",https://cdn.dwell.co.uk/ProductImages/1000-142918-10.jpg,Pivot swivelling armchair tan,449,142918,https://dwell.co.uk/142918,black|stone|cream|grey fabric
DWELL,lounge|armchair,GBP,2018-01-12T09:33:37.244Z,"Chunky armchair with high back, soft faux leather cover and padded seat to create the maximum comfort, brushed steel legs with contemporary look",https://cdn.dwell.co.uk/ProductImages/1000-134553-10.jpg,Marcel swivelling armchair tan,349,134553,https://dwell.co.uk/134553,stone|cream
DWELL,lounge|armchair,GBP,2018-01-12T09:33:39.404Z,"For a bit of luxury in your home, this designer armchair with its textured fabric will compliment any lounge in style. Its swivel base makes it versatile enough to be used with sofas or as a sumptuous bedroom chair!",https://cdn.dwell.co.uk/ProductImages/1000-104199-10.jpg,Cross base swivelling armchair mocha,599,104199,https://dwell.co.uk/104199,charcoal fabric
DWELL,lounge|armchair,GBP,2018-01-12T09:33:41.470Z,A gorgeous designer armchair with a hand stitched detail on the seat and outer surround helping to create a real statement piece for any living room. Sitting on stainless steel legs this sofa range offers contemporary styling at a great price.,https://cdn.dwell.co.uk/ProductImages/1000-144258-10.jpg,Paris armchair pewter fabric,599,144258,https://dwell.co.uk/144258,stone leather|stone|Brilliant white leather|Natural tan leather
DWELL,lounge|armchair,GBP,2018-01-12T09:33:43.106Z,"A highly contemporary range, the designer armchair from the Oslo range features large plush back cushions for support and a tough but soft material cover. The chairs are supported by sturdy stainless steel legs, for a sleek finish. The seat, back and loose cushion covers of this armchair are removable.",https://cdn.dwell.co.uk/ProductImages/1000-143264-10.jpg,Oslo armchair sand fabric,249,143264,https://dwell.co.uk/143264,
DWELL,lounge|armchair,GBP,2018-01-12T09:33:45.523Z,The designer Vienna armchair will make a statement in any room it's placed in. Finished in faux leather with padded seats for enhanced comfort and style. The stitch detail on the seat gives it a little edge and plump back cushion ensures maximum comfort. Also available in luxurious leather.,https://cdn.dwell.co.uk/ProductImages/1000-139072-10.jpg,Vienna armchair black,499,139072,https://dwell.co.uk/139072,stone|grey leather|light grey fabric|truffle fabric
DWELL,lounge|armchair,GBP,2018-01-12T09:33:47.803Z,"A designer sofa that is as wide as it is long, with a super-sized chaise section. The Vienna sofa will make a splash in any room it's placed in. Finished in soft yet durable fabric with padded seats it's incredibly comfortable. The stitch detail on the seats gives it a little edge and the plump back cushions ensure maximum comfort when stretching out. Also available in luxurious leather and faux leather.",https://cdn.dwell.co.uk/ProductImages/1000-143441-10.jpg,Vienna fabric armchair truffle,349,143441,https://dwell.co.uk/143441,stone|grey leather|light grey fabric|stone leather
DWELL,lounge|armchair,GBP,2018-01-12T09:33:49.474Z,"A highly contemporary range, the designer armchair from the Oslo range feature large plush back cushions for support and a tough but soft faux leather cover. The chairs are supported by sturdy stainless steel legs, for a sleek finished. Use a clean dry cloth to clean this chair. Available as corner, three and two seater and armchair in both faux leather and fabric options.",https://cdn.dwell.co.uk/ProductImages/1000-144468-10.jpg,Oslo faux leather armchair brilliant white,499,144468,https://dwell.co.uk/144468,gull grey|tan|Graphite fabric|Dark grey felt
