product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Intimately,intimates,USD,2018-01-14T21:32:52.126Z,Sheer long sleeve top featuring a ribbed design with femme ruffles around the neckline. * Elastic at the neckline,https://images.freepeople.com/is/image/FreePeople/45797016_011_0?scl=1|https://images.freepeople.com/is/image/FreePeople/45797016_011_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45797016_011_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45797016_011_c?scl=1|https://images.freepeople.com/is/image/FreePeople/45797016_041_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45797016_041_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45797016_041_c?scl=1,Baby Jane Long Sleeve,48,45797016,https://www.freepeople.com/shop/baby-jane-long-sleeve/,Light Oatmeal|Navy
FP Beach,clothes|jumpsuits & rompers,USD,2018-01-14T21:32:59.268Z,Super soft and oversized American made jumpsuit featuring extreme wide legs. * V-neckline and dropped armholes. * Lightweight and easy fabric. * Hip pockets.,https://images.freepeople.com/is/image/FreePeople/41886433_112_a?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_112_b?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_112_c?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_112_d?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_057_a?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_057_b?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_057_c?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_062_a?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_062_b?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_062_c?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_003_a?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_003_b?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_003_c?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_014_a?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_014_b?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_014_c?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_014_d?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_060_a?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_060_b?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_060_c?scl=1|https://images.freepeople.com/is/image/FreePeople/41886433_060_d?scl=1|https://s7w2p1.scene7.com/is/image/FreePeople/ugc/annie06281495737666.tif|https://s7w2p1.scene7.com/is/image/FreePeople/ugc/annie06281495737666.tif?$fpme-style-pic-large$|https://s7w2p1.scene7.com/is/image/FreePeople/ugc/adookie1503954185.tif|https://s7w2p1.scene7.com/is/image/FreePeople/ugc/adookie1503954185.tif?$fpme-style-pic-large$|https://s7w2p1.scene7.com/is/image/FreePeople/ugc/1502798144.tif|https://s7w2p1.scene7.com/is/image/FreePeople/ugc/1502798144.tif?$fpme-style-pic-large$,Fulton Jumpsuit,78,41886433,https://www.freepeople.com/shop/fulton-jumpsuit/,Sand|Burgundy|Magenta|Dark charcoal|Heathered Oatmeal|Red
We The Free,clothes|tops & tees,USD,2018-01-14T21:33:10.192Z,So soft tee featuring a V-neckline and distressed details throughout. * Semi-sheer * Unfinished edges * Side vents,https://images.freepeople.com/is/image/FreePeople/45187374_011_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_011_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_011_c?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_011_d?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_011_e?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_001_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_001_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_001_c?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_055_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_055_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_055_c?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_060_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_060_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45187374_060_c?scl=1,We The Free Cali Tee,38,45187374,https://www.freepeople.com/shop/we-the-free-cali-tee/,Ivory|Black|Lilac Garden|Hot Lava
We The Free,clothes|tops & tees,USD,2018-01-14T21:33:17.749Z,Irresistibly soft and stretchy long sleeve shirt featuring a plunging V-neckline and an asymmetrical hemline.,https://images.freepeople.com/is/image/FreePeople/44895886_010_a?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_010_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_010_c?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_010_d?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_001_a?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_001_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_001_c?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_040_a?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_040_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_040_c?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_040_d?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_238_a?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_238_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_238_c?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_060_a?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_060_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44895886_060_c?scl=1,We The Free Long Beach Tee,48,44895886,https://www.freepeople.com/shop/we-the-free-long-beach-tee2/,White|Washed Black|Starlight|Sage|Fire
FreePeople,clothes|tops & tees|camis & tanks,USD,2018-01-14T21:33:27.337Z,Tonally printed tank featured in a halter silhouette with an adjustable tie detail. * Ruffle hem * Elastic band in back,https://images.freepeople.com/is/image/FreePeople/44858900_001_a?scl=1|https://images.freepeople.com/is/image/FreePeople/44858900_001_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44858900_001_c?scl=1,Nights With You Tank,68,44858900,https://www.freepeople.com/shop/nights-with-you-tank/,Black
FreePeople,clothes|skirts|mini skirts,USD,2018-01-14T21:33:36.182Z,Cotton twill mini skirt featuring front button closures. * Attached belt on the waist * Front pockets with flap detailing * Raw hem,https://images.freepeople.com/is/image/FreePeople/45000346_013_0?scl=1|https://images.freepeople.com/is/image/FreePeople/45000346_013_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45000346_013_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45000346_013_c?scl=1|https://images.freepeople.com/is/image/FreePeople/45000346_031_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45000346_031_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45000346_031_c?scl=1,Hanging On Tight Mini Skirt,68,45000346,https://www.freepeople.com/shop/hanging-on-tight-mini-skirt/,True nude|Olive
FP Beach,clothes|labels|fp beach,USD,2018-01-14T21:33:44.037Z,Soft cotton tank with a ribbed design and button details at the straps.,https://images.freepeople.com/is/image/FreePeople/45292752_010_0?scl=1|https://images.freepeople.com/is/image/FreePeople/45292752_010_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45292752_010_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45292752_010_c?scl=1|https://images.freepeople.com/is/image/FreePeople/45292752_272_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45292752_272_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45292752_272_c?scl=1,Daisy Tank,30,45292752,https://www.freepeople.com/shop/daisy-tank/,White|Sungold
We The Free,clothes|denim,USD,2018-01-14T21:33:50.521Z,"Relaxed denim mini skirt featuring perfectly distressed details for a cool, edgy and lived-in look. * Front slit * Zipper fly with button closure * Five-pocket design * Belt loops",https://images.freepeople.com/is/image/FreePeople/44194215_001_a?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_001_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_001_c?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_001_d?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_004_a?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_004_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_004_c?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_040_c?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_040_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_040_d?scl=1|https://images.freepeople.com/is/image/FreePeople/44194215_040_a?scl=1,We The Free Relaxed & Destroyed Skirt,60,44194215,https://www.freepeople.com/shop/we-the-free-relaxed-destroyed-skirt/,Black|Light Grey|Harvest Bell
Cleobella,clothes|tops & tees,USD,2018-01-14T21:33:57.760Z,Delicate and femme crochet top featured in an off-the-shoulder silhouette. * Adjustable drawstring waist * Scalloped trim,https://images.freepeople.com/is/image/FreePeople/44952414_011_0?scl=1|https://images.freepeople.com/is/image/FreePeople/44952414_011_a?scl=1|https://images.freepeople.com/is/image/FreePeople/44952414_011_b?scl=1|https://images.freepeople.com/is/image/FreePeople/44952414_011_c?scl=1,Sarah Top,99,44952414,https://www.freepeople.com/shop/sarah-top/,Ivory Combo
FreePeople,clothes|sweaters|pullovers,USD,2018-01-14T21:34:04.392Z,Super soft and ultra-cozy pullover featuring a funnel neck. * Oversized and slouchy silhouette * Dolman style sleeves,https://images.freepeople.com/is/image/FreePeople/45126208_046_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_046_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_046_c?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_046_d?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_001_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_001_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_001_c?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_061_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_061_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_061_c?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_061_d?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_011_a?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_011_b?scl=1|https://images.freepeople.com/is/image/FreePeople/45126208_011_c?scl=1,Funnel Of Love Pullover,78,45126208,https://www.freepeople.com/shop/funnel-of-love-pullover/,Teal Ocean|Black|Scarlett Kiss|Ivory
