product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
gapfs,WOMEN|New Arrivals|New Arrivals|Featured Looks,USD,2018-01-17T23:22:55.020Z,"Ankle-zip legging pants, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/629/235/cn14629235.jpg|http://www.gapfactory.com/webcontent/0014/629/268/cn14629268.jpg|http://www.gapfactory.com/webcontent/0014/629/254/cn14629254.jpg|http://www.gapfactory.com/webcontent/0014/261/510/cn14261510.jpg|http://www.gapfactory.com/webcontent/0014/291/249/cn14291249.jpg|http://www.gapfactory.com/webcontent/0014/261/303/cn14261303.jpg|http://www.gapfactory.com/webcontent/0014/629/268/cn14629268.jpg|http://www.gapfactory.com/webcontent/0014/629/254/cn14629254.jpg|http://www.gapfactory.com/webcontent/0014/261/510/cn14261510.jpg|http://www.gapfactory.com/webcontent/0014/291/249/cn14291249.jpg|http://www.gapfactory.com/webcontent/0014/261/322/cn14261322.jpg|http://www.gapfactory.com/webcontent/0014/261/510/cn14261510.jpg|http://www.gapfactory.com/webcontent/0014/291/249/cn14291249.jpg|http://www.gapfactory.com/webcontent/0014/629/268/cn14629268.jpg|http://www.gapfactory.com/webcontent/0014/629/254/cn14629254.jpg,Ankle-zip legging pants,28.99,926604,http://www.gapfactory.com/browse/product.do?pid=926604&cid=1042791,black moss|moonless night|carmenere
gapfs,WOMEN|New Arrivals|New Arrivals|Featured Looks,USD,2018-01-17T23:22:56.286Z,"Ribbed boatneck sweater, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/357/167/cn14357167.jpg|http://www.gapfactory.com/webcontent/0014/474/498/cn14474498.jpg|http://www.gapfactory.com/webcontent/0014/473/892/cn14473892.jpg|http://www.gapfactory.com/webcontent/0014/357/207/cn14357207.jpg,Ribbed boatneck sweater,23.99,155315,http://www.gapfactory.com/browse/product.do?pid=155315&cid=1042791,classic multi stripe
gapfs,WOMEN|New Arrivals|New Arrivals|Featured Looks,USD,2018-01-17T23:22:57.169Z,"Wide leg jeans, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/357/228/cn14357228.jpg|http://www.gapfactory.com/webcontent/0014/357/995/cn14357995.jpg|http://www.gapfactory.com/webcontent/0014/357/576/cn14357576.jpg|http://www.gapfactory.com/webcontent/0014/358/025/cn14358025.jpg,Wide leg jeans,28.99,935153,http://www.gapfactory.com/browse/product.do?pid=935153&cid=1042791,dark indigo
gapfs,WOMEN|New Arrivals|New Arrivals|Featured Looks,USD,2018-01-17T23:22:57.773Z,"Stripe long-sleeve boatneck top, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/357/159/cn14357159.jpg|http://www.gapfactory.com/webcontent/0014/357/180/cn14357180.jpg|http://www.gapfactory.com/webcontent/0014/357/174/cn14357174.jpg|http://www.gapfactory.com/webcontent/0014/357/198/cn14357198.jpg,Stripe long-sleeve boatneck top,31.99,193069,http://www.gapfactory.com/browse/product.do?pid=193069&cid=1042791,black stripe
gapfs,WOMEN|New Arrivals|New Arrivals|Featured Looks,USD,2018-01-17T23:22:58.681Z,"Reversible bomber jacket, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/133/707/cn14133707.jpg|http://www.gapfactory.com/webcontent/0014/708/128/cn14708128.jpg|http://www.gapfactory.com/webcontent/0014/653/942/cn14653942.jpg|http://www.gapfactory.com/webcontent/0013/927/640/cn13927640.jpg|http://www.gapfactory.com/webcontent/0013/927/673/cn13927673.jpg|http://www.gapfactory.com/webcontent/0014/689/706/cn14689706.jpg|http://www.gapfactory.com/webcontent/0014/653/985/cn14653985.jpg|http://www.gapfactory.com/webcontent/0014/689/706/cn14689706.jpg|http://www.gapfactory.com/webcontent/0014/653/942/cn14653942.jpg|http://www.gapfactory.com/webcontent/0013/927/640/cn13927640.jpg|http://www.gapfactory.com/webcontent/0013/927/673/cn13927673.jpg|http://www.gapfactory.com/webcontent/0014/708/128/cn14708128.jpg|http://www.gapfactory.com/webcontent/0014/653/975/cn14653975.jpg|http://www.gapfactory.com/webcontent/0014/653/942/cn14653942.jpg|http://www.gapfactory.com/webcontent/0013/927/640/cn13927640.jpg|http://www.gapfactory.com/webcontent/0013/927/673/cn13927673.jpg|http://www.gapfactory.com/webcontent/0014/689/706/cn14689706.jpg|http://www.gapfactory.com/webcontent/0014/708/128/cn14708128.jpg,Reversible bomber jacket,39.99,738686,http://www.gapfactory.com/browse/product.do?pid=738686&cid=1042791,burgundy|douglas fir|true black
gapfs,WOMEN|New Arrivals|New Arrivals|Featured Looks,USD,2018-01-17T23:22:59.471Z,"Lace-up sweater, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/082/089/cn14082089.jpg|http://www.gapfactory.com/webcontent/0014/082/081/cn14082081.jpg|http://www.gapfactory.com/webcontent/0014/145/384/cn14145384.jpg|http://www.gapfactory.com/webcontent/0014/134/317/cn14134317.jpg|http://www.gapfactory.com/webcontent/0014/082/081/cn14082081.jpg|http://www.gapfactory.com/webcontent/0014/145/384/cn14145384.jpg,Lace-up sweater,26.99,932998,http://www.gapfactory.com/browse/product.do?pid=932998&cid=1042791,navy uniform|milk
gapfs,WOMEN|New Arrivals|New Arrivals|Featured Looks,USD,2018-01-17T23:23:00.271Z,"Textured open front cardigan, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/261/483/cn14261483.jpg|http://www.gapfactory.com/webcontent/0014/261/525/cn14261525.jpg|http://www.gapfactory.com/webcontent/0014/261/473/cn14261473.jpg|http://www.gapfactory.com/webcontent/0014/261/525/cn14261525.jpg,Textured open front cardigan,31.99,933415,http://www.gapfactory.com/browse/product.do?pid=933415&cid=1042791,true black|black grey stripe
gapfs,WOMEN|New Arrivals|New Arrivals|Featured Looks,USD,2018-01-17T23:23:01.043Z,"Lace-yoke tank, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/473/591/cn14473591.jpg|http://www.gapfactory.com/webcontent/0014/474/226/cn14474226.jpg|http://www.gapfactory.com/webcontent/0014/474/231/cn14474231.jpg|http://www.gapfactory.com/webcontent/0014/685/133/cn14685133.jpg|http://www.gapfactory.com/webcontent/0014/474/226/cn14474226.jpg|http://www.gapfactory.com/webcontent/0014/474/231/cn14474231.jpg,Lace-yoke tank,16.99,151900,http://www.gapfactory.com/browse/product.do?pid=151900&cid=1042791,optic white|true black
gapfs,WOMEN|New Arrivals|New Arrivals|New Arrivals,USD,2018-01-17T23:23:01.643Z,"Twill Utility Jacket, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/710/643/cn14710643.jpg|http://www.gapfactory.com/webcontent/0014/710/973/cn14710973.jpg,Twill Utility Jacket,79.99,925669,http://www.gapfactory.com/browse/product.do?pid=925669&cid=1042791,olive camo|true black
gapfs,WOMEN|New Arrivals|New Arrivals|New Arrivals,USD,2018-01-17T23:23:02.511Z,"Easy slit-shoulder tee, Women, Women New Arrivals, Gap Factory Store",http://www.gapfactory.com/webcontent/0014/685/041/cn14685041.jpg|http://www.gapfactory.com/webcontent/0014/551/109/cn14551109.jpg|http://www.gapfactory.com/webcontent/0014/685/269/cn14685269.jpg|http://www.gapfactory.com/webcontent/0014/551/109/cn14551109.jpg|http://www.gapfactory.com/webcontent/0014/686/327/cn14686327.jpg|http://www.gapfactory.com/webcontent/0014/551/109/cn14551109.jpg|http://www.gapfactory.com/webcontent/0014/685/249/cn14685249.jpg|http://www.gapfactory.com/webcontent/0014/551/109/cn14551109.jpg|http://www.gapfactory.com/webcontent/0014/685/259/cn14685259.jpg|http://www.gapfactory.com/webcontent/0014/551/109/cn14551109.jpg,Easy slit-shoulder tee,11.99,931111,http://www.gapfactory.com/browse/product.do?pid=931111&cid=1042791,true black|army jacket green|evening sand|wild rose|white
