product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
MP Massimo Piombo,All Products,USD,2018-01-17T23:42:56.023Z,"A long silk scarf, with raw fringed edge About the Brand: MP Massimo Piombo may not be a household name like some of the neighboring Milanese fashion houses, bu",https://cdn.shopify.com/s/files/1/0275/9117/products/Motw-September-22-3267-copy_1024x1024.jpg|https://cdn.shopify.com/s/files/1/0275/9117/products/Motw-September-22-3267-copy_1024x1024.jpg|https://cdn.shopify.com/s/files/1/0275/9117/products/Motw-September-22-3275-copy_1024x1024.jpg|https://cdn.shopify.com/s/files/1/0275/9117/products/Motw-September-22-3276-copy_1024x1024.jpg,Silk Scarf,160,MOTW1007084,https://www.gentrynyc.com/collections/all-online-products/products/silk-scarf-3,Burgundy Triangle Print
MP Massimo Piombo,All Products,USD,2018-01-17T23:42:58.893Z,"A long silk scarf, with raw fringed edge About the Brand: MP Massimo Piombo may not be a household name like some of the neighboring Milanese fashion houses, bu",https://cdn.shopify.com/s/files/1/0275/9117/products/Motw-September-22-3268-copy_1024x1024.jpg|https://cdn.shopify.com/s/files/1/0275/9117/products/Motw-September-22-3268-copy_1024x1024.jpg|https://cdn.shopify.com/s/files/1/0275/9117/products/Motw-September-22-3273-copy_1024x1024.jpg|https://cdn.shopify.com/s/files/1/0275/9117/products/Motw-September-22-3279-copy_1024x1024.jpg,Silk Scarf,160,MOTW1007083,https://www.gentrynyc.com/collections/all-online-products/products/silk-scarf-2,Orange Geometric Print
Industry of All Nations,All Products,USD,2018-01-17T23:43:01.119Z,"Crew neck long sleeve fleece sweatshirt in a deep indigo dye. Made from 100% Indian Organic CottonåÊand naturally dyed in Tamil Nadu, India. Production and Desi",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-reversed-fleece-sweatshirt-12-dips-indigo-alt1_1024x1024.jpg,Reversed Fleece Sweatshirt - 12 Dips Indigo,195,MOTW1004965,https://www.gentrynyc.com/collections/all-online-products/products/reversed-fleece-sweatshirt-12-dips-indigo,
Industry of All Nations,All Products,USD,2018-01-17T23:43:03.465Z,"Crew neck long sleeve fleece sweatshirt in a light indigo dye. Made from 100% Indian Organic CottonåÊand naturally dyed in Tamil Nadu, India. Production and Des",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-reversed-fleece-sweatshirt-6-dips-indigo-alt1_1024x1024.jpg,Reversed Fleece Sweatshirt - 6 Dips Indigo,195,MOTW1004952,https://www.gentrynyc.com/collections/all-online-products/products/reversed-fleece-sweatshirt-6-dips-indigo,
Industry of All Nations,All Products,USD,2018-01-17T23:43:05.816Z,"Polo style short sleeve shirt with a front chest pocket in a light indigo dye. Made from 100% Indian Organic CottonåÊand naturally dyed in Tamil Nadu, India. Pr",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-clean-polo-12-dips-indigo-alt1_1024x1024.jpg,Clean Polo - 12 Dips Indigo,95,MOTW1004941,https://www.gentrynyc.com/collections/all-online-products/products/clean-polo-12-dips-indigo,
Industry of All Nations,All Products,USD,2018-01-17T23:43:08.219Z,"Polo style short sleeve shirt with a front chest pocket in a light indigo dye. Made from 100% Indian Organic Cotton and naturally dyed in Tamil Nadu, India. Pro",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-clean-polo-6-dips-indigo-alt1_1024x1024.jpg,Clean Polo - 6 Dips Indigo,95,MOTW1004929,https://www.gentrynyc.com/collections/all-online-products/products/clean-polo-6-dips-indigo,
Industry of All Nations,All Products,USD,2018-01-17T23:43:10.750Z,"Polo style short sleeve shirt with a front chest pocket. Made from 100% Indian Organic Cotton. Production and Design: Using 100% Indian organic cotton, 100% nat",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-clean-polo-white-alt1_1024x1024.jpg,Clean Polo - White,95,MOTW1004919,https://www.gentrynyc.com/collections/all-online-products/products/clean-polo-white,
Industry of All Nations,All Products,USD,2018-01-17T23:43:13.138Z,"Tank style shirt with a front chest pocket in a deep indigo dye. Made from 100% Indian Organic Cotton and naturally dyed in Tamil Nadu, India. Production and De",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-clean-pocket-tank-12-dips-indigo-alt1_1024x1024.jpg,Clean Pocket Tank - 12 Dips Indigo,60,MOTW1004908,https://www.gentrynyc.com/collections/all-online-products/products/clean-pocket-tank-12-dips-indigo,
Industry of All Nations,All Products,USD,2018-01-17T23:43:15.518Z,"Tank style shirt with a front chest pocket in a light indigo dye. Made from 100% Indian Organic Cotton and naturally dyed in Tamil Nadu, India. Production and D",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-clean-pocket-tank-6-dips-indigo-alt1_1024x1024.jpg,Clean Pocket Tank - 6 Dips Indigo,60,MOTW1004898,https://www.gentrynyc.com/collections/all-online-products/products/clean-pocket-tank-6-dips-indigo,
Industry of All Nations,All Products,USD,2018-01-17T23:43:17.896Z,"Tank style shirt with a front chest pocket. Made from 100% Indian Organic Cotton. Production and Design: Using 100% Indian organic cotton, 100% natural dyes, wa",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-clean-pocket-tank-white-alt1_1024x1024.jpg,Clean Pocket Tank - White,60,MOTW1004887,https://www.gentrynyc.com/collections/all-online-products/products/clean-pocket-tank-white,
Industry of All Nations,All Products,USD,2018-01-17T23:43:20.302Z,"Crew neck T-Shirt with a front chest pocket in a deep indigo dye. Made from 100% Indian Organic Cotton and naturally dyed in Tamil Nadu, India. Production and D",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-clean-pocket-crew-12-dips-indigo-alt1_1024x1024.jpg,Clean Pocket Crew - 12 Dips Indigo,85,MOTW1005383,https://www.gentrynyc.com/collections/all-online-products/products/clean-pocket-crew-12-dips-indigo,
Industry of All Nations,All Products,USD,2018-01-17T23:43:22.523Z,"Crew neck T-Shirt with a front chest pocket in a light indigo dye. Made from 100% Indian Organic Cotton and naturally dyed in Tamil Nadu, India. Production and",https://cdn.shopify.com/s/files/1/0275/9117/products/man-of-the-world-industry-of-all-nations-clean-pocket-crew-alt1_grande_preview_1024x1024.jpg,Clean Pocket Crew - 6 Dips Indigo,85,MOTW1004857,https://www.gentrynyc.com/collections/all-online-products/products/clean-pocket-crew-6-dips-indigo,
