product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
BCBGMAXAZRIA,women-apparel|Dresses,USD,2018-01-17T23:54:33.971Z,Knit dress * Tonal topstitching and panel seaming * Hidden back zipper closure * Fully lined,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2012/520124514/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2012/520124516/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2012/520124517/orig.jpg,Jess Bustier Top Dress,135,7883470,https://www.gilt.com/brand/bcbgmaxazria/product/1206286362-bcbgmaxazria-jess-bustier-top-dress?origin=cat|nav|women_apparel|womens_dresses,black
Rachel Rachel Roy,women-apparel|Dresses,USD,2018-01-17T23:54:34.486Z,,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018204/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018205/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018206/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018215/orig.jpg,Cold Shoulder Fishnet Sweater Dress,155,7634339,https://www.gilt.com/brand/rachel-rachel-roy/product/1197581445-rachel-rachel-roy-cold-shoulder-fishnet-sweater-dress?origin=cat|nav|women_apparel|womens_dresses,black
1st sight,women-apparel|Dresses,USD,2018-01-17T23:54:35.013Z,Gathered popover dress with choker detail,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2046/520465894/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2046/520465895/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2046/520465893/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2046/520465910/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1230/512300154/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1230/512300155/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1230/512300156/orig.jpg,Choker Popover Dress,54.98,7493540,https://www.gilt.com/brand/1st-sight/product/1192313543-1st-sight-choker-popover-dress?origin=cat|nav|women_apparel|womens_dresses,army green|black
Rachel Rachel Roy,women-apparel|Dresses,USD,2018-01-17T23:54:35.570Z,,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018201/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018200/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018202/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018211/orig.jpg,Beaded Nk Bell Sleeve Sweater Dress,175,7598852,https://www.gilt.com/brand/rachel-rachel-roy/product/1196089827-rachel-rachel-roy-beaded-nk-bell-sleeve-sweater-dress?origin=cat|nav|women_apparel|womens_dresses,black
BCBGMAXAZRIA,women-apparel|Dresses,USD,2018-01-17T23:54:36.119Z,Woven dress,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018419/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018420/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018415/orig.jpg,Weiss Casual Dress,109,8276955,https://www.gilt.com/brand/bcbgmaxazria/product/1213845790-bcbgmaxazria-weiss-casual-dress?origin=cat|nav|women_apparel|womens_dresses,black
Rachel Rachel Roy,women-apparel|Dresses,USD,2018-01-17T23:54:36.637Z,,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018196/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018198/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018199/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018210/orig.jpg,L/S Sparkle Stripe Knit V-Nk Dress,145,7598842,https://www.gilt.com/brand/rachel-rachel-roy/product/1196089821-rachel-rachel-roy-l-s-sparkle-stripe-knit-v-nk-dress?origin=cat|nav|women_apparel|womens_dresses,gold/black
BCBGMAXAZRIA,women-apparel|Dresses,USD,2018-01-17T23:54:37.169Z,Knit dress,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018426/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018423/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018427/orig.jpg,Marian Casual Dress,139,8276983,https://www.gilt.com/brand/bcbgmaxazria/product/1213845803-bcbgmaxazria-marian-casual-dress?origin=cat|nav|women_apparel|womens_dresses,white
BCBGMAXAZRIA,women-apparel|Dresses,USD,2018-01-17T23:54:37.640Z,Woven dress,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018417/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018421/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018425/orig.jpg,Gali Casual Dress,129,8276959,https://www.gilt.com/brand/bcbgmaxazria/product/1213845792-bcbgmaxazria-gali-casual-dress?origin=cat|nav|women_apparel|womens_dresses,white co.
Rachel Rachel Roy,women-apparel|Dresses,USD,2018-01-17T23:54:38.138Z,,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018195/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018194/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018197/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/2001/520018203/orig.jpg,Asymmetrical Side Rouched Midi,59,7598826,https://www.gilt.com/brand/rachel-rachel-roy/product/1196089811-rachel-rachel-roy-asymmetrical-side-rouched-midi?origin=cat|nav|women_apparel|womens_dresses,black
Oscar de la Renta,women-apparel|Dresses,USD,2018-01-17T23:54:38.653Z,Woven cotton-blend dress,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1229/512296093/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1229/512296094/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1229/512296095/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1229/512296097/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1229/512296096/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1229/512296098/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1229/512296099/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1229/512296109/orig.jpg,Floral Cotton Dress,669,7645060,https://www.gilt.com/brand/oscar-de-la-renta/product/1198058760-oscar-de-la-renta-floral-cotton-dress?origin=cat|nav|women_apparel|womens_dresses,blue|currant
Black Halo,women-apparel|Dresses,USD,2018-01-17T23:54:39.193Z,Lace dress,https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1198/511989724/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1198/511989725/orig.jpg|https://cdn5.giltcdn.com/images/share/uploads/0000/0005/1198/511989731/orig.jpg,Endora Colorblocked Sheath Dress,99.98,7476441,https://www.gilt.com/brand/black-halo/product/1191898649-black-halo-endora-colorblocked-sheath-dress?origin=cat|nav|women_apparel|womens_dresses,black/silver
