product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Guess,women|view all,USD,2018-01-18T00:52:42.376Z,Off-the-shoulder bodysuit features a pleated overlay and long sleeves for effortless style. Thong bottom with snap-button closures.,https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-P1C4?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-P1C4-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-P1C4-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-P1C4-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-P1C4-ALT4?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-P9V4?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-P9V4-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-P9V4-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-P9V4-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-G6E3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-G6E3-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-G6E3-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74P29K3293-G6E3-ALT3?$2014_G_xxlarge$,Off-The-Shoulder Pleated Bodysuit,49,W74P29K3293,https://shop.guess.com/en/catalog/view/women/view-all/off-the-shoulder-pleated-bodysuit/w74p29k3293,frosted floral white alys|frosted floral jet black|evening sand
Guess,women|view all,USD,2018-01-18T00:52:43.957Z,"Our iconic 1981 skinny jeans deliver a second-skin fit that moves as you move. Designed with a trend-right high-rise waist, they feature lace accents at the hem.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74AB4D15Y1-BOOD?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74AB4D15Y1-BOOD-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74AB4D15Y1-BOOD-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74AB4D15Y1-BOOD-ALT3?$2014_G_xxlarge$,Black Lace 1981 Skinny Jeans,108,W74AB4D15Y1,https://shop.guess.com/en/catalog/view/women/view-all/black-lace-1981-skinny-jeans/w74ab4d15y1,boudoir black
Guess,women|view all,USD,2018-01-18T00:52:44.512Z,"A must-have for cold days, this genuine down jacket features a longline design, padded construction, a Triangle Rhinestone Logo™ and a tall stand collar with magnetic closures. Long sleeves and zipper pockets. Front zipper closure.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-OLN?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-OLN-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-OLN-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-OLN-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-DPID?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-DPID-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-DPID-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-DPID-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-A996?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-A996-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-A996-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74L70W94G0-A996-ALT3?$2014_G_xxlarge$,Asia Longline Down Jacket,198,W74L70W94G0,https://shop.guess.com/en/catalog/view/women/view-all/asia-longline-down-jacket/w74l70w94g0,olive night|deep indigo|jet black
Guess,women|view all,USD,2018-01-18T00:52:45.964Z,"This long-sleeve sweater dress is your new go-to with a tie around the waist, crewneck and rib-knit hem. Super-soft feel and stretch fit.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74K64R1UK0-M90?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74K64R1UK0-M90-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74K64R1UK0-M90-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74K64R1UK0-M90-ALT3?$2014_G_xxlarge$,Olea Tie-Waist Sweater Dress,108,W74K64R1UK0,https://shop.guess.com/en/catalog/view/women/view-all/olea-tie-waist-sweater-dress/w74k64r1uk0,gray
Guess,women|view all,USD,2018-01-18T00:52:46.589Z,Redefine your laid-back look with these stretchy leggings with ponte-knit construction and an elasticized waistband.,https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81B56R3PG2-JBLK?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81B56R3PG2-JBLK-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81B56R3PG2-JBLK-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81B56R3PG2-JBLK-ALT3?$2014_G_xxlarge$,Carmina Ponte Leggings,79,W81B56R3PG2,https://shop.guess.com/en/catalog/view/women/view-all/carmina-ponte-leggings/w81b56r3pg2,jet black
Guess,women|view all,USD,2018-01-18T00:52:49.653Z,Achieve retro-inspired style in these super high-rise skinny jeans featuring a white wash with a second-skin fit. Zip fly and button closure.,https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W7FA34R2HT0-OWE?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W7FA34R2HT0-OWE-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W7FA34R2HT0-OWE-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W7FA34R2HT0-OWE-ALT3?$2014_G_xxlarge$,Super High-Rise Skinny Jeans,98,W7FA34R2HT0,https://shop.guess.com/en/catalog/view/women/view-all/super-high-rise-skinny-jeans/w7fa34r2ht0,optic white
Guess,women|view all,USD,2018-01-18T00:52:50.635Z,"Infuse your look with edge in this denim jumpsuit featuring mesh contrast, a paneled design and a coated finish. Skinny fit and five-pocket construction. Back zip closure.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81D30D2UE0-HARR?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81D30D2UE0-HARR-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81D30D2UE0-HARR-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81D30D2UE0-HARR-ALT3?$2014_G_xxlarge$,Riley Coated Denim Jumpsuit,128,W81D30D2UE0,https://shop.guess.com/en/catalog/view/women/view-all/riley-coated-denim-jumpsuit/w81d30d2ue0,merge wash
Guess,women|view all,USD,2018-01-18T00:52:51.371Z,A gradient rhinestone triangle logo on the back pocket and a glitter-covered button closure add shine to these figure-flattering jeggings. Complete with an ultra-stretch fit and a dark wash.,https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81A27D2ZN1-SVBF?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81A27D2ZN1-SVBF-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81A27D2ZN1-SVBF-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81A27D2ZN1-SVBF-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W81A27D2ZN1-SVBF-ALT4?$2014_G_xxlarge$,Denim Jeggings,108,W81A27D2ZN1,https://shop.guess.com/en/catalog/view/women/view-all/denim-jeggings/w81a27d2zn1,silver bluff
Guess,women|view all,USD,2018-01-18T00:52:52.148Z,"A curve-hugging silhouette gives this denim bodycon dress sexy appeal. Features include a paneled design, three-quarter sleeves and an exposed zipper front closure.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74K00R2TN0-DADW?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74K00R2TN0-DADW-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74K00R2TN0-DADW-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74K00R2TN0-DADW-ALT3?$2014_G_xxlarge$,Denim Bodycon Dress,108,W74K00R2TN0,https://shop.guess.com/en/catalog/view/women/view-all/denim-bodycon-dress/w74k00r2tn0,dark wash
Guess,women|view all,USD,2018-01-18T00:52:52.830Z,"Rib-knit dress features an off-the-shoulder design with three-quarter length sleeves and a stretch-fit overlay, making it a closet must-have.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74R0B00000-G6C5?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74R0B00000-G6C5-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74R0B00000-G6C5-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74R0B00000-G6C5-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74R0B00000-G6C5-ALT4?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74R0B00000-G7F0?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74R0B00000-G7F0-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74R0B00000-G7F0-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/W74R0B00000-G7F0-ALT3?$2014_G_xxlarge$,Allison Off-The-Shoulder Dress,108,W74R0B00000,https://shop.guess.com/en/catalog/view/women/view-all/allison-off-the-shoulder-dress/w74r0b00000,whisper white|blue
