product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:55:45.274Z,"A supersoft fleece sweatshirt designed with logo applique and animal graphics, hood with drawstrings, pouch pocket and ribbed trim, Slim Fit, Imported",https://anf.scene7.com/is/image/anf/hol_201905_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_02_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201905_02_model3?$product-zoom-hol-v1$,Logo Graphic Hoodie,59.95,201905,https://www.hollisterco.com/shop/wd/p/logo-graphic-hoodie-10767463?seq=02&categoryId=12556,HEATHER GREY|WHITE
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:55:52.802Z,"A comfortable long-sleeve tee made with longer body length and a curved hem. Featuring printed checkerboard and logo graphics, soft cotton fabric and a crewneck, Slim Fit, Imported",https://anf.scene7.com/is/image/anf/hol_197122_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_life1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_life2?$product-zoom-hol-v1$,Checkerboard Logo Graphic Tee,24.95,197122,https://www.hollisterco.com/shop/wd/p/checkerboard-logo-graphic-tee-10681848?seq=01&categoryId=12556,NAVY|MINT|WHITE
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:56:00.647Z,"A comfortable long-sleeve tee made with longer body length and a curved hem. Featuring printed checkerboard and logo graphics, soft cotton fabric and a crewneck, Slim Fit, Imported",https://anf.scene7.com/is/image/anf/hol_197122_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_life1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_life2?$product-zoom-hol-v1$,Checkerboard Logo Graphic Tee,24.95,197122,https://www.hollisterco.com/shop/wd/p/checkerboard-logo-graphic-tee-10681848?seq=02&categoryId=12556,NAVY|MINT|WHITE
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:56:07.986Z,"A comfortable long-sleeve tee made with longer body length and a curved hem. Featuring printed checkerboard and logo graphics, soft cotton fabric and a crewneck, Slim Fit, Imported",https://anf.scene7.com/is/image/anf/hol_197122_03_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_life1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_life2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_02_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_life1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_197122_03_life2?$product-zoom-hol-v1$,Checkerboard Logo Graphic Tee,24.95,197122,https://www.hollisterco.com/shop/wd/p/checkerboard-logo-graphic-tee-10681848?seq=03&categoryId=12556,NAVY|MINT|WHITE
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:56:14.900Z,"Designed with a skinny fit through the hip and thigh, these ripped jeans are made with non-stretch, rigid denim with a soft, worn-in feel. Featuring a light wash, fading and whiskering, heavy destruction at the thighs, five-pocket styling and iconic back pocket embroidery, Imported",https://anf.scene7.com/is/image/anf/hol_202311_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202311_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202311_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202311_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202311_01_model4?$product-zoom-hol-v1$,Skinny Jeans,69.95,202311,https://www.hollisterco.com/shop/wd/p/skinny-jeans-10681965?seq=01&categoryId=12556,ripped light wash
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:56:19.867Z,"A supersoft cotton tee in our signature curved hem silhouette with longer length and curved hem. Featuring a crewneck, rolled sleeve cuffs and allover floral print, Slim Fit, Imported",https://anf.scene7.com/is/image/anf/hol_201581_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_model3?$product-zoom-hol-v1$,Must-Have Curved Hem T-Shirt,19.95,201581,https://www.hollisterco.com/shop/wd/p/must-have-curved-hem-t-shirt-10767459?seq=01&categoryId=12556,BLACK PATTERN|BLACK FLORAL
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:56:31.236Z,"A supersoft cotton tee in our signature curved hem silhouette with longer length and curved hem. Featuring a crewneck, rolled sleeve cuffs and allover floral print, Slim Fit, Imported",https://anf.scene7.com/is/image/anf/hol_201581_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_201581_02_model3?$product-zoom-hol-v1$,Must-Have Curved Hem T-Shirt,19.95,201581,https://www.hollisterco.com/shop/wd/p/must-have-curved-hem-t-shirt-10767459?seq=02&categoryId=12556,BLACK PATTERN|BLACK FLORAL
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:56:37.408Z,"A supersoft cotton tee made with longer length and a curved hem. Featuring floral graphic print at the sleeves and back, allover scrunch-dye pattern and crewneck, Slim Fit, Imported",https://anf.scene7.com/is/image/anf/hol_202235_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_model3?$product-zoom-hol-v1$,Must-Have Graphic Tee,29.95,202235,https://www.hollisterco.com/shop/wd/p/must-have-graphic-tee-10767465?seq=01&categoryId=12556,BLACK TIE DYE|LIGHT GREY TIE DYE
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:56:44.534Z,"A supersoft cotton tee made with longer length and a curved hem. Featuring floral graphic print at the sleeves and back, allover scrunch-dye pattern and crewneck, Slim Fit, Imported",https://anf.scene7.com/is/image/anf/hol_202235_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_202235_02_model3?$product-zoom-hol-v1$,Must-Have Graphic Tee,29.95,202235,https://www.hollisterco.com/shop/wd/p/must-have-graphic-tee-10767465?seq=02&categoryId=12556,BLACK TIE DYE|LIGHT GREY TIE DYE
Hollister Co,Guys|New Arrivals,USD,2018-01-19T00:56:50.809Z,"A comfortable long-sleeve tee made with longer body length and a curved hem. Featuring allover ombré pattern, printed checkerboard and logo graphics, soft jersey fabric and a crewneck, Slim Fit, Imported",https://anf.scene7.com/is/image/anf/hol_204195_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_01_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_01_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_01_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_01_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_01_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_01_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_02_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_02_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_02_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_02_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_02_model3?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_03_prod1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_03_prod2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_03_model1?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_03_model2?$product-zoom-hol-v1$|https://anf.scene7.com/is/image/anf/hol_204195_03_model3?$product-zoom-hol-v1$,Checkerboard Ombré Graphic Tee,24.95,204195,https://www.hollisterco.com/shop/wd/p/checkerboard-ombr%C3%A9-graphic-tee-10684819?seq=01&categoryId=12556,GREY OMBRE|BLUE OMBRE|LIGHT PINK OMBRE
