product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Joes Jeans,women|view all,USD,2018-02-07T22:18:36.351Z,"Keep your days effortless with the Zelly Tee, a V-neck style composed of heathered slub jersey in a destructed wash. Subtle flutter sleeves accentuate the relaxed, easy fit. It’s a foolproof addition to your off-duty selection.",http://s004.osstatic.net/s/JOES/store/productimages/regular/2613_heather_grey_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2613_heather_grey_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2613_heather_grey_b.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2613_heather_grey_c.jpg,ZELLY TEE,98,A18ZEL1900,http://www.joesjeans.com/zelly-tee-/d/2613?CategoryId=200,HEATHER GREY
Joes Jeans,women|view all,USD,2018-02-07T22:18:36.578Z,"Keep your days effortless with the Zelly Tee, a V-neck style composed of heathered slub jersey in a destructed wash. Subtle flutter sleeves accentuate the relaxed, easy fit. It’s a foolproof addition to your off-duty selection.",http://s002.osstatic.net/s/JOES/store/productimages/regular/2614_nude_l.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2614_nude_l.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2614_nude_b.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2614_nude_c.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2614_nude_f.jpg,ZELLY TEE,98,A18ZEL1900,http://www.joesjeans.com/zelly-tee-/d/2614?CategoryId=200,Nude
Joes Jeans,women|view all,USD,2018-02-07T22:18:36.776Z,A classic fit denim work shirt that looks like it’s been put to work. Medium stonewash with shredded destruction on shoulders and hem. <br>,http://s004.osstatic.net/s/JOES/store/productimages/regular/2478_medium_stonewash_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_black_stonewash_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_black_stonewash_b.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_black_stonewash_c.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_b.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_c.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_f.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_x.jpg,VERA DENIM SHIRT,148,J17VDS1889,http://www.joesjeans.com/vera-denim-shirt/d/2478?CategoryId=200,BLACK STONEWASH|MEDIUM STONEWASH
Joes Jeans,women|view all,USD,2018-02-07T22:18:37.021Z,A classic fit denim work shirt that looks like it’s been put to work. Medium stonewash with shredded destruction on shoulders and hem. <br>,http://s004.osstatic.net/s/JOES/store/productimages/regular/2478_medium_stonewash_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_black_stonewash_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_black_stonewash_b.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_black_stonewash_c.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_b.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_c.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_f.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2478_medium_stonewash_x.jpg,VERA DENIM SHIRT,148,J17VDS1889,http://www.joesjeans.com/vera-denim-shirt/d/2478?CategoryId=200,BLACK STONEWASH|MEDIUM STONEWASH
Joes Jeans,women|view all,USD,2018-02-07T22:18:37.262Z,"The Ula stands alone. (Or as a layer.) Sexy neckline with twist shoulder and an easy fit in Joe&rsquo;s beloved soft linen fabric.<br /> <br /> 65% linen, 35% cotton.<br /> <br /> &nbsp;<br><br><strong style=""color: rgb(255, 0, 0);"">This item cannot be returned or exchanged. All sales are final.</strong>",http://s002.osstatic.net/s/JOES/store/productimages/regular/2235_dark_moss_l.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_black_l.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_black_b.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_black_c.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_black_f.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_persimmon_orange_l.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_persimmon_orange_b.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_persimmon_orange_f.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_dark_moss_l.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_dark_moss_b.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2235_dark_moss_f.jpg,ULA TEE,61.99,D17UAT1759,http://www.joesjeans.com/ula-tee/d/2235?CategoryId=200,BLACK|PERSIMMON ORANGE|DARK MOSS
Joes Jeans,women|view all,USD,2018-02-07T22:18:37.493Z,"Part of Joe's Flawless Collection, the Icon Ankle in Foley is a dark stretch skinny jean with a raw cut hem. It features a stretch denim with 3D whiskers and hand sanding. This soft and sleek skinny jean has a high rise that elongates the legs and features a gravity-defying fabric that holds you in and smooths you o",http://s002.osstatic.net/s/JOES/store/productimages/regular/2486_foley_l.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2486_foley_l.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2486_foley_b.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2486_foley_c.jpg|http://s004.osstatic.net/s/JOES/store/productimages/details/2486_foley_f.jpg,THE TWIGGY,178,CHBFOY5117,http://www.joesjeans.com/the-twiggy/d/2486?CategoryId=200,FOLEY
Joes Jeans,women|view all,USD,2018-02-07T22:18:37.722Z,Raw-edge cuffs and holes at the knees underscore the laid-back character of these mid-rise boyfriend jeans that come fitted at the hips and straight through the legs. The Smith Crop in Raschell is washed to a medium-light shade complete with weathered whiskering and grinding along edges for vintage appeal.,http://s001.osstatic.net/s/JOES/store/productimages/regular/2639_raschell_l.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2639_raschell_l.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2639_raschell_b.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2639_raschell_c.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2639_raschell_f.jpg,THE SMITH,178,TADRS45549,http://www.joesjeans.com/the-smith/d/2639?CategoryId=200,RASCHELL
Joes Jeans,women|view all,USD,2018-02-07T22:18:37.968Z,"Jagged hems detail the Smith Crop in Zuma, underscoring the laid-back character of the boyfriend-style silhouette. It’s made from comfortable stretch indigo denim in a light indigo wash finished with dimensional whiskering and softened edges that create a naturally roughed-up vintage appeal.",http://s004.osstatic.net/s/JOES/store/productimages/regular/2655_zuma_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2655_zuma_l.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2655_zuma_b.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2655_zuma_c.jpg|http://s002.osstatic.net/s/JOES/store/productimages/details/2655_zuma_f.jpg,THE SMITH,178,TDEZUM5549,http://www.joesjeans.com/the-smith/d/2655?CategoryId=200,ZUMA
Joes Jeans,women|view all,USD,2018-02-07T22:18:38.452Z,"Stretch the rules of fashion with this indigo slub stretch denim. Raw cut hem, shadow effect back pockets, chain stitch embroidery and a medium stone wash.<br /> <br /> 98% COTTON, 2% SPANDEX",http://s003.osstatic.net/s/JOES/store/productimages/regular/2465_clenna_l.jpg|http://s001.osstatic.net/s/JOES/store/productimages/details/2465_clenna_l.jpg|http://s001.osstatic.net/s/JOES/store/productimages/details/2465_clenna_b.jpg|http://s001.osstatic.net/s/JOES/store/productimages/details/2465_clenna_c.jpg|http://s001.osstatic.net/s/JOES/store/productimages/details/2465_clenna_f.jpg|http://s001.osstatic.net/s/JOES/store/productimages/details/2465_clenna_f2.jpg,THE SMITH,178,TVHCC15875,http://www.joesjeans.com/the-smith/d/2465?CategoryId=200,CLENNA
Joes Jeans,women|view all,USD,2018-02-07T22:18:38.684Z,"Stretch the rules of fashion with this indigo slub stretch denim. Raw cut rolled cuff hem, shadow effect back pockets, chain stitch embroidery and a medium stone wash.<br /> <br /> 98% COTTON, 2% SPANDEX",http://s001.osstatic.net/s/JOES/store/productimages/regular/2466_clenna_l.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2466_clenna_l.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2466_clenna_b.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2466_clenna_c.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2466_clenna_f.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2466_clenna_f2.jpg|http://s003.osstatic.net/s/JOES/store/productimages/details/2466_clenna_f3.jpg,THE SMITH,178,TVHCC25875,http://www.joesjeans.com/the-smith/d/2466?CategoryId=200,CLENNA
