product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url
Romwe,Women | Clothing | Sweatshirts,USD,2018-12-11T22:04:15.397Z,"Style: Casual Type: Pullovers Decoration: Drawstring Pattern Type: Plain Color: Navy Sleeve Length: Long Sleeve Material: 97% Polyester, 3% Spandex Neckline: Hooded Fabric: Fabric has no stretch Season: Winter Fit Type: Regular Fit Length: Crop",https://img.ltwebstatic.com/images2_pi/2018/12/04/15439069084105545234_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439069062213143486_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439069073315631918_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439069072645129087_thumbnail_1200x.jpg,Drawstring Crop Teddy Hoodie,13.59,rswe181205302,https://us.romwe.com/Drawstring-Crop-Teddy-Hoodie-p-414493-cat-673.html
Romwe,Women | Clothing | Beachwear | Swimwear,USD,2018-12-11T22:04:16.896Z,Type: Bikinis Decoration: Lace Up Color: Multicolor Material: Polyester Chest pad: Yes,https://img.ltwebstatic.com/images2_pi/2018/12/04/1543904160400182951_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439041583408803768_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439041611421720358_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439041582377619098_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439041592968132797_thumbnail_1200x.jpg,Lace-up Random Pattern Bikini Set,12.09,swimwear181205832,https://us.romwe.com/Lace-up-Random-Pattern-Bikini-Set-p-414615-cat-679.html
Romwe,Women | Clothing | Beachwear | Swimwear,USD,2018-12-11T22:04:18.107Z,Neckline: Bandeau Type: Bikinis Pattern Type: Plain Decoration: Lace Up Color: Grey Material: Nylon Chest pad: No,https://img.ltwebstatic.com/images2_pi/2018/09/13/15368320923011641916_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/09/13/15368320921285868482_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/09/13/15368320944240485665_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/09/13/15368320932565807492_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/09/13/153683209499474254_thumbnail_1200x.jpg,Lace-Up Plain Bikini Set,10.69,swimwear180914609,https://us.romwe.com/Lace-Up-Plain-Bikini-Set-p-385037-cat-679.html
Romwe,Women | Accessories | Tech,USD,2018-12-11T22:04:19.248Z,Composition: TPU Type: Phone Cases,https://img.ltwebstatic.com/images2_pi/2018/12/04/15439183004126184143_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/154391829914358252_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439182991969511977_thumbnail_1200x.jpg,Plain iPhone Case,1.99,case181205601,https://us.romwe.com/Plain-iPhone-Case-p-414809-cat-804.html
Romwe,Women | Clothing | Beachwear | Swimwear,USD,2018-12-11T22:04:20.384Z,Neckline: Halter Top Type: Bikinis Pattern Type: Floral Decoration: Wrap Color: Hot Pink Material: Polyester Chest pad: Yes,https://img.ltwebstatic.com/images2_pi/2018/11/23/15429607291574536322_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/23/15429607282246670288_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/23/1542960732918391139_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/23/15429607303013902071_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/23/15429607312613532895_thumbnail_1200x.jpg,Wrap Mix and Match Random Floral Bikini Set,11.69,swimwear181126625,https://us.romwe.com/Wrap-Mix-and-Match-Random-Floral-Bikini-Set-p-412520-cat-679.html
Romwe,Women | Accessories | Hats& Gloves,USD,2018-12-11T22:04:21.563Z,Color: Black Material: Polyester,https://img.ltwebstatic.com/images2_pi/2018/10/30/15408932204034425160_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/10/30/15408932193084302058_thumbnail_1200x.jpg,Eyelash Embroidery Beanie Hat,2.99,hat181031601,https://us.romwe.com/Eyelash-Embroidery-Beanie-Hat-p-404774-cat-694.html
Romwe,Women | Clothing | Beachwear | Swimwear,USD,2018-12-11T22:04:22.702Z,"Neckline: Halter Top Type: Bikinis Pattern Type: Floral Decoration: Ruffle, Knot, Tiered Layer Color: Multicolor Material: Polyester Chest pad: Yes",https://img.ltwebstatic.com/images2_pi/2018/12/04/15439039402146376554_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/1543903939668862622_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439039412959106491_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/15439039404135139443_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/1543903941839505664_thumbnail_1200x.jpg,Ruched Flounce Random Calico Print Bikini Set,12.69,swimwear181205679,https://us.romwe.com/Ruched-Flounce-Random-Calico-Print-Bikini-Set-p-414616-cat-679.html
Romwe,Women | Clothing | Coats & Jackets | Outerwear,USD,2018-12-11T22:04:23.694Z,"Occasion: Weekend Casual Style: Casual Type: Coat Material: 97% Polyester, 3% Spandex Decoration: Pocket, Zipper Collar: Collar Color: Black Pattern Type: Plain Sleeve Length: Long Sleeve Placket: Zipper Season: Winter Length: Regular Fit Type: Regular Fit Fabric: Fabric has some stretch Lining: Yes",https://img.ltwebstatic.com/images2_pi/2018/12/04/15439068082966663340_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/1543906807402177731_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/1543906807387375302_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/12/04/1543906808404982183_thumbnail_1200x.jpg,Zip-up Pocket Detail Hooded Teddy Coat,26.39,rcoa181205301,https://us.romwe.com/Zip-up-Pocket-Detail-Hooded-Teddy-Coat-p-414483-cat-676.html
Romwe,Lifestyle | Home Essentials | Storage & Organization,USD,2018-12-11T22:04:24.897Z,Type: Storage Racks Color: Multicolor Composition: TPR,https://img.ltwebstatic.com/images2_pi/2018/11/27/15432962664293696557_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/27/15432962633540349985_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/27/15432962641314489853_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/27/15432962654114308260_thumbnail_1200x.jpg,Random Color Rabbit Ear Data Line Holder 4pcs,0.99,organ181128802,https://us.romwe.com/Random-Color-Rabbit-Ear-Data-Line-Holder-4pcs-p-413126-cat-828.html
Romwe,Women | Jewelry | Necklaces,USD,2018-12-11T22:04:26.053Z,Material: Metal Shape/Pattern: Animal Types: Pendant Necklaces Color: Gold Style: Casual Metal Color: Gold Stone Type: Pearls,https://img.ltwebstatic.com/images2_pi/2018/11/20/1542697410867961747_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/20/15426974093764282991_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/20/1542697409605590198_thumbnail_1200x.jpg | https://img.ltwebstatic.com/images2_pi/2018/11/20/15426974102263396898_thumbnail_1200x.jpg,Faux Pearl & Bird Detail Chain Necklace,0.99,necklacenc181121801,https://us.romwe.com/Faux-Pearl-&-Bird-Detail-Chain-Necklace-p-411595-cat-688.html
